189,2 184,1 180,1 380,1 273,1 179,1 351,2 1,1
259,2 184,1 297,1 371,3 237,2 378,2 380,1 1,1
439,2 370,3 180,1 367,3 379,1 371,3 183,1 1,1
439,2 370,3 426,3 448,1 430,1 427,1 336,1 1,1
439,2 184,1 371,3 183,1 427,2 380,1 0,0 2,2
439,2 184,1 379,1 448,1 336,1 0,0 0,0 1,1
259,2 370,3 237,2 351,2 379,1 371,3 297,1 1,1
439,1 370,1 367,1 380,1 369,1 373,1 371,1 1,1
439,2 370,3 430,1 542,1 514,1 336,1 0,0 1,1
439,2 370,3 380,1 373,2 379,1 371,3 0,0 1,1
439,1 368,1 426,1 183,1 379,1 427,1 336,1 1,1
439,2 367,1 370,1 448,1 183,1 372,1 0,0 2,2
439,2 180,1 183,1 379,1 371,3 380,1 352,1 1,1
278,1 370,3 183,1 380,1 188,1 0,0 0,0 1,1
439,2 184,1 427,2 183,1 371,3 0,0 0,0 1,1
439,2 367,3 372,1 373,2 336,1 0,0 0,0 1,1
439,2 367,3 373,2 448,1 372,1 0,0 0,0 1,1
439,2 184,1 426,1 183,1 371,1 367,1 0,0 1,1
259,2 184,1 379,1 371,3 380,1 367,3 0,0 1,1
439,2 370,3 380,1 373,2 371,3 379,1 0,0 1,1
439,2 370,3 448,1 371,3 514,1 336,1 0,0 1,1
439,2 253,2 373,2 371,3 0,0 0,0 0,0 2,2
439,2 370,3 371,3 448,1 514,3 336,1 0,0 1,1
439,1 368,1 373,1 183,1 336,1 427,1 0,0 1,1
439,2 184,1 380,1 379,1 371,3 0,0 0,0 1,1
439,2 184,1 426,2 183,1 371,3 367,3 0,0 2,2
439,1 184,1 180,1 379,1 183,1 367,1 426,1 1,1
439,2 367,1 370,3 448,1 183,1 372,2 0,0 1,1
439,1 368,1 371,1 373,1 367,1 0,0 0,0 1,1
439,2 184,1 426,1 183,1 371,1 367,3 0,0 1,1
439,2 367,3 370,3 448,1 183,1 372,1 0,0 2,2
509,1 380,1 375,2 514,1 379,1 367,3 0,0 1,1
439,2 367,3 370,3 369,3 371,3 335,1 380,1 1,1
549,2 367,1 370,1 514,2 312,3 542,2 0,0 1,1
509,1 180,1 380,1 179,1 379,1 446,1 378,1 2,2
439,2 367,3 380,1 426,3 379,1 448,1 372,2 3,3
439,2 380,1 184,1 371,3 379,1 0,0 0,0 1,1
259,1 184,1 371,1 379,1 367,1 0,0 0,0 1,1
189,2 184,1 179,3 351,2 369,3 367,3 0,0 1,1
439,1 426,1 184,1 371,1 183,1 367,1 0,0 1,1
439,2 370,3 367,3 373,2 426,1 371,3 427,1 1,1
439,1 372,1 371,1 336,1 0,0 0,0 0,0 1,1
439,2 370,3 373,2 369,3 371,3 0,0 0,0 1,1
439,2 451,3 351,2 429,2 379,1 179,1 380,1 1,1
500,2 334,3 495,3 336,1 426,1 0,0 0,0 1,1
549,1 542,1 315,1 514,1 0,0 0,0 0,0 1,1
439,2 512,1 379,1 429,1 351,2 183,1 380,1 1,1
439,2 184,1 371,2 183,1 367,3 380,1 426,3 1,1
439,2 184,1 426,3 183,1 371,2 367,3 0,0 1,1
259,1 375,1 380,1 367,1 379,1 179,1 378,1 1,1
189,1 349,1 451,1 0,0 0,0 0,0 0,0 2,2
259,2 375,2 183,1 187,1 427,2 367,3 0,0 1,1
549,1 514,1 315,1 351,1 380,1 0,0 0,0 1,1
439,2 184,1 379,1 371,3 380,1 0,0 0,0 1,1
278,1 180,1 514,3 188,1 0,0 0,0 0,0 1,1
549,2 514,3 315,1 542,2 0,0 0,0 0,0 1,1
439,2 184,1 379,1 371,3 0,0 0,0 0,0 1,1
439,2 184,1 426,1 183,1 371,2 367,1 0,0 1,1
278,1 380,1 180,3 514,3 188,1 0,0 0,0 1,1
439,2 367,3 375,2 371,3 336,1 380,1 0,0 1,1
439,2 367,3 370,3 448,1 183,1 372,2 0,0 11,12
439,1 180,1 367,1 373,1 194,1 183,1 429,1 6,7
439,2 367,3 373,2 448,1 372,2 0,0 0,0 6,7
439,1 184,1 371,1 379,1 0,0 0,0 0,0 10,12
439,1 367,1 373,1 448,1 372,1 0,0 0,0 22,29
439,2 380,1 370,3 373,2 448,1 379,1 336,1 3,4
439,1 180,1 372,1 373,1 183,1 0,0 0,0 3,4
439,2 370,3 367,3 373,2 379,1 336,1 183,2 14,19
439,2 370,3 367,3 373,2 379,1 336,1 183,1 31,45
439,2 375,2 371,3 336,1 367,3 0,0 0,0 11,16
439,2 184,1 426,1 183,1 371,2 367,3 0,0 2,3
439,1 367,1 180,1 373,1 194,1 183,1 429,1 2,3
439,1 370,1 367,1 373,1 379,1 336,1 183,1 8,12
439,1 184,1 427,1 183,1 371,1 0,0 0,0 5,8
439,2 370,3 380,1 369,3 373,2 379,1 336,1 5,8
439,1 367,1 372,1 183,1 371,1 0,0 0,0 106,183
439,1 375,1 370,1 426,1 371,1 0,0 0,0 11,19
439,1 367,1 370,1 448,1 183,1 372,1 0,0 10,18
189,1 184,1 351,1 179,1 369,1 367,1 0,0 13,25
549,1 515,1 514,1 312,1 0,0 0,0 0,0 5,10
439,2 367,3 373,1 448,1 372,2 0,0 0,0 1,2
189,1 184,1 514,1 369,1 179,1 367,1 0,0 4,8
189,1 184,1 369,1 351,1 179,1 367,1 0,0 1,2
189,1 514,1 368,1 542,1 369,1 179,1 0,0 1,2
439,1 372,1 373,1 429,1 0,0 0,0 0,0 1,2
189,1 184,1 179,1 351,1 369,1 367,1 0,0 3,6
439,1 368,1 190,1 426,1 514,1 0,0 0,0 1,2
189,1 184,1 351,1 179,1 427,1 367,1 426,1 2,4
439,1 184,1 371,1 179,1 0,0 0,0 0,0 3,6
189,1 184,1 371,1 542,1 427,1 0,0 0,0 1,2
439,2 367,3 373,1 448,1 372,1 0,0 0,0 1,2
189,1 184,1 426,1 179,1 371,1 0,0 0,0 1,2
439,1 184,1 183,1 371,1 427,1 0,0 0,0 3,6
189,1 184,1 367,1 369,1 179,1 185,1 0,0 1,2
439,2 184,1 426,1 183,1 371,3 367,3 0,0 4,8
439,2 380,1 367,3 372,1 183,1 371,3 0,0 8,16
439,1 372,1 367,1 183,1 371,1 0,0 0,0 6,12
439,1 184,1 371,1 183,1 427,1 0,0 0,0 13,29
189,1 184,1 514,1 371,1 367,1 426,1 0,0 9,22
439,2 184,1 426,1 183,1 371,3 367,1 0,0 2,5
