439,2 367,3 351,2 448,1 372,2 430,1 336,1 1,1
278,1 514,1 188,1 0,0 0,0 0,0 0,0 1,1
278,1 367,3 466,1 351,2 514,2 188,1 0,0 1,1
439,2 370,3 253,1 351,2 371,3 542,1 336,1 1,1
549,1 514,1 515,1 312,1 544,1 0,0 0,0 1,1
278,1 180,3 380,1 379,1 237,2 352,1 188,1 1,1
439,2 370,3 253,1 351,2 448,1 371,3 514,1 1,1
439,2 367,3 373,2 183,1 379,1 371,3 430,1 1,1
439,2 367,3 375,1 183,1 371,3 373,1 336,1 1,1
439,2 367,3 351,2 448,1 430,1 372,2 336,1 1,1
439,2 370,1 372,2 371,3 448,1 513,1 0,0 1,1
439,2 380,1 372,2 448,1 379,1 371,3 336,1 4,4
439,2 370,3 380,1 448,1 371,3 379,1 372,2 2,2
439,2 367,3 373,2 183,2 379,1 371,3 430,2 1,1
278,1 513,1 373,1 542,1 188,1 0,0 0,0 1,1
439,2 515,1 514,1 379,1 183,1 371,3 336,1 1,1
278,1 184,2 379,1 188,1 380,1 0,0 0,0 1,1
500,2 376,2 371,3 372,3 380,1 0,0 0,0 1,1
439,2 253,1 351,2 448,1 371,3 542,1 336,1 1,1
509,1 367,1 375,1 446,1 351,1 379,1 369,1 1,1
439,2 426,2 373,1 371,3 379,1 372,1 0,0 1,1
439,1 184,1 514,1 379,1 371,1 183,1 427,1 2,2
439,2 375,2 371,3 427,1 514,3 542,1 336,1 1,1
439,2 184,2 373,2 371,3 183,2 367,3 336,1 1,1
439,2 334,3 380,1 371,1 379,1 373,1 336,1 1,1
259,1 380,1 184,1 371,1 179,1 369,1 373,1 1,1
549,1 514,1 515,1 513,1 544,1 311,1 0,0 1,1
439,2 180,3 184,2 183,1 379,1 371,2 351,2 1,1
549,1 514,1 315,1 515,1 0,0 0,0 0,0 1,1
439,2 367,1 380,1 373,1 371,3 448,1 372,1 1,1
549,2 542,1 315,1 371,2 351,2 367,3 380,1 1,1
439,2 334,3 380,1 371,3 379,1 373,2 336,1 1,1
439,2 367,3 184,1 183,1 371,3 373,2 336,1 1,1
439,2 334,3 380,1 371,3 379,1 373,1 336,1 1,1
439,2 380,1 514,3 184,1 373,1 371,3 542,2 2,2
439,2 367,3 372,1 373,2 371,2 429,2 0,0 1,1
439,2 367,3 380,1 372,2 379,1 371,3 373,2 1,1
439,2 367,1 380,1 373,1 371,1 448,1 372,2 1,1
439,2 184,1 273,1 179,1 373,2 371,2 380,1 1,1
259,1 514,1 375,1 371,1 179,1 273,1 351,1 1,1
549,1 370,1 515,1 456,1 312,1 514,1 0,0 1,1
439,1 367,1 372,1 373,1 429,1 371,1 0,0 1,1
439,1 542,1 184,1 379,1 371,1 179,1 380,1 1,1
439,2 334,3 380,1 371,2 379,1 373,2 336,1 1,1
549,1 514,1 515,1 543,1 544,1 0,0 0,0 1,1
509,1 367,3 375,1 446,1 351,2 379,1 369,3 1,1
439,2 426,3 373,2 371,3 379,1 372,2 0,0 1,1
439,2 184,1 373,1 371,3 183,1 367,3 336,1 1,1
439,2 184,2 367,3 183,2 371,3 336,1 373,2 1,1
439,2 380,1 514,3 184,1 373,1 371,3 542,1 1,1
259,2 184,1 380,1 379,1 187,1 371,3 237,1 1,1
549,1 542,1 515,1 312,1 544,1 0,0 0,0 1,1
439,2 184,1 380,1 335,2 379,1 371,3 183,1 1,1
549,1 542,1 515,1 514,1 544,1 513,1 313,1 1,1
439,1 184,1 373,1 183,1 371,1 429,1 0,0 1,1
439,2 180,1 373,2 372,1 371,2 183,1 367,3 1,1
509,1 380,1 375,2 542,1 379,1 377,2 378,2 1,1
439,2 184,1 373,1 371,3 183,1 367,3 427,1 1,1
509,1 367,3 375,2 446,1 351,1 369,3 379,1 1,1
439,2 367,3 372,2 373,1 371,3 429,2 0,0 1,1
189,1 180,1 184,1 369,1 179,1 371,1 351,1 4,5
509,1 375,2 367,3 335,2 371,3 351,2 380,1 4,5
439,2 180,1 373,1 372,1 371,1 183,1 367,1 3,4
439,2 376,1 380,1 448,1 336,1 372,2 0,0 3,4
439,2 184,1 367,3 183,2 371,3 336,1 373,2 2,3
439,2 367,3 373,2 183,1 379,1 371,3 430,2 4,6
439,1 514,1 184,1 371,1 183,1 194,1 427,1 4,6
439,2 367,3 372,2 373,2 371,3 429,1 0,0 2,3
439,2 334,3 336,1 379,1 371,3 373,2 380,1 2,3
439,1 367,1 372,1 373,1 371,1 429,1 0,0 20,32
439,1 184,1 180,1 427,1 373,1 183,1 371,1 11,19
439,1 380,1 184,1 373,1 194,1 371,1 183,1 5,9
439,1 426,1 367,1 373,1 371,1 448,1 372,1 23,44
549,1 542,1 315,1 514,1 371,1 0,0 0,0 1,2
439,2 367,3 375,2 183,1 371,3 373,1 336,1 6,12
189,1 184,1 180,1 351,1 179,1 185,1 192,1 2,4
439,1 367,1 373,1 183,1 379,1 371,1 430,1 1,2
439,2 367,3 180,1 372,2 371,3 373,2 183,1 1,2
439,2 367,3 380,1 373,2 371,3 448,1 372,2 1,2
439,2 376,1 371,3 372,2 0,0 0,0 0,0 1,2
439,2 367,3 372,1 373,2 371,3 429,1 0,0 6,12
439,2 367,3 375,2 183,1 371,2 373,2 336,1 1,2
439,2 184,1 367,3 183,1 371,3 336,1 373,2 4,8
439,2 184,1 373,2 371,3 183,1 194,1 380,1 1,2
439,1 514,1 184,1 373,1 371,1 542,1 0,0 29,63
439,1 184,1 373,1 371,1 183,1 367,1 336,1 8,18
439,1 367,1 429,1 373,1 372,1 183,1 194,1 56,129
439,1 426,1 514,1 184,1 373,1 183,1 371,1 3,7
439,1 184,1 373,1 371,1 183,1 367,1 427,1 5,12
439,2 367,3 372,2 373,2 371,3 429,2 0,0 2,5
439,2 184,1 373,2 371,3 351,1 336,1 0,0 2,5
439,1 426,1 514,1 184,1 373,1 371,1 183,1 3,8
439,2 370,3 456,2 429,1 371,3 379,1 336,1 1,3
439,2 367,3 184,2 183,2 371,3 373,2 336,1 1,3
439,2 367,3 375,2 183,1 371,3 373,2 336,1 5,15
439,1 370,1 372,1 367,1 373,1 183,1 194,1 8,24
439,2 380,1 367,3 372,1 373,1 371,3 429,1 16,50
439,1 180,1 373,1 372,1 371,1 183,1 367,1 2,7
439,1 372,1 180,1 373,1 371,1 183,1 426,1 2,7
439,1 370,1 372,1 371,1 373,1 183,1 0,0 2,8
549,1 514,1 515,1 513,1 544,1 451,1 0,0 1,4
439,1 367,1 180,1 372,1 371,1 373,1 183,1 1,5
439,1 380,1 367,1 372,1 373,1 371,1 429,1 3,20
549,1 515,1 542,1 451,1 0,0 0,0 0,0 1,12
439,1 542,1 184,1 426,1 183,1 371,1 373,1 0,1
439,1 428,1 190,1 544,1 425,1 0,0 0,0 0,1
439,1 184,1 370,1 426,1 372,1 429,1 0,0 0,2
439,2 367,3 180,1 372,1 371,3 373,2 183,1 0,1
549,2 350,2 462,1 351,2 513,2 514,3 542,2 0,1
549,1 514,1 515,1 542,1 544,1 513,1 0,0 0,10
439,2 180,1 373,2 372,1 371,1 183,1 367,1 0,1
549,2 514,2 515,3 542,1 544,2 513,1 0,0 0,1
549,2 514,3 515,2 542,1 544,2 513,1 0,0 0,1
439,1 334,1 336,1 379,1 371,1 373,1 380,1 0,1
549,1 184,1 514,1 312,1 371,1 0,0 0,0 0,1
259,1 375,1 367,1 425,1 370,1 334,1 0,0 0,1
439,1 184,1 367,1 425,1 191,1 196,1 427,1 0,1
439,1 367,1 425,1 191,1 373,1 185,1 192,1 0,1
549,2 515,2 542,1 451,1 0,0 0,0 0,0 0,1
259,1 379,1 371,1 179,1 375,1 378,1 0,0 0,1
439,1 184,1 373,1 371,1 541,1 183,1 0,0 0,1
439,2 380,1 367,3 372,1 373,1 371,1 429,1 0,1
439,2 380,1 367,1 372,1 373,1 371,3 429,1 0,4
439,1 368,1 544,1 181,1 179,1 195,1 0,0 0,2
549,1 514,1 315,1 371,1 379,1 0,0 0,0 0,1
439,1 184,1 373,1 371,1 351,1 336,1 0,0 0,2
439,1 515,1 425,1 369,1 423,1 185,1 0,0 0,1
439,2 370,3 253,1 430,1 351,2 542,1 336,1 0,1
439,2 180,1 373,2 372,1 371,1 183,1 367,3 0,1
439,2 426,3 367,3 373,2 371,3 448,1 372,2 0,1
439,2 184,1 373,1 371,3 183,1 429,2 380,1 0,1
439,1 190,1 515,1 429,1 185,1 196,1 0,0 0,1
439,1 428,1 190,1 368,1 193,1 514,1 0,0 0,1
439,1 184,1 514,1 371,1 373,1 183,1 426,1 0,1
439,2 367,2 372,2 373,1 371,2 429,1 0,0 0,1
439,1 184,1 427,1 180,1 373,1 183,1 371,1 0,1
439,2 367,3 448,1 372,2 351,2 430,1 336,1 0,1
439,1 514,1 184,1 373,1 371,1 183,1 367,1 0,1
439,2 380,1 184,1 373,1 194,1 371,3 183,1 0,1
439,2 370,3 351,2 253,1 371,3 542,1 336,1 0,1
439,1 367,1 375,1 378,1 371,1 373,1 336,1 0,1
439,1 370,1 373,1 371,1 183,1 372,1 0,0 0,1
439,2 367,3 372,1 373,1 371,3 429,1 0,0 0,1
439,2 375,2 430,1 371,3 427,1 542,1 0,0 0,1
439,2 367,3 372,2 373,2 371,3 429,2 380,1 0,2
439,2 367,1 380,1 373,1 371,1 448,1 372,1 0,1
439,1 367,1 375,1 183,1 373,1 371,1 336,1 0,1
439,2 367,3 375,1 183,1 371,3 373,2 336,1 0,2
439,1 376,1 371,1 372,1 380,1 0,0 0,0 0,1
549,1 367,1 0,0 0,0 0,0 0,0 0,0 0,2
509,1 375,1 514,2 371,1 542,1 183,1 367,1 0,1
439,1 367,1 375,1 183,1 371,1 373,1 336,1 0,1
439,1 367,1 372,1 373,1 371,1 336,1 0,0 0,1
439,1 184,1 373,1 351,1 336,1 371,1 0,0 0,1
439,2 367,3 180,1 372,1 371,3 373,1 183,1 0,1
439,2 367,3 372,1 373,1 371,2 429,1 0,0 0,1
439,2 180,1 373,1 372,1 371,1 183,1 367,3 0,1
439,2 367,3 180,1 372,1 371,2 373,2 183,1 0,1
439,1 184,1 372,1 371,1 183,1 0,0 0,0 0,1
