261,2 343,3 422,1 351,2 153,2 411,3 277,1 1,1
156,2 409,3 426,1 424,1 150,1 411,2 414,1 1,1
441,2 409,3 426,3 150,1 411,3 420,2 427,2 1,1
261,1 343,1 528,1 426,1 344,1 0,0 0,0 1,1
261,1 343,1 415,1 345,1 0,0 0,0 0,0 1,1
441,1 152,1 344,1 0,0 0,0 0,0 0,0 2,2
156,2 413,2 414,2 542,1 420,2 0,0 0,0 1,1
441,2 343,3 448,1 542,1 344,2 0,0 0,0 1,1
261,1 409,1 343,1 414,1 420,1 411,1 351,1 1,1
261,1 343,1 415,1 411,1 414,1 420,1 0,0 1,1
156,1 343,1 409,1 448,1 414,1 344,1 426,1 1,1
156,1 409,1 412,1 344,1 411,1 414,1 0,0 1,1
156,2 409,3 426,2 424,3 150,2 411,3 414,2 1,1
441,2 409,3 343,2 411,3 351,2 414,2 426,2 1,1
441,1 343,1 455,1 414,1 411,1 351,1 422,1 1,1
261,1 455,1 409,1 415,1 411,1 414,1 426,1 1,1
261,2 412,2 409,3 414,1 411,3 415,1 0,0 1,1
156,1 409,1 415,1 150,1 411,1 414,1 0,0 1,1
551,1 542,1 320,1 0,0 0,0 0,0 0,0 3,3
261,2 343,3 273,3 411,3 351,2 414,2 277,1 1,1
441,2 343,3 344,2 417,1 0,0 0,0 0,0 1,1
156,2 343,3 426,3 411,3 344,2 351,2 0,0 1,1
502,1 533,1 411,1 0,0 0,0 0,0 0,0 1,1
156,2 409,3 426,2 424,1 150,1 411,2 414,1 1,1
441,2 343,3 344,2 417,2 0,0 0,0 0,0 1,1
463,1 343,3 351,2 414,2 411,3 422,1 0,0 1,1
441,2 409,3 415,1 417,2 0,0 0,0 0,0 1,1
156,2 409,1 413,1 411,1 351,2 0,0 0,0 1,1
261,2 343,3 426,1 344,1 411,1 414,1 409,1 1,1
551,2 542,1 320,1 0,0 0,0 0,0 0,0 1,1
551,2 343,3 320,1 409,2 0,0 0,0 0,0 1,1
261,1 343,1 427,1 414,1 411,1 415,1 422,1 1,1
156,2 409,3 426,3 424,3 150,1 411,3 414,2 1,1
156,2 409,3 426,3 424,1 150,1 411,3 414,2 1,1
441,2 343,3 409,1 344,2 542,1 414,2 0,0 1,1
551,2 542,2 320,1 0,0 0,0 0,0 0,0 1,1
441,2 409,3 343,3 344,2 411,3 414,2 422,1 5,7
