438,2 361,2 138,1 136,1 0,0 0,0 0,0 1,1
438,2 428,2 357,3 366,1 0,0 0,0 0,0 1,1
438,1 361,1 323,1 0,0 0,0 0,0 0,0 1,1
438,2 453,3 355,3 366,1 0,0 0,0 0,0 1,1
438,2 366,1 428,2 324,2 0,0 0,0 0,0 1,1
438,2 361,1 138,2 136,2 0,0 0,0 0,0 1,1
438,2 361,1 138,1 136,1 0,0 0,0 0,0 1,1
438,2 361,2 366,1 358,2 0,0 0,0 0,0 2,2
438,2 353,3 426,3 141,1 525,2 0,0 0,0 1,1
438,2 353,3 362,2 364,2 366,1 0,0 0,0 2,2
438,2 361,2 138,1 353,1 366,1 0,0 0,0 1,1
438,2 361,2 138,1 353,3 0,0 0,0 0,0 4,4
438,2 361,2 366,1 364,2 426,3 0,0 0,0 1,1
438,2 426,3 366,1 353,3 359,2 341,2 0,0 1,1
258,2 361,2 353,3 366,1 323,2 0,0 0,0 1,1
438,2 366,1 361,1 138,1 353,3 0,0 0,0 1,1
438,2 361,2 358,2 366,1 0,0 0,0 0,0 1,1
438,2 361,2 323,1 0,0 0,0 0,0 0,0 1,1
449,1 527,3 542,2 324,1 0,0 0,0 0,0 1,1
438,2 361,2 359,2 366,1 0,0 0,0 0,0 6,7
438,2 361,2 366,1 359,2 0,0 0,0 0,0 8,10
438,2 361,2 358,2 0,0 0,0 0,0 0,0 11,14
438,2 361,2 351,2 0,0 0,0 0,0 0,0 12,16
438,2 361,2 351,2 366,1 0,0 0,0 0,0 3,4
438,2 361,2 359,2 0,0 0,0 0,0 0,0 6,8
438,2 542,2 361,1 0,0 0,0 0,0 0,0 16,22
438,1 361,1 359,1 366,1 0,0 0,0 0,0 20,28
438,2 361,2 138,3 353,3 0,0 0,0 0,0 3,5
438,1 136,1 361,1 353,1 426,1 0,0 0,0 6,10
438,1 361,1 426,1 427,1 0,0 0,0 0,0 20,34
438,2 361,1 138,1 353,3 0,0 0,0 0,0 11,19
438,1 361,1 138,1 230,1 0,0 0,0 0,0 4,7
438,2 361,1 359,1 366,1 0,0 0,0 0,0 5,9
438,2 361,1 426,1 427,1 0,0 0,0 0,0 5,9
438,1 542,1 361,1 0,0 0,0 0,0 0,0 361,654
438,1 361,1 138,1 353,1 0,0 0,0 0,0 15,28
438,2 340,3 366,1 458,2 0,0 0,0 0,0 3,6
145,1 361,1 341,1 0,0 0,0 0,0 0,0 5,10
438,2 426,2 366,1 353,3 359,2 341,2 0,0 1,2
438,2 361,2 351,1 0,0 0,0 0,0 0,0 1,2
438,1 361,1 359,1 0,0 0,0 0,0 0,0 9,18
438,2 361,1 359,2 366,1 0,0 0,0 0,0 8,17
438,1 361,1 141,1 0,0 0,0 0,0 0,0 41,90
438,2 542,1 361,1 0,0 0,0 0,0 0,0 7,16
438,1 361,1 353,1 138,1 0,0 0,0 0,0 3,7
438,1 361,1 138,1 426,1 0,0 0,0 0,0 1,3
438,2 340,3 366,1 351,2 426,1 0,0 0,0 1,3
145,1 361,1 359,1 426,1 0,0 0,0 0,0 6,20
438,1 361,1 138,1 136,1 0,0 0,0 0,0 8,30
145,1 361,1 359,1 136,1 0,0 0,0 0,0 1,4
145,1 361,1 359,1 353,1 0,0 0,0 0,0 1,4
145,1 353,1 458,1 359,1 427,1 0,0 0,0 1,4
438,2 361,1 141,1 0,0 0,0 0,0 0,0 2,15
