437,2 383,3 459,2 394,1 387,2 392,2 0,0 1,1
178,1 339,1 175,1 0,0 0,0 0,0 0,0 1,1
178,1 169,1 339,1 172,1 381,1 0,0 0,0 2,2
437,1 394,1 339,1 387,1 0,0 0,0 0,0 1,1
437,2 339,1 387,1 0,0 0,0 0,0 0,0 2,2
178,1 542,1 339,1 381,1 394,1 0,0 0,0 1,1
437,2 339,1 381,3 172,2 0,0 0,0 0,0 1,1
437,2 426,3 337,3 175,2 351,2 394,1 0,0 1,1
437,2 428,2 459,2 394,1 392,2 172,1 0,0 1,1
437,2 381,3 542,1 519,2 426,3 0,0 0,0 1,1
437,1 394,1 381,1 339,1 392,1 0,0 0,0 1,1
437,2 383,3 459,1 337,3 394,1 392,1 0,0 1,1
178,1 339,1 0,0 0,0 0,0 0,0 0,0 1,1
437,2 388,2 459,1 394,1 0,0 0,0 0,0 1,1
498,2 426,2 339,1 0,0 0,0 0,0 0,0 1,1
178,1 542,1 339,1 394,1 381,1 0,0 0,0 1,1
437,2 383,3 381,3 382,3 386,2 0,0 0,0 1,1
178,1 542,1 339,1 426,1 0,0 0,0 0,0 1,1
437,2 428,1 459,2 172,1 392,1 0,0 0,0 1,1
437,2 339,1 448,1 0,0 0,0 0,0 0,0 1,1
437,2 428,2 381,3 351,2 337,3 0,0 0,0 1,1
178,2 339,1 351,2 381,3 0,0 0,0 0,0 1,1
437,2 339,1 351,2 394,1 0,0 0,0 0,0 1,1
437,2 459,2 351,2 382,3 381,3 394,1 0,0 1,1
437,2 428,2 459,2 394,1 337,3 381,3 0,0 2,2
178,1 349,1 337,1 0,0 0,0 0,0 0,0 1,1
437,2 381,3 428,2 394,1 385,3 0,0 0,0 1,1
178,1 169,1 542,1 339,1 0,0 0,0 0,0 3,4
178,1 426,1 542,1 339,1 0,0 0,0 0,0 10,14
437,1 169,1 381,1 426,1 517,1 172,1 542,1 2,3
437,2 387,2 424,2 337,3 172,1 0,0 0,0 4,6
437,2 383,3 459,2 337,3 392,2 394,1 0,0 2,3
437,2 387,2 424,3 337,3 172,1 0,0 0,0 2,3
178,1 383,1 387,1 385,1 0,0 0,0 0,0 2,3
178,1 339,1 387,1 169,1 0,0 0,0 0,0 7,11
178,1 339,1 392,1 172,1 0,0 0,0 0,0 12,19
437,1 394,1 426,1 339,1 392,1 0,0 0,0 8,13
