224,2 339,1 387,1 381,3 424,2 338,2 426,2 1,1
442,1 436,1 418,1 345,1 420,1 415,2 0,0 1,1
552,1 542,1 339,1 305,1 0,0 0,0 0,0 3,3
291,1 542,1 474,1 168,3 394,1 0,0 0,0 1,1
442,1 436,1 462,1 457,2 351,2 357,3 346,2 1,1
552,1 542,1 299,1 539,1 0,0 0,0 0,0 1,1
291,1 542,2 474,1 337,3 426,3 394,1 0,0 1,1
552,1 339,1 519,1 306,1 0,0 0,0 0,0 1,1
291,1 184,1 371,3 237,1 380,1 346,2 0,0 1,1
442,1 348,2 347,2 457,2 351,2 346,2 0,0 1,1
552,2 514,3 315,1 371,3 0,0 0,0 0,0 1,1
552,1 370,1 315,1 371,1 0,0 0,0 0,0 1,1
552,1 542,1 339,1 519,1 0,0 0,0 0,0 2,2
224,1 521,1 518,1 544,1 0,0 0,0 0,0 1,1
552,1 320,1 546,1 543,1 0,0 0,0 0,0 1,1
224,1 533,1 532,1 0,0 0,0 0,0 0,0 1,1
552,1 542,1 543,1 514,1 515,1 0,0 0,0 1,1
224,1 348,1 387,1 424,1 337,1 351,1 381,1 2,3
224,1 533,1 544,1 0,0 0,0 0,0 0,0 1,2
552,1 542,1 514,1 543,1 515,1 0,0 0,0 1,2
224,1 353,1 347,1 346,1 341,1 426,1 351,1 1,3
552,1 533,1 544,1 0,0 0,0 0,0 0,0 1,3
552,1 542,1 543,1 525,1 0,0 0,0 0,0 1,4
552,1 515,1 546,1 514,1 543,1 0,0 0,0 1,4
552,1 515,1 514,1 543,1 0,0 0,0 0,0 1,4
224,1 353,1 0,0 0,0 0,0 0,0 0,0 1,5
224,1 361,1 542,1 341,1 359,1 358,1 346,1 0,1
224,1 349,1 337,1 351,1 457,1 0,0 0,0 0,1
291,1 361,1 354,3 357,3 359,2 0,0 0,0 0,1
224,1 542,1 0,0 0,0 0,0 0,0 0,0 0,1
262,2 348,2 347,2 350,2 0,0 0,0 0,0 0,1
224,1 343,1 414,1 345,1 415,1 417,1 0,0 0,1
442,1 383,3 459,2 351,2 385,3 387,1 276,1 0,1
552,1 339,1 519,1 337,1 0,0 0,0 0,0 0,1
240,1 343,2 347,1 411,1 415,1 344,1 429,1 0,1
224,1 348,1 371,1 424,1 351,1 367,1 0,0 0,2
554,1 343,3 455,2 462,1 346,2 415,2 345,2 0,1
224,1 342,1 347,1 346,1 341,1 359,1 0,0 0,1
224,1 348,1 542,1 414,1 344,1 346,1 343,1 0,1
552,1 367,1 0,0 0,0 0,0 0,0 0,0 0,1
442,1 348,2 459,2 394,1 519,2 392,1 346,1 0,1
224,1 542,1 543,1 520,1 0,0 0,0 0,0 0,6
552,2 515,3 546,1 514,3 543,2 0,0 0,0 0,1
442,1 348,2 450,1 346,2 0,0 0,0 0,0 0,1
552,2 533,2 544,2 0,0 0,0 0,0 0,0 0,1
224,1 343,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,2
552,2 542,1 514,3 543,1 515,3 0,0 0,0 0,1
552,2 542,1 514,3 543,2 515,3 0,0 0,0 0,1
224,1 348,1 542,1 402,1 346,1 427,1 546,1 0,1
224,1 348,1 542,1 402,1 346,1 426,1 427,1 0,1
