442,1 361,2 353,3 346,2 358,2 0,0 0,0 1,1
224,2 366,1 361,1 353,3 346,2 358,2 0,0 2,2
442,1 395,3 408,1 346,2 396,3 400,2 427,2 1,1
224,2 366,1 361,1 353,3 346,2 358,1 0,0 1,1
442,1 348,2 414,2 346,2 0,0 0,0 0,0 1,1
291,1 184,2 367,3 0,0 0,0 0,0 0,0 1,1
442,1 348,2 358,2 0,0 0,0 0,0 0,0 1,1
291,1 533,3 0,0 0,0 0,0 0,0 0,0 1,1
442,1 348,2 427,1 346,2 0,0 0,0 0,0 2,2
224,2 361,1 353,3 346,2 359,1 0,0 0,0 1,1
442,1 348,2 366,1 364,1 346,2 0,0 0,0 1,1
442,1 348,2 183,1 346,2 0,0 0,0 0,0 1,1
442,1 434,1 436,1 422,1 0,0 0,0 0,0 1,1
224,1 366,1 353,1 361,1 346,1 358,1 0,0 4,5
224,1 353,1 136,1 436,1 346,1 358,1 0,0 9,14
224,1 366,1 361,1 353,1 346,1 358,1 0,0 23,37
224,1 353,1 361,1 346,1 358,1 0,0 0,0 18,30
224,1 361,1 353,1 346,1 358,1 0,0 0,0 16,31
224,1 184,1 183,1 346,1 0,0 0,0 0,0 1,2
240,2 348,2 346,3 358,1 0,0 0,0 0,0 1,2
442,1 394,1 381,3 383,3 346,2 392,1 382,3 1,2
224,1 409,1 348,1 346,1 546,1 0,0 0,0 1,2
224,1 361,1 141,1 359,1 0,0 0,0 0,0 1,2
224,1 361,1 359,1 141,1 0,0 0,0 0,0 4,8
224,1 361,1 346,1 353,1 358,1 0,0 0,0 3,7
552,1 339,1 0,0 0,0 0,0 0,0 0,0 2,5
224,1 412,1 409,1 415,1 346,1 149,1 0,0 3,8
224,1 349,1 343,1 344,1 0,0 0,0 0,0 1,3
224,1 544,1 527,1 525,1 0,0 0,0 0,0 1,3
224,1 412,1 343,1 409,1 346,1 149,1 427,1 1,3
224,1 361,1 353,1 346,1 359,1 0,0 0,0 3,12
224,1 367,1 348,1 346,1 546,1 0,0 0,0 0,1
554,1 343,3 346,2 344,2 420,1 0,0 0,0 0,1
552,2 432,1 426,3 0,0 0,0 0,0 0,0 0,1
224,1 348,1 411,1 409,1 0,0 0,0 0,0 0,1
224,2 366,1 361,1 353,1 346,2 358,1 0,0 0,1
224,1 395,1 401,1 346,1 427,1 546,1 0,0 0,1
442,1 340,3 366,1 346,2 358,2 427,2 0,0 0,1
442,1 348,2 347,2 0,0 0,0 0,0 0,0 0,1
224,1 353,1 0,0 0,0 0,0 0,0 0,0 0,2
224,1 361,1 138,1 341,1 0,0 0,0 0,0 0,1
224,1 184,1 183,1 378,1 0,0 0,0 0,0 0,1
224,1 409,1 426,1 345,1 346,1 546,1 0,0 0,1
552,1 315,1 0,0 0,0 0,0 0,0 0,0 0,1
552,2 515,3 513,2 0,0 0,0 0,0 0,0 0,1
552,2 339,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 348,1 429,1 0,0 0,0 0,0 0,0 0,1
224,1 426,1 353,1 346,1 359,1 358,1 0,0 0,1
442,1 348,2 427,2 346,2 0,0 0,0 0,0 0,1
442,1 361,1 353,1 346,2 358,1 0,0 0,0 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,2
552,1 334,1 451,1 0,0 0,0 0,0 0,0 0,11
552,2 334,1 451,1 0,0 0,0 0,0 0,0 0,1
442,1 348,2 415,2 0,0 0,0 0,0 0,0 0,1
