441,2 412,1 343,3 409,3 420,1 149,1 427,1 4,4
441,2 412,2 343,3 409,3 420,2 149,1 427,1 1,1
441,2 412,3 343,3 409,1 420,1 149,1 427,1 3,3
441,2 412,2 343,2 409,2 420,1 149,1 427,1 1,1
551,1 343,1 531,1 0,0 0,0 0,0 0,0 1,1
441,2 412,3 343,3 409,2 420,2 149,1 427,1 5,5
441,1 343,1 412,1 422,1 448,1 427,1 149,1 1,1
441,2 412,1 343,3 409,1 420,1 149,1 427,1 6,6
441,2 412,2 343,3 409,1 420,2 149,1 427,1 1,1
441,2 412,3 343,2 409,3 420,2 149,1 427,1 1,1
156,2 409,3 152,1 149,1 427,2 0,0 0,0 1,1
441,2 412,2 343,3 409,2 420,1 149,1 427,2 1,1
156,2 412,2 422,1 409,3 420,1 415,1 418,2 1,1
441,2 409,3 412,3 344,2 427,2 149,1 422,1 1,1
441,2 412,3 409,3 343,3 149,1 427,2 0,0 1,1
441,2 412,1 343,3 409,3 420,2 149,1 427,1 1,1
441,2 412,1 343,3 409,2 420,1 149,1 427,1 2,2
441,2 412,3 343,3 409,3 420,2 149,1 427,2 4,4
441,2 343,3 409,3 412,3 420,2 427,1 149,3 1,1
441,2 343,3 412,1 420,1 542,1 427,1 0,0 1,1
441,2 412,3 343,1 409,3 420,2 149,1 427,2 2,2
441,2 412,3 343,1 409,3 420,1 149,1 427,1 2,2
441,2 412,3 343,3 409,2 420,1 149,2 427,1 1,1
441,2 412,3 343,3 409,1 420,2 149,1 427,1 1,1
441,2 412,1 343,1 409,1 420,1 149,1 427,1 3,3
441,2 412,3 343,3 409,3 420,1 149,3 427,1 3,3
261,1 422,1 418,1 420,1 153,1 415,1 0,0 1,1
441,2 412,2 343,3 409,3 420,2 149,1 427,2 1,1
441,2 412,3 343,3 409,2 420,2 149,1 427,2 2,2
441,2 412,1 343,3 409,1 420,1 149,1 427,2 1,1
261,1 422,1 409,1 415,1 418,1 420,1 448,1 1,1
441,2 412,3 343,3 409,1 420,1 149,1 427,2 2,2
156,2 412,3 409,3 415,2 288,2 0,0 0,0 1,1
441,2 412,1 409,3 344,2 149,1 427,1 0,0 2,2
551,1 532,1 317,1 0,0 0,0 0,0 0,0 1,1
441,2 412,3 343,1 409,3 420,1 149,1 427,2 1,1
441,2 412,3 148,1 149,3 427,1 0,0 0,0 1,1
441,2 412,1 409,1 344,2 149,1 427,1 0,0 1,1
441,2 412,3 343,1 409,2 420,1 149,1 427,1 1,1
