442,1 361,2 340,3 346,2 364,1 358,2 359,2 4,4
224,1 348,1 398,1 402,1 346,1 163,1 0,0 1,1
442,1 348,2 343,3 344,2 346,2 416,2 0,0 1,1
442,1 340,3 361,2 359,2 346,2 427,2 358,2 1,1
442,1 388,2 381,3 383,3 386,2 392,1 382,3 2,2
224,1 398,1 348,1 402,1 346,1 427,1 160,1 1,1
224,1 343,1 412,1 345,1 415,1 418,1 420,1 2,2
442,1 348,1 430,1 427,1 448,1 346,2 0,0 1,1
291,1 348,2 237,2 143,2 346,2 427,2 364,2 1,1
224,2 361,2 340,3 353,3 341,2 346,2 358,2 1,1
442,1 340,3 361,2 359,2 346,2 427,1 358,2 1,1
442,1 361,1 340,3 427,1 346,2 359,2 358,2 1,1
442,1 361,2 340,3 427,2 346,2 359,2 358,2 2,2
442,1 361,1 340,3 427,1 346,2 359,1 358,1 1,1
442,1 361,1 348,2 353,1 358,1 359,1 0,0 2,2
442,1 361,2 348,2 353,3 358,2 359,2 0,0 1,1
442,1 353,1 348,2 362,2 245,2 0,0 0,0 1,1
442,1 361,1 348,2 353,1 358,1 359,2 0,0 1,1
224,1 349,1 339,1 337,1 452,1 0,0 0,0 1,1
442,1 361,2 340,3 427,1 346,2 359,1 358,2 1,1
224,1 361,1 348,1 346,1 358,1 0,0 0,0 1,1
224,1 453,1 0,0 0,0 0,0 0,0 0,0 2,2
224,1 343,1 345,1 0,0 0,0 0,0 0,0 2,2
552,1 532,1 531,1 0,0 0,0 0,0 0,0 1,1
224,1 343,1 349,1 345,1 344,1 0,0 0,0 2,2
224,1 340,1 349,1 453,1 0,0 0,0 0,0 1,1
224,2 366,1 361,1 348,1 427,1 346,2 358,1 1,1
224,1 538,1 543,1 544,1 0,0 0,0 0,0 1,1
291,1 348,1 339,1 172,1 0,0 0,0 0,0 1,1
224,1 361,1 340,1 346,1 358,1 427,1 359,1 7,9
224,1 361,1 340,1 353,1 341,1 346,1 358,1 2,3
224,1 361,1 348,1 346,1 427,1 358,1 0,0 14,23
224,1 361,1 340,1 359,1 346,1 358,1 427,1 12,20
224,1 340,1 361,1 346,1 359,1 427,1 358,1 41,72
224,1 348,1 395,1 402,1 406,1 0,0 0,0 18,33
224,1 361,1 348,1 427,1 346,1 358,1 0,0 7,13
224,1 361,1 340,1 427,1 346,1 358,1 141,1 2,4
224,1 538,1 543,1 454,1 0,0 0,0 0,0 1,2
224,1 184,1 367,1 373,1 346,1 185,1 183,1 3,6
224,1 361,1 366,1 348,1 346,1 427,1 358,1 1,2
224,2 361,2 340,3 346,2 358,1 427,1 359,1 1,2
224,1 366,1 361,1 348,1 346,1 427,1 358,1 3,8
224,1 366,1 361,1 348,1 427,1 346,1 358,1 1,3
224,1 348,1 426,1 395,1 346,1 402,1 163,1 1,3
224,1 538,1 543,1 0,0 0,0 0,0 0,0 1,4
224,1 453,1 527,1 542,1 543,1 0,0 0,0 1,5
224,1 395,1 398,1 426,1 161,1 163,1 427,1 1,5
224,1 532,1 533,1 0,0 0,0 0,0 0,0 1,7
224,1 538,1 544,1 0,0 0,0 0,0 0,0 1,7
224,1 538,1 539,1 544,1 0,0 0,0 0,0 1,8
224,1 538,1 539,1 542,1 454,1 0,0 0,0 1,11
224,1 409,1 0,0 0,0 0,0 0,0 0,0 0,1
552,2 545,1 544,3 542,1 0,0 0,0 0,0 0,1
442,1 348,2 353,3 366,1 359,2 362,2 358,2 0,1
224,2 361,2 348,2 427,2 346,2 358,2 0,0 0,1
442,1 404,1 406,1 396,3 0,0 0,0 0,0 0,1
224,2 361,1 348,2 427,1 346,2 358,1 0,0 0,1
224,1 348,1 353,1 341,1 359,1 346,1 358,1 0,1
224,1 395,1 348,1 346,1 402,1 163,1 546,1 0,1
291,1 348,2 408,1 427,1 346,2 400,1 160,1 0,1
224,1 340,1 348,1 359,1 346,1 358,1 0,0 0,1
224,1 395,1 0,0 0,0 0,0 0,0 0,0 0,15
552,1 527,1 354,1 340,1 358,1 323,1 346,1 0,1
503,1 492,1 430,1 0,0 0,0 0,0 0,0 0,1
224,1 340,1 346,1 361,1 359,1 427,1 358,1 0,1
224,1 409,1 348,1 346,1 345,1 426,1 427,1 0,2
442,1 361,1 348,1 353,1 358,1 359,1 0,0 0,1
224,1 395,1 348,1 426,1 402,1 163,1 346,1 0,1
442,1 412,1 415,1 420,1 448,1 429,1 418,1 0,1
240,2 380,1 373,2 371,3 429,2 194,1 336,1 0,1
224,1 348,1 395,1 346,1 402,1 426,1 163,1 0,1
224,1 538,1 539,1 543,1 0,0 0,0 0,0 0,2
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,5
442,1 361,2 340,3 427,1 346,2 359,2 358,1 0,1
552,2 383,3 349,3 436,1 517,1 172,1 0,0 0,1
224,1 538,1 539,1 0,0 0,0 0,0 0,0 0,2
224,1 409,1 348,1 345,1 346,1 427,1 426,1 0,2
