236,1 408,1 248,3 427,2 237,1 160,3 0,0 1,1
440,1 399,1 408,1 398,1 402,1 0,0 0,0 1,1
440,2 398,3 395,1 351,2 401,1 0,0 0,0 1,1
440,2 395,3 331,3 396,3 400,2 408,1 0,0 1,1
440,2 395,2 426,3 333,2 0,0 0,0 0,0 1,1
440,2 395,3 162,1 351,2 408,1 0,0 0,0 1,1
501,2 426,2 482,1 0,0 0,0 0,0 0,0 1,1
440,2 395,3 399,3 289,1 0,0 0,0 0,0 1,1
440,2 395,3 426,3 399,3 402,2 0,0 0,0 1,1
440,1 399,1 395,1 430,1 0,0 0,0 0,0 1,1
440,2 447,1 408,1 0,0 0,0 0,0 0,0 3,3
440,2 395,3 426,1 542,1 289,1 0,0 0,0 1,1
440,2 395,3 482,2 0,0 0,0 0,0 0,0 2,2
440,2 395,2 482,2 0,0 0,0 0,0 0,0 1,1
440,2 162,1 351,2 426,2 0,0 0,0 0,0 2,2
167,1 349,1 454,1 0,0 0,0 0,0 0,0 5,5
440,2 395,3 399,3 401,2 426,1 0,0 0,0 1,1
167,1 349,1 539,1 0,0 0,0 0,0 0,0 1,1
440,1 426,1 399,1 402,1 395,1 0,0 0,0 1,1
440,2 408,1 395,3 482,1 0,0 0,0 0,0 1,1
167,1 349,1 537,1 0,0 0,0 0,0 0,0 1,1
167,1 349,1 544,1 0,0 0,0 0,0 0,0 1,1
440,2 399,3 227,2 395,3 401,2 408,1 0,0 1,1
167,1 403,1 401,1 395,1 0,0 0,0 0,0 5,7
440,2 395,2 482,1 0,0 0,0 0,0 0,0 2,3
440,2 395,3 426,3 333,1 0,0 0,0 0,0 2,3
440,1 447,1 0,0 0,0 0,0 0,0 0,0 56,90
440,1 398,1 426,1 395,1 427,1 402,1 0,0 3,5
440,2 395,3 426,3 333,2 0,0 0,0 0,0 7,12
440,2 162,1 351,2 426,3 0,0 0,0 0,0 3,6
440,1 395,1 482,1 0,0 0,0 0,0 0,0 5,10
440,2 395,3 162,1 351,2 0,0 0,0 0,0 1,2
440,2 395,3 426,3 351,2 289,1 0,0 0,0 1,2
167,1 333,1 351,1 0,0 0,0 0,0 0,0 3,6
440,2 395,3 426,3 351,2 289,2 0,0 0,0 1,2
440,2 447,1 0,0 0,0 0,0 0,0 0,0 31,62
167,1 333,1 537,1 0,0 0,0 0,0 0,0 9,20
440,1 395,1 162,1 537,1 0,0 0,0 0,0 4,9
440,2 398,3 395,3 351,2 401,2 0,0 0,0 2,5
440,2 426,3 448,1 406,1 0,0 0,0 0,0 2,5
440,1 162,1 400,1 0,0 0,0 0,0 0,0 10,26
440,1 395,1 426,1 333,1 0,0 0,0 0,0 3,8
440,1 395,1 426,1 398,1 402,1 160,1 0,0 4,11
440,1 162,1 395,1 426,1 160,1 0,0 0,0 6,17
440,1 544,1 402,1 0,0 0,0 0,0 0,0 1,3
167,1 542,1 333,1 0,0 0,0 0,0 0,0 4,12
440,1 190,1 191,1 0,0 0,0 0,0 0,0 1,3
167,1 333,1 542,1 0,0 0,0 0,0 0,0 1,3
440,1 399,1 161,1 427,1 0,0 0,0 0,0 1,3
440,1 399,1 426,1 395,1 402,1 0,0 0,0 3,9
440,1 395,1 399,1 398,1 400,1 0,0 0,0 4,13
440,2 162,1 351,2 426,1 0,0 0,0 0,0 4,17
440,2 395,3 426,2 333,2 0,0 0,0 0,0 2,9
167,1 403,1 0,0 0,0 0,0 0,0 0,0 2,9
440,2 395,3 398,3 402,2 396,3 0,0 0,0 2,9
440,1 162,1 426,1 427,1 0,0 0,0 0,0 3,14
440,2 399,3 227,1 395,3 401,2 408,1 0,0 1,6
440,2 395,3 401,2 398,3 396,3 0,0 0,0 1,7
440,1 395,1 398,1 396,1 454,1 0,0 0,0 2,15
167,1 538,1 537,1 0,0 0,0 0,0 0,0 1,8
167,1 543,1 537,1 0,0 0,0 0,0 0,0 1,10
