224,2 409,3 343,3 436,1 542,1 417,1 423,3 1,1
552,2 542,2 315,1 371,3 237,1 380,1 0,0 1,1
552,1 533,1 542,1 345,1 0,0 0,0 0,0 1,1
442,1 361,2 436,1 359,2 346,2 341,2 358,2 2,2
224,2 184,2 346,1 424,3 179,3 371,3 0,0 1,1
224,2 339,1 387,1 346,2 424,1 385,2 381,3 2,2
442,1 542,2 436,1 493,1 344,2 415,2 422,1 1,1
552,2 514,3 315,1 371,3 180,1 0,0 0,0 1,1
552,1 514,1 313,1 543,1 0,0 0,0 0,0 1,1
554,1 348,2 351,2 387,2 424,2 382,1 0,0 1,1
291,1 339,1 542,1 519,2 448,1 394,1 0,0 1,1
442,1 339,1 452,3 387,1 382,3 392,1 346,2 1,1
552,2 514,3 315,1 371,3 237,1 380,1 0,0 1,1
442,1 412,1 542,1 345,1 415,1 344,1 346,1 1,1
442,1 339,1 452,3 387,2 382,3 392,1 346,2 1,1
224,1 140,1 354,1 341,1 359,1 427,1 358,1 1,1
224,1 354,1 350,1 341,1 359,1 141,1 346,1 2,3
224,1 343,1 426,1 346,1 345,1 415,1 417,1 10,15
224,1 542,1 436,1 346,1 345,1 414,1 415,1 9,14
224,1 162,1 426,1 402,1 161,1 424,1 346,1 16,26
552,1 542,1 527,1 543,1 525,1 0,0 0,0 1,2
224,1 343,1 345,1 0,0 0,0 0,0 0,0 1,2
224,1 343,1 149,1 346,1 345,1 415,1 417,1 1,2
224,1 426,1 331,1 402,1 406,1 396,1 400,1 1,2
224,1 403,1 426,1 398,1 402,1 163,1 161,1 1,2
224,1 346,1 184,1 424,1 179,1 371,1 0,0 1,2
224,1 184,1 346,1 424,1 179,1 371,1 0,0 16,37
224,1 343,1 414,1 345,1 415,1 417,1 346,1 3,7
224,1 426,1 403,1 398,1 402,1 163,1 161,1 17,40
224,1 140,1 354,1 341,1 359,1 346,1 358,1 2,5
224,1 349,1 538,1 539,1 0,0 0,0 0,0 1,3
552,1 533,1 542,1 541,1 0,0 0,0 0,0 1,3
224,1 536,1 426,1 398,1 402,1 163,1 161,1 1,3
224,1 542,1 533,1 344,1 424,1 411,1 426,1 1,3
224,1 343,1 542,1 532,1 533,1 0,0 0,0 1,11
224,1 542,1 413,1 415,1 417,1 194,1 0,0 0,1
224,2 361,2 353,3 341,2 359,1 358,1 357,3 0,1
224,1 527,1 543,1 526,1 0,0 0,0 0,0 0,3
224,1 348,1 357,1 341,1 361,1 0,0 0,0 0,1
224,1 343,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 354,1 0,0 0,0 0,0 0,0 0,0 0,1
262,2 361,2 476,3 366,1 357,3 362,2 0,0 0,1
224,2 426,3 403,1 398,3 402,1 163,1 161,1 0,1
224,1 395,1 0,0 0,0 0,0 0,0 0,0 0,5
262,1 409,1 344,1 448,1 492,1 0,0 0,0 0,1
224,1 184,1 0,0 0,0 0,0 0,0 0,0 0,1
552,2 514,2 543,2 544,2 0,0 0,0 0,0 0,1
552,1 514,1 543,1 544,1 0,0 0,0 0,0 0,4
442,1 542,2 436,1 366,1 423,1 445,1 346,2 0,1
224,1 542,1 436,1 163,1 396,1 424,1 539,1 0,1
552,2 514,2 543,3 544,2 0,0 0,0 0,0 0,1
442,1 348,2 381,1 546,1 429,1 346,2 520,3 0,1
552,1 545,1 542,1 543,1 0,0 0,0 0,0 0,2
224,1 348,1 344,1 345,1 424,1 409,1 0,0 0,1
503,1 339,1 436,1 387,1 394,1 338,1 346,1 0,1
224,1 343,1 344,1 345,1 349,1 0,0 0,0 0,2
442,1 348,2 543,3 514,3 335,1 0,0 0,0 0,1
224,2 162,1 426,1 402,1 161,1 424,1 346,2 0,1
262,2 422,1 413,3 343,3 415,2 345,2 344,2 0,1
224,1 353,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 395,1 403,1 426,1 424,1 163,1 402,1 0,1
552,2 542,1 527,3 543,3 525,1 0,0 0,0 0,1
291,1 542,1 523,1 341,2 359,2 0,0 0,0 0,1
442,1 533,3 345,2 344,2 346,2 0,0 0,0 0,1
