552,1 514,1 315,1 346,1 371,1 542,1 0,0 1,1
442,1 542,1 436,1 421,1 415,2 448,1 344,2 2,2
442,1 339,1 387,2 382,3 280,1 346,2 427,2 1,1
552,1 436,1 320,1 415,1 345,1 409,1 0,0 1,1
442,1 412,3 343,3 194,2 415,2 345,2 430,2 1,1
552,1 514,1 315,1 542,1 371,1 346,1 0,0 1,1
442,1 436,1 450,1 366,1 448,1 445,1 0,0 1,1
442,1 381,3 339,1 338,2 424,3 387,2 385,3 1,1
442,1 443,1 339,1 452,3 392,1 382,3 346,2 1,1
442,1 398,3 436,1 333,2 163,1 346,2 400,2 1,1
552,2 514,3 315,1 542,2 371,3 346,2 380,1 2,2
552,2 542,2 315,1 514,3 371,1 546,1 367,1 1,1
224,1 184,1 426,1 369,1 424,1 371,1 179,1 5,5
552,1 533,1 541,1 543,1 0,0 0,0 0,0 1,1
224,1 533,1 344,1 345,1 415,1 346,1 0,0 8,10
224,1 343,1 542,1 345,1 415,1 417,1 344,1 4,5
224,1 542,1 184,1 371,1 424,1 179,1 346,1 16,21
224,1 162,1 395,1 424,1 402,1 161,1 163,1 3,4
224,1 343,1 542,1 345,1 344,1 415,1 417,1 176,271
224,1 403,1 333,1 346,1 161,1 163,1 0,0 12,19
224,1 343,1 409,1 344,1 345,1 415,1 417,1 4,7
224,1 184,1 183,1 179,1 371,1 424,1 185,1 8,15
552,1 533,1 542,1 543,1 0,0 0,0 0,0 1,2
224,1 140,1 354,1 341,1 359,1 346,1 358,1 1,3
224,1 361,1 354,1 359,1 141,1 138,1 357,1 15,51
224,1 162,1 427,1 402,1 161,1 163,1 424,1 3,14
442,1 361,2 230,1 430,1 360,1 362,1 0,0 0,1
442,1 343,3 436,1 345,2 423,3 344,2 346,2 0,1
224,1 348,1 247,1 401,1 351,1 273,1 0,0 0,1
224,1 361,1 353,1 354,1 359,1 358,1 360,1 0,1
224,1 333,1 395,1 346,1 402,1 161,1 163,1 0,1
224,1 533,1 0,0 0,0 0,0 0,0 0,0 0,1
442,1 412,1 147,1 346,1 345,1 344,1 417,1 0,1
224,1 403,1 196,1 427,1 400,1 402,1 161,1 0,2
224,1 339,1 387,1 424,1 385,1 382,1 346,1 0,1
552,1 388,1 384,1 337,1 306,1 381,1 0,0 0,1
291,1 339,1 542,1 519,2 448,1 517,1 394,1 0,1
442,1 348,2 347,2 349,3 0,0 0,0 0,0 0,1
442,1 180,1 426,3 546,1 436,1 514,1 433,1 0,1
552,1 426,1 0,0 0,0 0,0 0,0 0,0 0,1
552,1 514,1 543,1 513,1 544,1 0,0 0,0 0,2
552,1 514,1 542,1 513,1 543,1 544,1 0,0 0,2
552,1 305,1 436,1 393,1 473,1 381,1 0,0 0,1
224,1 353,1 0,0 0,0 0,0 0,0 0,0 0,1
552,1 349,1 452,1 544,1 338,1 337,1 0,0 0,1
552,2 444,1 345,1 430,1 0,0 0,0 0,0 0,1
224,1 275,1 344,1 345,1 415,1 417,1 420,1 0,1
224,2 542,2 184,1 371,3 424,1 179,1 346,2 0,1
