224,1 348,1 367,1 425,1 371,1 179,1 372,1 1,1
554,1 348,2 388,1 339,1 387,1 385,3 0,0 1,1
552,1 339,1 459,1 519,1 544,1 337,1 0,0 1,1
224,1 337,1 521,1 339,1 519,1 544,1 0,0 1,1
224,1 337,1 521,1 339,1 544,1 0,0 0,0 2,2
224,1 348,1 384,1 519,1 338,1 387,1 287,1 1,1
552,1 348,1 347,1 359,1 429,1 457,1 341,1 1,1
554,1 348,2 287,2 385,3 425,3 351,1 337,3 1,1
224,1 343,1 533,1 532,1 544,1 0,0 0,0 1,1
552,1 544,1 526,1 324,1 527,1 453,1 0,0 1,1
262,2 255,1 347,2 351,2 429,2 242,3 457,2 1,1
552,2 436,1 450,1 351,2 429,2 406,2 424,3 1,1
291,1 184,2 371,3 242,3 179,3 351,2 555,1 1,1
552,2 348,1 420,1 351,2 429,1 418,1 457,1 1,1
552,1 533,1 321,1 532,1 544,1 0,0 0,0 1,1
503,2 339,1 338,3 457,3 337,3 424,3 351,2 1,1
224,1 339,1 521,1 544,1 0,0 0,0 0,0 1,1
224,1 339,1 521,1 519,1 544,1 0,0 0,0 2,2
224,1 348,1 425,1 385,1 337,1 516,1 172,1 1,1
552,2 348,2 299,3 402,2 351,2 248,3 401,2 1,1
554,1 361,2 436,1 365,1 341,2 429,2 357,3 1,1
552,1 339,1 338,1 387,1 385,1 310,1 496,1 1,1
552,1 533,1 532,1 320,1 544,1 0,0 0,0 1,1
224,1 343,1 345,1 0,0 0,0 0,0 0,0 1,1
224,1 388,1 428,1 387,1 426,1 425,1 172,1 1,1
224,1 533,1 544,1 0,0 0,0 0,0 0,0 1,1
552,1 544,1 527,1 526,1 324,1 0,0 0,0 1,1
224,1 348,1 436,1 354,1 522,1 341,1 361,1 1,1
224,1 184,1 369,1 371,1 426,1 425,1 179,1 1,1
224,1 348,1 342,1 341,1 359,1 424,1 361,1 1,1
552,1 533,1 532,1 544,1 329,1 0,0 0,0 1,1
224,1 348,1 345,1 448,1 429,1 415,1 152,1 7,9
224,1 348,1 339,1 424,1 519,1 387,1 385,1 33,44
224,1 348,1 532,1 345,1 415,1 194,1 429,1 2,3
224,1 348,1 533,1 415,1 424,1 194,1 345,1 25,42
224,1 348,1 533,1 345,1 415,1 414,1 411,1 29,50
224,1 348,1 345,1 415,1 414,1 424,1 152,1 8,14
224,1 349,1 453,1 0,0 0,0 0,0 0,0 1,2
224,1 388,1 428,1 387,1 426,1 385,1 172,1 1,2
224,1 343,1 345,1 351,1 533,1 544,1 532,1 1,2
224,1 343,1 345,1 532,1 533,1 544,1 0,0 1,2
224,1 527,1 544,1 0,0 0,0 0,0 0,0 3,6
552,1 533,1 343,1 532,1 544,1 345,1 0,0 4,9
224,1 343,1 533,1 345,1 351,1 532,1 0,0 2,5
224,1 348,1 339,1 424,1 519,1 385,1 387,1 2,5
