441,2 413,3 417,2 344,2 426,1 422,1 0,0 2,2
441,2 152,1 424,3 344,2 149,1 422,1 0,0 2,2
441,2 409,1 426,1 415,1 417,1 150,1 427,2 1,1
441,2 409,2 426,2 415,1 417,2 150,1 427,1 1,1
441,2 409,3 426,2 415,2 417,1 150,1 427,2 1,1
441,2 343,3 422,1 415,2 150,1 417,2 414,2 2,2
441,2 343,3 409,2 149,1 427,2 417,1 344,2 1,1
441,1 343,1 422,1 415,1 150,1 417,1 414,1 2,2
441,2 152,1 351,2 427,1 344,2 0,0 0,0 1,1
441,2 152,1 344,1 149,1 424,2 0,0 0,0 1,1
551,2 542,1 533,2 343,1 0,0 0,0 0,0 1,1
441,2 343,3 409,3 149,2 427,1 417,2 344,2 1,1
441,2 409,3 426,1 415,2 417,1 150,1 427,1 1,1
156,2 412,3 414,2 411,3 351,2 344,2 542,2 1,1
441,2 533,3 151,1 414,1 0,0 0,0 0,0 1,1
441,2 343,3 409,3 149,1 427,2 417,2 344,2 9,9
239,1 412,2 529,1 0,0 0,0 0,0 0,0 1,1
441,2 413,1 344,2 417,1 0,0 0,0 0,0 1,1
156,2 409,3 414,2 149,1 150,1 417,2 415,1 1,1
441,2 419,1 415,1 344,2 409,3 0,0 0,0 1,1
441,2 343,2 409,3 149,1 427,1 417,2 344,2 1,1
156,1 413,1 345,1 344,1 409,1 0,0 0,0 1,1
441,2 409,3 343,3 455,2 415,2 417,2 149,1 1,1
441,2 343,3 414,1 344,2 417,2 351,2 0,0 1,1
441,2 152,1 344,2 427,1 424,3 0,0 0,0 1,1
441,2 428,2 343,3 351,2 542,2 416,2 0,0 1,1
441,2 343,2 409,2 149,1 427,1 417,2 344,2 1,1
156,2 152,1 424,1 344,1 411,3 0,0 0,0 1,1
441,2 413,3 344,2 531,2 0,0 0,0 0,0 1,1
463,1 343,3 409,3 412,3 420,1 418,1 415,2 1,1
551,2 409,3 542,1 320,2 344,1 0,0 0,0 1,1
551,1 533,1 318,1 0,0 0,0 0,0 0,0 1,1
441,2 343,1 422,1 415,1 150,1 417,1 414,1 1,1
441,2 152,1 344,2 427,2 424,3 0,0 0,0 1,1
551,1 542,1 533,1 317,1 0,0 0,0 0,0 1,1
441,2 409,2 426,1 415,1 417,2 150,1 427,1 1,1
441,2 409,2 426,1 415,1 417,1 150,1 427,2 1,1
156,1 426,1 414,1 427,1 415,1 150,1 417,1 1,1
441,2 343,3 422,1 415,1 150,1 417,2 414,1 1,1
441,2 343,3 409,3 149,1 427,1 417,1 344,1 1,1
156,2 343,3 345,2 415,1 351,2 414,1 0,0 1,1
463,1 409,1 343,3 415,1 351,2 411,2 414,2 1,1
441,2 343,3 487,1 417,2 344,2 0,0 0,0 1,1
441,2 152,1 424,2 344,2 427,2 0,0 0,0 2,2
441,2 413,3 344,2 423,3 426,1 422,1 0,0 1,1
156,1 413,1 344,1 411,1 351,1 414,1 0,0 3,3
441,2 343,2 409,3 149,1 427,2 417,1 344,2 1,1
156,2 409,3 414,2 149,1 150,1 417,2 415,2 1,1
441,2 409,1 426,1 415,2 417,1 150,1 427,1 2,2
441,2 152,1 344,1 427,2 424,3 0,0 0,0 1,1
