442,1 394,1 339,1 459,2 346,2 338,2 280,1 1,1
224,2 339,1 337,3 387,1 351,2 424,1 338,2 1,1
224,1 426,1 162,1 402,1 161,1 158,1 163,1 1,1
442,1 348,1 459,1 338,1 387,1 382,2 346,1 1,1
262,1 284,1 181,1 179,1 457,1 347,1 446,1 1,1
224,1 339,1 543,1 519,1 0,0 0,0 0,0 1,1
224,1 339,1 542,1 543,1 520,1 0,0 0,0 1,1
442,1 436,1 450,1 457,2 351,2 0,0 0,0 1,1
291,1 342,1 357,2 138,2 351,2 282,2 136,1 1,1
442,1 465,1 424,1 491,1 377,1 380,1 0,0 1,1
224,2 361,2 353,3 354,3 445,1 357,3 138,3 1,1
552,2 370,3 512,1 457,2 312,3 555,2 351,2 1,1
442,1 348,2 347,2 414,2 421,1 344,2 422,1 1,1
224,2 348,1 542,1 402,1 161,1 158,1 395,2 1,1
552,2 370,3 512,1 457,2 312,3 555,3 351,2 1,1
291,1 395,3 542,2 447,1 203,1 408,1 0,0 1,1
442,1 443,1 387,2 385,3 457,2 351,2 337,3 1,1
224,1 348,1 537,1 346,1 158,1 161,1 163,1 2,2
224,1 348,1 341,1 359,1 424,1 525,1 358,1 1,1
442,1 348,1 346,2 357,3 457,2 351,2 356,3 1,1
554,1 348,1 492,1 0,0 0,0 0,0 0,0 1,1
224,1 348,1 344,1 346,1 415,1 417,1 426,1 6,9
503,2 348,2 347,3 357,3 346,3 490,3 358,1 4,6
224,1 348,1 395,1 402,1 161,1 163,1 346,1 11,17
224,1 398,1 162,1 400,1 161,1 158,1 163,1 41,67
224,1 348,1 542,1 402,1 539,1 424,1 395,1 3,5
224,1 348,1 542,1 520,1 387,1 346,1 427,1 4,7
224,1 342,1 341,1 359,1 358,1 357,1 346,1 5,9
224,1 162,1 542,1 396,1 161,1 163,1 158,1 11,21
224,1 514,1 184,1 371,1 346,1 424,1 369,1 1,2
224,1 162,1 426,1 402,1 161,1 158,1 396,1 2,4
224,1 343,1 414,1 345,1 415,1 417,1 411,1 1,2
224,1 348,1 395,1 402,1 161,1 346,1 163,1 4,8
224,1 339,1 387,1 337,1 424,1 351,1 338,1 1,2
224,1 348,1 537,1 161,1 158,1 163,1 346,1 1,2
224,1 348,1 542,1 520,1 387,1 346,1 172,1 2,4
224,1 348,1 426,1 402,1 161,1 163,1 346,1 6,13
224,1 184,1 371,1 424,1 369,1 185,1 346,1 4,10
224,1 162,1 195,1 161,1 163,1 158,1 395,1 3,8
224,1 353,1 348,1 351,1 357,1 360,1 426,1 1,3
224,1 514,1 513,1 543,1 0,0 0,0 0,0 1,3
224,1 162,1 542,1 402,1 161,1 427,1 158,1 1,4
224,1 162,1 395,1 161,1 163,1 158,1 400,1 2,8
224,1 514,1 543,1 0,0 0,0 0,0 0,0 1,5
224,1 533,1 532,1 543,1 0,0 0,0 0,0 1,7
224,1 343,1 345,1 533,1 543,1 0,0 0,0 0,3
224,1 348,1 384,1 385,1 387,1 381,1 0,0 0,1
224,1 136,1 0,0 0,0 0,0 0,0 0,0 0,13
224,1 348,1 346,1 395,1 161,1 402,1 163,1 0,1
224,1 542,1 413,1 531,1 415,1 411,1 149,1 0,1
224,1 348,1 141,1 357,1 359,1 358,1 346,1 0,2
224,1 162,1 160,1 400,1 163,1 161,1 158,1 0,1
224,1 343,1 345,1 542,1 351,1 531,1 0,0 0,1
442,1 348,2 455,2 430,1 351,2 344,2 346,2 0,1
552,2 343,2 409,1 345,1 320,1 344,2 346,2 0,1
442,1 436,1 412,3 346,2 415,2 345,1 344,2 0,1
552,2 524,2 522,1 326,1 527,3 0,0 0,0 0,1
552,2 532,3 321,2 542,2 424,3 409,1 0,0 0,1
224,1 348,1 414,1 415,1 417,1 346,1 411,1 0,1
224,1 343,1 0,0 0,0 0,0 0,0 0,0 0,1
442,1 348,2 459,1 338,2 387,1 382,1 346,2 0,1
224,2 342,1 353,3 359,2 358,2 360,1 346,2 0,1
442,1 348,2 346,2 357,3 457,2 351,1 356,3 0,1
224,1 542,1 412,1 420,1 345,1 417,1 415,1 0,1
224,1 398,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 348,1 346,1 537,1 161,1 158,1 163,1 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,6
503,2 348,1 347,3 357,3 346,3 490,3 358,1 0,1
224,1 533,1 543,1 0,0 0,0 0,0 0,0 0,5
442,1 348,1 346,2 357,2 457,2 351,2 356,3 0,1
554,1 413,3 542,1 344,2 415,2 417,2 0,0 0,1
552,1 514,1 544,1 515,1 0,0 0,0 0,0 0,1
224,1 348,1 160,1 395,1 402,1 161,1 163,1 0,1
442,1 436,1 450,1 395,3 401,2 351,2 408,1 0,1
224,1 409,1 343,1 345,1 346,1 351,1 457,1 0,1
224,1 348,1 542,1 520,1 387,1 424,1 169,1 0,1
224,1 348,1 387,1 424,1 337,1 351,1 338,1 0,1
