437,2 394,1 381,3 349,3 337,3 172,1 0,0 1,1
437,2 383,3 169,2 172,1 542,1 337,1 0,0 1,1
437,2 383,1 169,1 172,1 542,1 337,3 0,0 2,2
437,2 251,1 339,1 172,1 0,0 0,0 0,0 1,1
178,2 394,1 169,3 177,1 172,2 0,0 0,0 1,1
437,2 426,3 474,1 0,0 0,0 0,0 0,0 1,1
437,2 339,1 382,3 0,0 0,0 0,0 0,0 2,2
437,1 427,1 381,1 169,1 517,1 172,1 337,1 1,1
437,1 427,1 381,1 169,1 172,1 542,1 337,1 1,1
437,2 394,1 172,2 177,1 0,0 0,0 0,0 1,1
437,2 394,1 381,3 339,1 337,3 0,0 0,0 2,2
547,1 542,1 305,1 0,0 0,0 0,0 0,0 1,1
437,2 394,1 381,3 474,1 0,0 0,0 0,0 1,1
437,2 394,1 443,1 172,1 337,3 0,0 0,0 2,2
437,2 383,1 169,1 172,1 542,1 337,2 0,0 2,2
257,2 383,3 349,3 337,3 426,3 0,0 0,0 1,1
437,2 426,3 381,3 177,1 394,1 0,0 0,0 1,1
437,1 381,1 383,1 169,1 337,1 172,1 427,1 1,1
437,2 349,3 542,1 337,3 0,0 0,0 0,0 2,2
437,1 169,1 339,1 542,1 0,0 0,0 0,0 1,1
437,1 339,1 169,1 337,1 0,0 0,0 0,0 1,1
257,1 169,1 349,1 542,1 337,1 0,0 0,0 1,1
437,2 383,1 169,1 172,1 542,1 337,1 0,0 1,1
437,2 383,1 427,1 169,1 196,1 172,1 0,0 1,1
178,1 339,1 542,1 0,0 0,0 0,0 0,0 1,1
437,2 383,2 169,2 172,1 542,1 337,3 0,0 1,1
437,1 339,1 172,1 392,1 0,0 0,0 0,0 1,1
437,2 383,3 169,3 172,1 542,2 337,3 0,0 1,1
437,2 381,2 349,3 337,2 172,1 0,0 0,0 1,1
437,2 426,3 339,1 337,3 0,0 0,0 0,0 1,1
437,2 394,1 381,1 169,1 339,1 172,1 0,0 1,1
437,2 381,3 339,1 337,3 394,1 0,0 0,0 1,1
437,2 383,2 169,1 172,1 542,2 337,3 0,0 3,3
437,2 381,3 542,2 519,2 172,1 0,0 0,0 1,1
437,2 394,1 169,3 474,1 0,0 0,0 0,0 1,1
437,2 388,2 428,2 0,0 0,0 0,0 0,0 1,1
437,2 169,2 349,3 172,1 337,3 0,0 0,0 1,1
437,1 381,1 339,1 337,1 394,1 0,0 0,0 1,1
437,2 383,3 169,1 172,1 542,1 337,3 394,1 1,1
437,2 394,1 470,1 172,1 169,1 0,0 0,0 1,1
257,2 394,1 339,1 172,1 337,3 0,0 0,0 1,1
437,2 428,1 337,3 172,1 392,1 426,1 0,0 1,1
437,2 428,2 172,1 542,1 337,2 0,0 0,0 1,1
437,2 388,2 382,3 394,1 0,0 0,0 0,0 1,1
437,2 394,1 169,1 474,1 0,0 0,0 0,0 1,1
547,2 305,1 337,3 381,3 0,0 0,0 0,0 1,1
437,1 426,1 542,1 517,1 172,1 337,1 0,0 1,1
437,2 426,3 388,2 337,3 0,0 0,0 0,0 1,1
437,2 426,2 349,3 172,1 337,3 0,0 0,0 1,1
437,2 169,3 349,3 172,1 337,3 0,0 0,0 1,1
437,2 381,2 339,1 337,3 0,0 0,0 0,0 1,1
257,2 388,2 337,3 392,2 394,1 0,0 0,0 1,1
178,1 339,1 337,1 0,0 0,0 0,0 0,0 2,2
547,1 305,1 0,0 0,0 0,0 0,0 0,0 1,1
257,2 381,1 349,3 337,3 172,1 169,1 0,0 2,2
437,2 381,2 169,3 339,1 172,1 0,0 0,0 1,1
178,1 339,1 387,1 172,1 0,0 0,0 0,0 1,1
437,2 349,3 337,3 387,2 0,0 0,0 0,0 1,1
437,1 339,1 337,1 0,0 0,0 0,0 0,0 1,1
437,1 394,1 426,1 169,1 339,1 172,1 0,0 1,1
437,2 383,3 169,1 172,1 542,2 337,3 0,0 5,6
437,2 426,2 381,3 339,1 172,1 0,0 0,0 5,6
437,2 383,3 169,1 172,1 542,1 337,3 0,0 17,22
178,1 452,1 337,1 0,0 0,0 0,0 0,0 2,3
437,2 383,3 169,2 172,1 542,1 337,3 0,0 2,3
507,1 394,1 383,3 169,1 172,1 337,3 381,3 2,3
437,1 383,1 169,1 172,1 542,1 337,1 0,0 199,310
437,2 381,3 339,1 542,2 0,0 0,0 0,0 5,8
437,2 169,1 381,3 339,1 172,1 0,0 0,0 8,13
437,1 349,1 542,1 337,1 0,0 0,0 0,0 6,10
547,1 542,1 519,1 0,0 0,0 0,0 0,0 3,5
437,1 394,1 381,1 169,1 339,1 172,1 0,0 20,34
437,2 383,2 169,1 172,1 542,1 337,3 0,0 4,7
437,1 169,1 381,1 339,1 172,1 0,0 0,0 75,141
437,1 381,1 169,1 339,1 172,1 0,0 0,0 10,19
437,1 381,1 339,1 542,1 0,0 0,0 0,0 53,104
178,1 349,1 337,1 452,1 0,0 0,0 0,0 1,2
437,2 381,3 339,1 337,3 0,0 0,0 0,0 6,12
437,2 383,1 169,1 172,1 542,2 337,3 0,0 2,4
437,1 542,1 339,1 381,1 0,0 0,0 0,0 2,4
437,1 349,1 172,1 337,1 169,1 0,0 0,0 2,4
437,1 339,1 337,1 381,1 0,0 0,0 0,0 1,2
437,2 169,1 349,3 172,1 337,3 0,0 0,0 1,2
437,2 381,3 339,1 172,1 169,1 0,0 0,0 3,6
437,2 394,1 426,1 339,1 337,3 0,0 0,0 1,2
437,1 339,1 381,1 169,1 172,1 0,0 0,0 1,2
437,2 381,3 169,1 196,1 172,1 337,3 0,0 1,2
547,1 339,1 0,0 0,0 0,0 0,0 0,0 1,2
178,1 339,1 0,0 0,0 0,0 0,0 0,0 1,2
437,2 339,1 337,3 381,1 0,0 0,0 0,0 1,2
437,2 426,3 381,3 339,1 172,1 0,0 0,0 2,4
437,2 394,1 381,2 169,1 339,1 172,1 0,0 1,2
437,1 381,1 339,1 169,1 172,1 0,0 0,0 30,61
437,1 381,1 542,1 519,1 172,1 0,0 0,0 43,91
178,1 383,1 169,1 196,1 337,1 172,1 0,0 12,26
437,1 381,1 339,1 337,1 0,0 0,0 0,0 11,24
437,1 339,1 542,1 381,1 0,0 0,0 0,0 6,14
437,1 349,1 337,1 387,1 0,0 0,0 0,0 4,10
437,1 426,1 169,1 339,1 172,1 0,0 0,0 4,11
437,1 381,1 349,1 337,1 172,1 0,0 0,0 4,11
437,2 339,1 337,3 381,3 0,0 0,0 0,0 2,6
437,2 383,3 169,1 172,1 542,1 337,2 0,0 1,3
437,1 169,1 349,1 172,1 542,1 0,0 0,0 1,3
437,2 381,1 169,1 339,1 172,1 0,0 0,0 1,3
437,1 381,1 169,1 172,1 338,1 337,1 0,0 1,3
437,2 383,3 169,2 172,1 542,2 337,3 0,0 1,3
437,2 381,3 339,1 542,1 0,0 0,0 0,0 2,7
437,1 388,1 381,1 386,1 0,0 0,0 0,0 1,4
547,1 542,1 305,1 381,1 0,0 0,0 0,0 1,4
437,1 169,1 349,1 172,1 337,1 0,0 0,0 1,4
547,1 305,1 337,1 381,1 0,0 0,0 0,0 1,4
437,1 381,1 521,1 169,1 0,0 0,0 0,0 1,4
437,1 521,1 172,1 0,0 0,0 0,0 0,0 4,18
437,1 426,1 381,1 169,1 172,1 337,1 196,1 1,5
437,2 387,2 394,1 385,3 351,2 0,0 0,0 1,5
437,1 427,1 383,1 169,1 196,1 172,1 0,0 1,6
437,1 383,1 427,1 169,1 196,1 172,1 0,0 2,13
437,1 426,1 169,1 381,1 172,1 337,1 196,1 1,7
437,1 521,1 427,1 0,0 0,0 0,0 0,0 1,7
437,1 381,1 337,1 387,1 338,1 0,0 0,0 1,10
437,1 174,1 169,1 429,1 0,0 0,0 0,0 0,1
178,1 339,1 394,1 387,1 0,0 0,0 0,0 0,2
437,1 381,1 169,1 427,1 386,1 171,1 0,0 0,1
437,1 426,1 169,1 388,1 172,1 0,0 0,0 0,1
178,1 381,1 0,0 0,0 0,0 0,0 0,0 0,1
178,1 381,1 339,1 337,1 426,1 0,0 0,0 0,2
437,1 388,1 191,1 169,1 0,0 0,0 0,0 0,1
178,1 349,1 351,1 0,0 0,0 0,0 0,0 0,1
437,2 381,3 169,1 339,1 172,1 0,0 0,0 0,1
437,1 426,1 337,1 387,1 392,1 386,1 394,1 0,2
437,2 426,3 381,1 339,1 172,1 0,0 0,0 0,1
437,2 339,1 392,1 0,0 0,0 0,0 0,0 0,1
437,2 383,3 337,3 542,2 172,1 426,2 0,0 0,1
437,1 521,1 426,1 169,1 0,0 0,0 0,0 0,3
437,2 542,1 339,1 381,3 394,1 0,0 0,0 0,1
178,1 394,1 474,1 172,1 0,0 0,0 0,0 0,1
437,2 383,3 459,1 337,3 351,2 394,1 0,0 0,1
437,1 349,1 172,1 337,1 381,1 0,0 0,0 0,1
437,1 381,1 388,1 169,1 172,1 0,0 0,0 0,2
437,2 339,1 337,3 381,3 394,1 0,0 0,0 0,1
547,1 350,1 459,1 0,0 0,0 0,0 0,0 0,1
437,2 381,1 542,1 519,1 172,1 0,0 0,0 0,1
507,1 394,1 177,1 0,0 0,0 0,0 0,0 0,1
437,1 383,1 387,1 389,1 427,1 0,0 0,0 0,1
437,2 169,1 349,3 337,3 172,1 0,0 0,0 0,1
547,1 349,1 428,1 0,0 0,0 0,0 0,0 0,2
437,2 381,3 337,3 426,3 389,2 386,2 0,0 0,1
437,1 544,1 170,1 426,1 169,1 0,0 0,0 0,2
437,1 383,1 381,1 389,1 386,1 0,0 0,0 0,1
437,1 521,1 381,1 169,1 0,0 0,0 0,0 0,1
437,1 381,1 389,1 427,1 171,1 0,0 0,0 0,2
437,2 337,1 349,3 169,1 172,1 0,0 0,0 0,1
437,1 426,1 339,1 337,1 0,0 0,0 0,0 0,1
437,1 383,1 424,1 426,1 172,1 386,1 0,0 0,1
437,1 544,1 381,1 193,1 169,1 0,0 0,0 0,1
437,1 521,1 381,1 426,1 0,0 0,0 0,0 0,3
437,1 170,1 190,1 0,0 0,0 0,0 0,0 0,2
437,1 381,1 383,1 387,1 389,1 0,0 0,0 0,1
437,1 394,1 349,1 169,1 337,1 172,1 0,0 0,1
437,1 383,1 381,1 426,1 520,1 0,0 0,0 0,1
178,1 424,1 383,1 172,1 0,0 0,0 0,0 0,1
437,1 383,1 169,1 519,1 172,1 0,0 0,0 0,1
437,2 394,1 426,3 339,1 337,3 0,0 0,0 0,1
547,1 349,1 542,1 0,0 0,0 0,0 0,0 0,1
437,2 381,1 339,1 337,3 0,0 0,0 0,0 0,1
437,1 388,1 426,1 542,1 0,0 0,0 0,0 0,1
437,1 383,1 459,1 337,1 351,1 0,0 0,0 0,1
178,1 169,1 0,0 0,0 0,0 0,0 0,0 0,7
437,1 425,1 427,1 386,1 0,0 0,0 0,0 0,1
437,1 349,1 172,1 196,1 0,0 0,0 0,0 0,1
437,1 426,1 381,1 339,1 172,1 0,0 0,0 0,1
437,1 337,1 428,1 452,1 426,1 0,0 0,0 0,1
437,1 339,1 172,1 169,1 381,1 0,0 0,0 0,1
437,2 381,3 542,1 339,1 0,0 0,0 0,0 0,1
437,1 388,1 169,1 337,1 0,0 0,0 0,0 0,1
437,1 521,1 169,1 426,1 0,0 0,0 0,0 0,1
437,2 426,1 339,1 337,3 0,0 0,0 0,0 0,1
437,2 426,1 388,1 337,1 0,0 0,0 0,0 0,1
178,1 426,1 174,1 0,0 0,0 0,0 0,0 0,1
437,1 394,1 349,1 337,1 169,1 172,1 0,0 0,1
437,2 542,1 350,2 172,1 394,1 0,0 0,0 0,1
437,1 381,1 384,1 389,1 0,0 0,0 0,0 0,1
437,2 394,1 338,2 452,3 172,1 426,1 0,0 0,1
437,1 388,1 382,1 0,0 0,0 0,0 0,0 0,1
437,1 381,1 428,1 169,1 172,1 196,1 0,0 0,1
437,1 383,1 194,1 195,1 0,0 0,0 0,0 0,1
437,2 426,1 337,3 387,1 392,1 386,2 394,1 0,1
437,1 339,1 175,1 0,0 0,0 0,0 0,0 0,1
437,1 381,1 521,1 426,1 0,0 0,0 0,0 0,1
437,1 388,1 426,1 169,1 427,1 0,0 0,0 0,1
437,1 425,1 169,1 389,1 0,0 0,0 0,0 0,1
437,1 174,1 193,1 169,1 0,0 0,0 0,0 0,1
437,2 381,2 339,1 337,3 394,1 0,0 0,0 0,1
437,2 394,1 381,3 169,1 339,1 172,1 0,0 0,1
437,1 388,1 172,1 169,1 381,1 0,0 0,0 0,2
437,1 383,1 169,1 337,1 172,1 427,1 381,1 0,1
437,2 388,1 382,3 0,0 0,0 0,0 0,0 0,1
437,2 169,1 381,2 339,1 172,1 0,0 0,0 0,1
437,1 428,1 426,1 169,1 519,1 0,0 0,0 0,1
437,1 383,1 169,1 196,1 426,1 172,1 381,1 0,1
437,1 425,1 426,1 389,1 0,0 0,0 0,0 0,1
178,1 169,1 519,1 381,1 0,0 0,0 0,0 0,1
437,2 394,1 349,3 337,3 386,2 0,0 0,0 0,1
437,2 339,1 387,2 381,3 394,1 0,0 0,0 0,2
437,1 388,1 337,1 381,1 0,0 0,0 0,0 0,1
437,1 381,1 337,1 387,1 389,1 0,0 0,0 0,1
437,2 381,3 169,1 172,1 338,1 337,1 0,0 0,1
178,1 521,1 0,0 0,0 0,0 0,0 0,0 0,1
437,2 383,2 169,3 172,1 542,1 337,3 0,0 0,1
437,1 337,1 381,1 426,1 169,1 172,1 196,1 0,1
547,2 542,2 519,1 0,0 0,0 0,0 0,0 0,1
