439,1 367,1 426,1 380,1 180,1 542,1 373,1 1,1
439,1 367,1 191,1 426,1 373,1 427,1 0,0 1,1
439,1 367,1 373,1 379,1 183,1 0,0 0,0 1,1
259,1 515,1 373,1 237,1 0,0 0,0 0,0 1,1
259,2 367,3 334,3 373,2 0,0 0,0 0,0 1,1
439,2 367,3 370,3 373,2 514,3 0,0 0,0 5,5
549,2 380,1 315,1 0,0 0,0 0,0 0,0 1,1
439,2 367,3 373,2 371,3 0,0 0,0 0,0 2,2
439,2 334,2 373,2 0,0 0,0 0,0 0,0 2,2
259,1 514,1 188,1 0,0 0,0 0,0 0,0 1,1
439,1 180,1 367,1 379,1 373,1 0,0 0,0 1,1
259,1 380,1 367,1 334,1 373,1 0,0 0,0 2,2
439,1 367,1 180,1 379,1 373,1 0,0 0,0 1,1
259,1 426,1 334,1 373,1 0,0 0,0 0,0 1,1
439,1 380,1 367,1 379,1 183,1 373,1 0,0 1,1
439,2 367,3 180,3 379,1 373,2 380,1 0,0 1,1
509,1 380,1 334,3 514,3 0,0 0,0 0,0 2,2
439,2 367,3 514,3 373,2 542,1 0,0 0,0 1,1
439,2 367,1 373,2 371,3 0,0 0,0 0,0 1,1
439,2 380,1 297,1 514,3 373,2 542,1 0,0 1,1
439,2 367,3 370,3 373,1 514,2 0,0 0,0 1,1
439,2 367,3 370,1 373,1 514,3 0,0 0,0 1,1
439,2 426,3 514,3 373,2 542,2 0,0 0,0 1,1
439,2 367,1 368,3 373,2 0,0 0,0 0,0 2,2
259,1 367,1 334,1 373,1 0,0 0,0 0,0 1,1
439,2 180,3 380,1 373,2 379,1 367,3 0,0 1,1
439,2 380,1 367,3 373,1 371,3 0,0 0,0 6,6
189,1 514,1 544,1 542,1 0,0 0,0 0,0 2,2
439,1 334,1 380,1 373,1 0,0 0,0 0,0 1,1
439,2 367,3 180,1 426,2 451,3 373,1 0,0 1,1
509,1 334,3 542,2 0,0 0,0 0,0 0,0 1,1
439,2 367,3 370,3 373,2 514,2 0,0 0,0 2,2
439,2 380,1 334,2 373,2 0,0 0,0 0,0 2,2
439,2 451,3 373,2 379,1 0,0 0,0 0,0 2,2
278,1 427,2 334,3 0,0 0,0 0,0 0,0 1,1
549,2 315,2 0,0 0,0 0,0 0,0 0,0 1,1
439,2 334,3 373,2 380,1 0,0 0,0 0,0 1,1
439,2 380,1 370,3 373,1 379,1 0,0 0,0 3,3
439,1 380,1 370,1 373,1 379,1 0,0 0,0 2,2
439,2 180,1 373,1 514,1 183,1 0,0 0,0 1,1
439,1 514,1 180,1 373,1 183,1 0,0 0,0 1,1
509,1 334,3 514,3 0,0 0,0 0,0 0,0 1,1
189,1 367,1 334,1 373,1 0,0 0,0 0,0 1,1
509,1 334,3 514,1 0,0 0,0 0,0 0,0 1,1
