224,2 348,2 339,1 426,2 338,2 381,3 346,2 1,1
552,1 514,1 311,1 543,1 0,0 0,0 0,0 1,1
552,1 339,1 542,1 543,1 452,1 0,0 0,0 1,1
224,1 348,1 542,1 345,1 414,1 411,1 420,1 1,1
442,1 348,2 409,3 414,2 345,2 413,3 426,3 1,1
224,1 348,1 542,1 361,1 366,1 342,1 0,0 1,1
552,1 514,1 542,1 315,1 543,1 0,0 0,0 1,1
552,1 514,1 542,1 543,1 312,1 0,0 0,0 3,3
224,2 348,2 184,1 180,1 367,3 368,1 0,0 1,1
224,2 443,1 392,2 201,1 542,2 346,2 337,3 1,1
552,1 515,1 542,1 514,1 312,1 0,0 0,0 1,1
552,1 515,1 514,1 543,1 544,1 0,0 0,0 1,1
552,2 515,1 514,2 543,2 513,1 0,0 0,0 1,1
291,1 518,1 383,3 459,2 287,3 555,3 337,3 1,1
442,1 366,1 361,1 342,1 348,2 462,1 353,3 1,1
554,1 348,2 460,1 409,1 455,1 146,1 0,0 1,1
442,1 348,2 345,2 420,1 415,2 414,2 346,2 1,1
442,1 348,2 345,2 420,2 415,2 414,2 346,2 1,1
552,2 383,3 436,1 542,1 329,1 338,2 394,1 1,1
224,1 343,1 345,1 0,0 0,0 0,0 0,0 1,1
552,1 514,1 542,1 543,1 513,1 544,1 0,0 1,1
224,1 348,1 542,1 339,1 337,1 346,1 426,1 1,1
552,2 380,1 370,3 514,1 315,1 542,1 379,1 1,1
224,1 348,1 542,1 345,1 415,1 346,1 426,1 1,1
552,1 514,1 315,1 543,1 0,0 0,0 0,0 1,1
224,1 348,1 413,1 345,1 414,1 426,1 409,1 1,1
224,1 348,1 542,1 415,1 345,1 346,1 409,1 97,153
224,1 348,1 542,1 345,1 415,1 346,1 409,1 27,44
224,1 348,1 514,1 373,1 368,1 180,1 426,1 12,21
224,1 533,1 542,1 344,1 413,1 343,1 409,1 4,7
224,1 533,1 542,1 345,1 415,1 409,1 426,1 4,7
224,1 348,1 514,1 373,1 368,1 346,1 367,1 57,104
224,1 348,1 339,1 338,1 346,1 426,1 381,1 2,4
224,1 348,1 376,1 368,1 367,1 380,1 0,0 2,4
224,1 349,1 334,1 451,1 0,0 0,0 0,0 1,2
224,1 348,1 514,1 542,1 373,1 368,1 0,0 2,4
224,1 533,1 542,1 344,1 415,1 343,1 411,1 1,2
224,1 348,1 368,1 514,1 373,1 367,1 180,1 4,8
224,1 348,1 542,1 345,1 415,1 414,1 409,1 1,2
224,1 368,1 514,1 373,1 542,1 349,1 427,1 1,2
224,1 180,1 368,1 373,1 184,1 514,1 367,1 27,54
224,1 348,1 542,1 539,1 402,1 396,1 395,1 7,15
224,1 533,1 542,1 345,1 344,1 409,1 426,1 6,13
224,1 348,1 412,1 345,1 415,1 409,1 346,1 2,5
224,1 348,1 368,1 184,1 180,1 367,1 0,0 7,18
224,1 180,1 370,1 373,1 367,1 184,1 368,1 16,47
224,1 533,1 345,1 409,1 413,1 426,1 0,0 1,3
224,1 180,1 368,1 184,1 373,1 370,1 0,0 1,3
552,1 514,1 542,1 543,1 544,1 0,0 0,0 1,3
224,1 337,1 339,1 521,1 459,1 0,0 0,0 1,3
224,1 533,1 542,1 345,1 343,1 351,1 0,0 1,3
224,1 348,1 184,1 180,1 367,1 368,1 0,0 3,10
224,1 361,1 341,1 346,1 358,1 359,1 360,1 3,11
224,1 348,1 514,1 373,1 542,1 451,1 370,1 1,4
224,1 348,1 542,1 361,1 341,1 359,1 353,1 1,4
224,1 348,1 368,1 367,1 184,1 180,1 0,0 1,5
224,1 348,1 345,1 409,1 415,1 414,1 346,1 1,7
224,1 348,1 140,1 361,1 346,1 353,1 136,1 1,10
224,1 348,1 368,1 367,1 180,1 184,1 0,0 0,5
442,1 348,2 345,2 420,2 415,1 414,2 346,1 0,1
442,1 348,2 434,1 342,1 462,1 0,0 0,0 0,1
224,1 348,1 514,1 373,1 368,1 180,1 367,1 0,1
552,1 514,1 451,1 543,1 0,0 0,0 0,0 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,2
224,1 180,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 348,1 409,1 414,1 345,1 344,1 346,1 0,1
554,1 339,1 394,1 448,1 457,2 391,2 0,0 0,1
554,1 375,1 426,1 380,1 367,3 371,3 374,1 0,1
224,1 368,1 514,1 373,1 542,1 430,1 427,1 0,1
554,1 343,3 348,2 422,1 420,1 415,2 460,1 0,1
552,1 514,1 0,0 0,0 0,0 0,0 0,0 0,2
