259,2 184,2 371,3 237,2 378,2 272,2 380,1 1,1
278,1 380,1 180,3 352,1 188,1 0,0 0,0 1,1
189,1 376,1 371,1 541,1 0,0 0,0 0,0 1,1
278,1 428,2 237,1 188,1 0,0 0,0 0,0 2,2
439,2 184,1 371,1 379,1 0,0 0,0 0,0 1,1
439,2 184,1 371,3 183,1 272,1 0,0 0,0 1,1
549,1 515,1 544,1 311,1 0,0 0,0 0,0 2,2
439,2 184,1 371,3 183,1 273,3 380,1 0,0 1,1
439,2 515,1 429,1 371,2 183,1 0,0 0,0 1,1
439,2 368,3 183,2 379,1 371,3 380,1 0,0 1,1
439,2 184,1 371,3 379,1 0,0 0,0 0,0 1,1
259,2 184,2 371,3 179,3 237,2 380,1 0,0 1,1
439,2 184,1 380,1 371,1 379,1 0,0 0,0 1,1
278,1 180,3 352,1 188,1 0,0 0,0 0,0 1,1
439,2 184,2 371,3 379,1 380,1 0,0 0,0 2,2
439,2 375,2 371,3 379,1 0,0 0,0 0,0 1,1
439,2 368,3 380,1 371,3 379,1 378,2 0,0 3,3
189,2 184,2 371,3 179,3 183,2 0,0 0,0 1,1
439,2 375,1 371,3 429,1 0,0 0,0 0,0 1,1
439,2 184,2 379,1 371,3 0,0 0,0 0,0 1,1
549,1 184,1 312,1 183,1 0,0 0,0 0,0 1,1
259,1 376,1 371,1 379,1 0,0 0,0 0,0 1,1
439,2 184,1 379,1 371,3 380,1 0,0 0,0 1,1
509,1 180,1 379,1 183,1 273,2 193,3 237,1 1,1
439,2 380,1 428,2 379,1 429,2 194,1 183,1 1,1
549,2 184,1 312,3 183,1 0,0 0,0 0,0 1,1
439,2 427,2 430,1 371,3 379,1 380,1 0,0 1,1
278,1 428,2 273,1 188,1 0,0 0,0 0,0 1,1
549,2 315,1 371,3 0,0 0,0 0,0 0,0 1,1
439,2 184,2 379,1 371,3 380,1 0,0 0,0 1,1
549,1 515,1 312,1 0,0 0,0 0,0 0,0 3,3
259,2 184,2 380,1 379,1 371,3 427,2 0,0 1,1
439,2 376,2 380,1 371,3 183,1 0,0 0,0 1,1
439,2 184,1 427,2 371,3 183,1 380,1 0,0 2,2
549,1 515,1 312,1 513,1 0,0 0,0 0,0 3,3
189,1 376,1 380,1 371,1 179,1 0,0 0,0 1,1
549,1 380,1 315,1 371,1 0,0 0,0 0,0 1,1
259,1 184,1 379,1 371,1 378,1 0,0 0,0 1,1
439,2 368,3 371,3 379,1 183,1 380,1 0,0 1,1
500,1 368,2 377,1 371,1 380,1 0,0 0,0 1,1
549,2 180,1 380,1 187,1 312,1 237,1 0,0 1,1
439,1 184,1 183,1 371,1 427,1 380,1 0,0 1,1
439,2 368,3 380,1 379,1 371,3 378,2 0,0 1,1
549,2 428,2 380,1 179,3 312,3 378,1 0,0 1,1
189,1 184,1 179,1 371,1 0,0 0,0 0,0 1,1
439,2 184,1 371,3 179,1 380,1 0,0 0,0 1,1
439,2 376,2 371,3 378,1 0,0 0,0 0,0 1,1
439,2 180,2 380,1 430,2 371,3 379,1 0,0 1,1
278,1 380,1 352,1 237,2 188,1 0,0 0,0 1,1
439,2 180,3 428,2 183,2 379,1 371,3 380,1 1,1
439,1 376,1 371,1 378,1 0,0 0,0 0,0 1,1
189,1 180,1 375,1 179,1 192,1 380,1 0,0 1,1
439,1 184,1 368,1 428,1 0,0 0,0 0,0 1,1
509,1 180,1 380,1 379,1 371,1 378,1 427,1 1,1
259,1 184,1 179,1 371,1 183,1 0,0 0,0 1,1
278,1 368,1 188,1 0,0 0,0 0,0 0,0 1,1
278,1 368,3 376,1 0,0 0,0 0,0 0,0 1,1
278,1 380,1 188,1 371,3 0,0 0,0 0,0 1,1
439,1 375,1 429,1 194,1 427,1 0,0 0,0 1,1
549,1 315,1 179,1 183,1 0,0 0,0 0,0 1,1
439,1 375,1 379,1 371,1 0,0 0,0 0,0 1,1
439,2 184,2 380,1 371,3 379,1 0,0 0,0 1,1
