554,1 436,1 462,1 408,1 546,1 490,3 158,3 1,1
262,2 486,3 244,1 0,0 0,0 0,0 0,0 1,1
442,1 492,1 408,1 395,1 0,0 0,0 0,0 1,1
291,1 436,1 462,1 351,2 337,3 394,1 0,0 1,1
442,1 348,2 343,3 420,2 414,2 346,2 0,0 1,1
552,2 315,1 514,3 546,1 0,0 0,0 0,0 1,1
224,2 348,2 343,3 344,2 346,2 0,0 0,0 1,1
224,2 348,2 514,3 369,3 346,2 0,0 0,0 2,2
291,1 474,1 426,3 394,1 169,1 0,0 0,0 1,1
442,1 426,3 433,1 0,0 0,0 0,0 0,0 2,2
442,1 348,1 357,3 490,1 0,0 0,0 0,0 1,1
552,2 315,2 542,2 546,1 380,1 0,0 0,0 1,1
552,2 367,3 514,1 315,1 0,0 0,0 0,0 1,1
552,1 514,1 542,1 543,1 313,1 0,0 0,0 1,1
224,1 136,1 361,1 357,1 427,1 426,1 353,1 1,1
552,2 315,1 542,2 546,1 0,0 0,0 0,0 1,1
442,1 348,2 462,1 420,1 414,2 346,2 422,1 1,1
552,1 514,1 315,1 0,0 0,0 0,0 0,0 1,1
224,2 533,3 542,2 414,1 346,2 0,0 0,0 3,4
224,1 380,1 184,1 514,1 185,1 346,1 0,0 11,15
224,1 533,1 542,1 414,1 346,1 0,0 0,0 88,120
224,1 184,1 514,1 185,1 346,1 0,0 0,0 111,152
224,1 533,1 542,1 344,1 0,0 0,0 0,0 116,163
224,1 533,1 542,1 346,1 414,1 0,0 0,0 94,140
442,1 450,1 542,1 346,2 0,0 0,0 0,0 2,3
224,1 184,1 367,1 185,1 346,1 183,1 0,0 12,20
224,1 184,1 180,1 367,1 346,1 185,1 0,0 10,17
224,1 339,1 387,1 346,1 381,1 172,1 0,0 4,7
224,1 184,1 367,1 180,1 185,1 346,1 0,0 28,53
552,1 514,1 542,1 543,1 0,0 0,0 0,0 1,2
224,1 348,1 542,1 346,1 414,1 426,1 0,0 1,2
224,1 340,1 426,1 353,1 341,1 359,1 346,1 1,2
224,1 409,1 343,1 414,1 345,1 415,1 0,0 1,2
224,1 184,1 180,1 369,1 185,1 0,0 0,0 1,2
224,1 361,1 542,1 341,1 346,1 426,1 0,0 1,2
552,1 514,1 542,1 312,1 0,0 0,0 0,0 1,2
224,1 348,1 542,1 514,1 346,1 0,0 0,0 5,10
224,1 368,1 514,1 373,1 427,1 0,0 0,0 3,6
224,1 348,1 514,1 369,1 346,1 0,0 0,0 4,10
224,1 361,1 542,1 359,1 136,1 141,1 0,0 3,8
224,1 533,1 542,1 346,1 427,1 0,0 0,0 1,3
224,1 361,1 426,1 353,1 141,1 359,1 346,1 1,3
224,1 339,1 337,1 351,1 346,1 0,0 0,0 1,3
224,1 380,1 348,1 514,1 369,1 346,1 0,0 5,15
224,1 353,1 354,1 341,1 359,1 346,1 426,1 1,4
224,1 533,1 542,1 415,1 0,0 0,0 0,0 1,6
224,1 348,1 514,1 542,1 346,1 0,0 0,0 0,3
224,1 361,1 353,1 341,1 359,1 346,1 0,0 0,1
224,1 361,1 542,1 357,1 346,1 0,0 0,0 0,1
224,1 348,1 542,1 346,1 387,1 0,0 0,0 0,8
552,2 544,3 542,2 525,1 546,1 0,0 0,0 0,1
442,1 376,1 380,1 377,1 0,0 0,0 0,0 0,1
224,1 361,1 542,1 359,1 341,1 0,0 0,0 0,1
224,1 533,1 542,1 346,1 409,1 426,1 0,0 0,1
224,1 366,1 348,1 542,1 359,1 346,1 0,0 0,1
224,2 380,1 348,2 514,3 369,1 346,2 0,0 0,1
224,1 346,1 184,1 367,1 180,1 185,1 0,0 0,1
442,1 348,2 357,1 542,2 0,0 0,0 0,0 0,1
442,1 348,1 357,1 490,1 0,0 0,0 0,0 0,1
224,1 348,1 542,1 359,1 346,1 0,0 0,0 0,5
224,1 348,1 353,1 359,1 346,1 427,1 0,0 0,1
224,1 361,1 426,1 353,1 346,1 141,1 359,1 0,1
554,1 348,2 344,2 555,1 0,0 0,0 0,0 0,1
224,2 380,1 348,1 514,3 369,3 346,2 0,0 0,2
224,1 361,1 542,1 359,1 358,1 136,1 0,0 0,1
224,1 353,1 0,0 0,0 0,0 0,0 0,0 0,2
503,2 380,1 373,2 351,2 369,3 462,1 336,1 0,1
224,1 348,1 542,1 346,1 359,1 0,0 0,0 0,1
224,1 353,1 340,1 341,1 346,1 0,0 0,0 0,1
442,1 348,2 357,3 490,3 0,0 0,0 0,0 0,2
224,1 348,1 514,1 373,1 0,0 0,0 0,0 0,1
224,1 380,1 184,1 367,1 373,1 346,1 0,0 0,1
224,1 361,1 542,1 359,1 346,1 427,1 0,0 0,1
552,2 514,2 513,1 544,2 0,0 0,0 0,0 0,1
552,1 514,1 513,1 544,1 0,0 0,0 0,0 0,1
224,1 348,1 180,1 367,1 346,1 185,1 0,0 0,1
