224,2 348,2 344,2 415,1 346,2 426,2 0,0 1,1
224,2 184,2 346,1 371,1 426,3 427,1 0,0 1,1
224,1 395,1 348,1 401,1 158,1 346,1 0,0 2,2
442,1 348,2 237,1 420,2 344,2 346,2 546,2 1,1
224,1 184,1 371,1 367,1 346,1 427,1 0,0 2,2
224,1 348,1 542,1 402,1 346,1 426,1 0,0 2,2
224,1 361,1 353,1 357,1 457,1 426,1 138,1 1,1
224,1 366,1 361,1 357,1 359,1 358,1 346,1 1,1
291,1 348,2 459,2 394,1 237,2 392,2 296,1 1,1
224,1 348,1 542,1 402,1 398,1 426,1 0,0 2,2
442,1 339,1 387,1 351,2 337,2 381,1 546,1 1,1
442,1 348,2 542,1 436,1 420,2 422,1 409,3 1,1
224,1 533,1 344,1 346,1 427,1 409,1 546,1 1,1
224,1 343,1 345,1 0,0 0,0 0,0 0,0 1,1
552,1 542,1 299,1 537,1 546,1 0,0 0,0 1,1
224,1 533,1 344,1 346,1 427,1 546,1 409,1 1,1
224,1 343,1 414,1 415,1 345,1 346,1 427,1 1,1
552,1 532,1 544,1 0,0 0,0 0,0 0,0 1,1
442,1 348,2 542,1 436,1 420,1 422,1 409,3 1,1
224,1 436,1 426,1 138,1 457,1 357,1 346,1 52,62
224,1 514,1 184,1 371,1 346,1 0,0 0,0 3,4
224,1 542,1 533,1 344,1 346,1 409,1 0,0 6,9
224,1 542,1 533,1 344,1 414,1 409,1 0,0 130,196
224,1 184,1 346,1 371,1 426,1 427,1 0,0 14,24
224,1 348,1 514,1 371,1 346,1 0,0 0,0 4,7
224,1 533,1 344,1 346,1 427,1 409,1 426,1 4,7
224,1 348,1 542,1 402,1 346,1 395,1 0,0 9,16
224,1 348,1 542,1 402,1 395,1 160,1 0,0 1,2
224,1 348,1 344,1 414,1 542,1 346,1 0,0 1,2
224,1 184,1 367,1 371,1 183,1 427,1 0,0 1,2
224,1 348,1 542,1 371,1 346,1 0,0 0,0 1,2
224,1 184,1 427,1 371,1 346,1 367,1 0,0 2,4
224,1 361,1 426,1 359,1 357,1 138,1 346,1 4,9
224,1 184,1 426,1 346,1 371,1 427,1 0,0 6,14
224,1 348,1 344,1 415,1 346,1 426,1 0,0 5,12
224,1 361,1 546,1 341,1 348,1 0,0 0,0 4,10
224,1 542,1 533,1 344,1 424,1 0,0 0,0 2,5
224,1 184,1 183,1 371,1 367,1 346,1 0,0 10,27
224,1 361,1 353,1 341,1 358,1 359,1 346,1 10,29
224,1 348,1 344,1 414,1 424,1 346,1 0,0 1,3
552,1 544,1 543,1 0,0 0,0 0,0 0,0 1,3
224,1 361,1 427,1 359,1 357,1 138,1 353,1 2,6
224,1 543,1 539,1 0,0 0,0 0,0 0,0 1,3
224,1 361,1 353,1 341,1 359,1 358,1 346,1 1,4
442,1 412,1 415,1 411,1 457,2 351,2 346,2 0,1
224,1 184,1 371,1 367,1 346,1 183,1 0,0 0,1
224,1 361,1 426,1 357,1 359,1 427,1 138,1 0,6
442,1 348,1 351,2 542,1 357,1 0,0 0,0 0,1
224,1 533,1 344,1 346,1 343,1 409,1 426,1 0,1
224,1 361,1 542,1 359,1 358,1 427,1 527,1 0,1
552,1 542,1 436,1 150,1 430,1 0,0 0,0 0,1
552,1 348,1 427,1 306,1 346,1 0,0 0,0 0,1
442,1 383,3 436,1 392,1 386,2 382,3 346,2 0,1
224,1 346,1 184,1 371,1 426,1 427,1 0,0 0,2
224,1 361,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 380,1 184,1 183,1 371,1 367,1 346,1 0,1
262,2 348,2 394,1 385,3 338,2 0,0 0,0 0,1
200,1 492,1 424,3 555,3 0,0 0,0 0,0 0,1
503,1 492,1 458,1 366,1 0,0 0,0 0,0 0,1
224,1 184,1 346,1 371,1 427,1 367,1 0,0 0,1
224,1 162,1 161,1 158,1 163,1 0,0 0,0 0,1
552,2 381,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 361,1 353,1 341,1 359,1 346,1 358,1 0,1
552,1 544,1 514,1 543,1 0,0 0,0 0,0 0,1
552,1 367,1 0,0 0,0 0,0 0,0 0,0 0,1
552,1 381,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 348,1 344,1 424,1 411,1 409,1 0,0 0,1
554,1 231,2 394,1 391,1 0,0 0,0 0,0 0,1
224,1 380,1 184,1 346,1 371,1 426,1 427,1 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,4
224,1 361,1 341,1 346,1 359,1 358,1 353,1 0,3
224,1 539,1 537,1 0,0 0,0 0,0 0,0 0,1
224,1 353,1 0,0 0,0 0,0 0,0 0,0 0,1
552,2 544,3 543,2 0,0 0,0 0,0 0,0 0,1
224,1 353,1 361,1 426,1 359,1 357,1 138,1 0,1
291,1 542,1 436,1 514,2 351,2 237,1 0,0 0,1
224,1 348,1 457,1 346,1 179,1 367,1 0,0 0,1
