291,1 184,2 371,3 242,1 490,3 179,2 351,2 1,1
291,1 348,2 488,2 150,2 411,3 351,2 485,3 1,1
552,2 339,1 450,1 351,2 350,2 338,2 394,1 1,1
291,1 348,2 542,1 339,1 519,2 457,2 351,2 1,1
291,1 376,2 450,1 183,2 379,1 371,3 380,1 1,1
291,1 348,2 151,2 153,2 411,3 242,3 351,2 1,1
224,1 348,1 344,1 415,1 457,1 411,1 351,1 1,1
200,1 339,1 450,1 387,2 390,1 518,1 381,3 1,1
552,1 521,1 544,1 0,0 0,0 0,0 0,0 1,1
291,1 492,1 462,1 424,3 250,2 387,2 237,2 1,1
442,1 542,2 348,2 450,1 433,1 422,1 0,0 1,1
291,1 391,1 339,1 338,1 387,1 424,1 385,3 1,1
291,1 367,3 348,2 542,2 492,1 514,2 424,1 1,1
224,1 343,1 349,1 345,1 344,1 0,0 0,0 1,1
224,1 343,1 349,1 345,1 344,1 530,1 0,0 1,1
224,1 348,1 152,1 425,1 146,1 457,1 415,1 1,1
291,1 436,1 450,1 542,1 539,2 484,1 555,3 1,1
442,1 542,1 436,1 433,1 344,1 448,1 345,1 1,1
291,1 542,2 450,1 474,1 387,2 496,1 0,0 1,1
224,1 514,1 544,1 543,1 0,0 0,0 0,0 1,1
224,1 542,1 533,1 543,1 544,1 0,0 0,0 1,1
224,1 348,1 344,1 424,1 345,1 417,1 152,1 11,17
224,1 542,1 533,1 345,1 344,1 531,1 415,1 54,86
224,1 348,1 361,1 341,1 525,1 360,1 423,1 4,7
224,1 348,1 533,1 414,1 345,1 415,1 344,1 9,17
224,1 348,1 533,1 457,1 345,1 344,1 193,1 2,4
552,1 544,1 543,1 539,1 538,1 0,0 0,0 1,2
224,1 533,1 345,1 343,1 0,0 0,0 0,0 1,2
224,1 533,1 544,1 0,0 0,0 0,0 0,0 1,2
552,2 348,2 419,1 351,2 429,1 242,1 346,2 1,2
224,1 349,1 454,1 0,0 0,0 0,0 0,0 1,2
224,1 514,1 544,1 0,0 0,0 0,0 0,0 1,2
224,1 348,1 342,1 341,1 359,1 360,1 361,1 3,8
552,1 521,1 542,1 543,1 544,1 520,1 0,0 1,3
224,1 533,1 542,1 345,1 415,1 344,1 531,1 3,9
552,1 533,1 531,1 543,1 544,1 0,0 0,0 1,3
224,1 542,1 533,1 343,1 544,1 0,0 0,0 1,3
552,1 533,1 542,1 543,1 531,1 532,1 0,0 1,5
224,1 539,1 333,1 543,1 454,1 544,1 0,0 2,10
552,1 544,1 542,1 543,1 525,1 527,1 0,0 1,5
224,1 348,1 346,1 426,1 350,1 338,1 452,1 0,2
554,1 436,1 450,1 351,2 429,1 461,1 448,1 0,1
552,2 444,1 243,1 351,2 429,1 276,1 457,2 0,1
224,1 542,1 533,1 345,1 344,1 531,1 417,1 0,2
224,1 539,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 533,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 348,1 346,1 426,1 350,1 542,1 425,1 0,1
224,1 348,1 346,1 426,1 350,1 543,1 542,1 0,1
552,1 348,1 346,1 426,1 350,1 543,1 525,1 0,3
442,1 436,1 450,1 351,2 429,2 430,1 457,2 0,1
552,2 515,3 462,1 351,2 350,2 513,2 542,2 0,1
552,1 339,1 430,1 542,1 329,1 385,1 382,1 0,1
224,2 348,2 346,2 351,2 429,1 242,1 457,2 0,1
224,1 140,1 361,1 359,1 425,1 192,1 360,1 0,3
224,1 348,1 346,1 426,1 350,1 525,1 425,1 0,1
224,1 348,1 346,1 426,1 350,1 543,1 338,1 0,2
240,2 436,1 393,1 351,2 429,1 520,3 388,3 0,1
442,1 348,2 346,1 351,1 429,1 543,2 457,2 0,1
442,1 348,2 420,1 351,1 429,1 418,2 457,2 0,1
554,1 444,1 450,1 351,1 350,1 346,1 0,0 0,1
442,1 436,1 450,1 359,2 429,2 430,1 457,2 0,1
442,1 348,2 546,1 345,2 419,1 344,2 435,1 0,1
224,1 348,1 346,1 426,1 350,1 543,1 425,1 0,1
224,1 348,1 346,1 426,1 350,1 425,1 349,1 0,1
224,2 348,2 346,2 351,2 429,1 242,1 457,1 0,1
224,2 339,1 462,1 351,2 429,2 242,1 388,2 0,1
224,1 348,1 361,1 140,1 341,1 525,1 360,1 0,1
224,1 348,1 152,1 425,1 146,1 194,1 429,1 0,1
554,1 436,1 450,1 351,2 429,1 461,1 542,2 0,1
552,2 544,2 542,1 543,2 525,2 527,3 0,0 0,1
224,1 413,1 425,1 345,1 417,1 457,1 423,1 0,1
552,2 544,1 542,2 543,1 525,2 527,2 0,0 0,1
552,2 544,1 542,1 543,1 525,2 527,3 0,0 0,1
224,1 542,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 395,1 0,0 0,0 0,0 0,0 0,0 0,2
224,2 361,1 354,3 436,1 360,2 242,3 357,3 0,1
552,1 339,1 543,1 337,1 544,1 452,1 0,0 0,1
552,1 184,1 242,1 542,1 312,1 514,1 373,1 0,1
552,2 521,3 543,2 519,1 544,2 0,0 0,0 0,1
442,1 434,1 365,1 359,2 341,2 357,3 362,1 0,1
552,1 521,1 543,1 519,1 544,1 0,0 0,0 0,3
552,1 533,1 543,1 532,1 0,0 0,0 0,0 0,1
224,1 348,1 345,1 415,1 411,1 414,1 343,1 0,1
224,1 353,1 0,0 0,0 0,0 0,0 0,0 0,11
552,2 544,3 543,2 539,3 538,2 0,0 0,0 0,1
224,1 514,1 513,1 544,1 0,0 0,0 0,0 0,4
224,1 348,1 395,1 333,1 346,1 402,1 426,1 0,1
552,1 521,1 0,0 0,0 0,0 0,0 0,0 0,2
