291,1 394,1 436,1 172,2 237,2 276,2 280,2 1,1
552,1 339,1 520,1 337,1 0,0 0,0 0,0 3,3
442,1 348,2 459,2 452,3 387,2 392,1 346,2 1,1
442,1 444,1 424,3 344,2 346,2 427,2 0,0 1,1
442,1 542,1 436,1 448,1 493,1 346,2 427,2 1,1
442,1 348,2 344,2 415,2 417,2 0,0 0,0 5,5
224,2 348,2 346,2 344,2 414,1 415,1 427,1 1,1
442,1 331,3 403,1 402,1 406,1 0,0 0,0 1,1
552,1 542,1 299,1 543,1 0,0 0,0 0,0 1,1
552,2 339,1 542,1 519,1 0,0 0,0 0,0 1,1
442,1 436,1 398,3 396,3 402,1 406,1 0,0 1,1
552,1 315,1 514,1 543,1 0,0 0,0 0,0 1,1
552,1 339,1 542,1 543,1 0,0 0,0 0,0 1,1
442,1 361,2 542,1 436,1 359,2 358,2 364,1 1,1
224,1 542,1 184,1 371,1 424,1 367,1 546,1 2,2
552,1 339,1 520,1 541,1 0,0 0,0 0,0 1,1
552,1 542,1 543,1 319,1 544,1 0,0 0,0 1,1
552,1 544,1 313,1 543,1 514,1 0,0 0,0 1,1
224,1 542,1 184,1 371,1 424,1 378,1 380,1 1,1
224,1 380,1 514,1 184,1 424,1 371,1 427,1 2,2
224,1 339,1 452,1 337,1 0,0 0,0 0,0 1,1
552,1 339,1 542,1 519,1 546,1 0,0 0,0 1,1
552,2 544,2 513,1 543,1 514,1 0,0 0,0 1,1
224,1 348,1 395,1 427,1 346,1 402,1 163,1 1,1
552,1 531,1 543,1 0,0 0,0 0,0 0,0 1,1
224,1 380,1 514,1 184,1 371,1 424,1 346,1 1,1
442,1 348,2 424,3 344,2 417,2 546,1 422,1 1,1
442,1 348,2 344,1 415,1 417,1 0,0 0,0 1,1
224,1 514,1 184,1 371,1 424,1 346,1 0,0 8,9
442,1 348,2 459,1 452,3 387,2 392,1 346,2 6,7
224,1 348,1 542,1 519,1 387,1 172,1 0,0 4,5
224,1 514,1 184,1 371,1 424,1 367,1 426,1 15,19
442,1 348,2 450,1 424,3 0,0 0,0 0,0 3,4
224,1 542,1 184,1 371,1 424,1 367,1 426,1 3,4
224,1 514,1 184,1 371,1 424,1 546,1 367,1 10,14
224,1 514,1 184,1 424,1 371,1 427,1 0,0 52,79
224,1 542,1 184,1 371,1 424,1 427,1 0,0 11,17
224,1 514,1 184,1 371,1 424,1 427,1 0,0 21,33
224,1 343,1 409,1 414,1 345,1 415,1 417,1 19,30
224,1 426,1 162,1 542,1 402,1 161,1 395,1 11,18
224,1 542,1 184,1 371,1 424,1 426,1 367,1 23,38
224,1 542,1 184,1 371,1 424,1 378,1 0,0 3,5
224,1 342,1 341,1 359,1 346,1 358,1 427,1 1,2
224,1 542,1 184,1 371,1 424,1 426,1 546,1 4,8
224,1 542,1 184,1 371,1 424,1 183,1 0,0 5,10
552,1 542,1 513,1 543,1 514,1 0,0 0,0 1,2
224,1 514,1 184,1 371,1 424,1 367,1 546,1 2,4
442,1 348,1 344,1 415,1 417,1 0,0 0,0 1,2
224,1 184,1 185,1 424,1 371,1 346,1 0,0 3,6
224,1 348,1 141,1 359,1 346,1 358,1 424,1 5,11
552,1 544,1 513,1 543,1 514,1 0,0 0,0 2,5
224,1 514,1 184,1 371,1 424,1 426,1 546,1 1,3
552,1 544,1 525,1 543,1 527,1 0,0 0,0 1,3
224,1 348,1 395,1 402,1 161,1 158,1 0,0 6,18
224,1 184,1 426,1 424,1 183,1 371,1 346,1 2,6
224,1 184,1 371,1 424,1 369,1 427,1 0,0 1,3
224,1 514,1 184,1 371,1 424,1 183,1 0,0 4,14
224,1 348,1 426,1 395,1 158,1 163,1 161,1 2,7
224,1 348,1 395,1 426,1 402,1 158,1 163,1 1,5
224,1 184,1 371,1 424,1 369,1 346,1 0,0 1,5
552,1 544,1 539,1 537,1 454,1 0,0 0,0 1,5
224,1 348,1 542,1 359,1 358,1 424,1 346,1 0,1
224,1 184,1 426,1 424,1 183,1 371,1 427,1 0,2
442,1 348,2 409,3 414,1 345,2 344,2 0,0 0,1
224,1 514,1 184,1 371,1 424,1 180,1 0,0 0,2
442,1 348,1 459,1 339,1 387,1 394,1 0,0 0,1
552,2 544,2 539,2 537,1 454,1 0,0 0,0 0,1
224,1 348,1 395,1 402,1 426,1 158,1 163,1 0,4
552,2 368,3 546,1 542,2 315,1 0,0 0,0 0,1
442,1 348,2 450,1 346,2 0,0 0,0 0,0 0,1
224,1 514,1 184,1 371,1 424,1 378,1 0,0 0,1
552,1 409,1 0,0 0,0 0,0 0,0 0,0 0,6
552,1 388,1 0,0 0,0 0,0 0,0 0,0 0,3
224,2 348,2 183,1 367,3 424,3 371,3 346,2 0,1
224,1 348,1 344,1 426,1 424,1 414,1 346,1 0,1
224,1 348,1 415,1 344,1 417,1 0,0 0,0 0,2
442,1 348,2 459,2 339,1 387,2 394,1 0,0 0,1
224,1 353,1 348,1 542,1 359,1 424,1 525,1 0,1
224,1 542,1 348,1 344,1 415,1 424,1 0,0 0,1
224,1 348,1 344,1 346,1 409,1 417,1 426,1 0,1
442,1 348,2 459,1 387,2 346,2 392,1 382,3 0,1
552,1 426,1 0,0 0,0 0,0 0,0 0,0 0,2
552,2 544,2 539,2 537,2 454,1 0,0 0,0 0,1
224,2 348,2 346,2 344,2 414,1 415,2 427,2 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,2
224,2 348,2 141,1 359,2 346,2 358,2 424,3 0,1
552,1 514,1 543,1 0,0 0,0 0,0 0,0 0,1
442,1 348,2 459,1 339,1 387,1 394,1 0,0 0,1
554,1 184,1 380,1 448,1 372,2 0,0 0,0 0,1
224,1 348,1 542,1 341,1 359,1 346,1 427,1 0,1
224,1 346,1 424,1 184,1 426,1 183,1 371,1 0,1
442,1 348,2 347,2 457,2 346,2 382,1 0,0 0,1
552,1 544,1 520,1 543,1 0,0 0,0 0,0 0,2
291,1 492,1 415,1 0,0 0,0 0,0 0,0 0,1
552,1 339,1 520,1 0,0 0,0 0,0 0,0 0,1
552,2 544,3 513,1 543,2 514,3 0,0 0,0 0,1
552,1 169,1 0,0 0,0 0,0 0,0 0,0 0,2
224,1 542,1 533,1 344,1 424,1 409,1 346,1 0,1
442,1 348,2 459,2 387,2 346,2 424,3 448,1 0,1
442,1 274,3 347,2 350,2 346,2 0,0 0,0 0,1
224,1 348,1 387,1 427,1 424,1 382,1 346,1 0,1
