439,2 350,1 423,1 0,0 0,0 0,0 0,0 1,1
500,2 423,1 374,1 427,1 0,0 0,0 0,0 2,2
439,2 427,1 542,1 514,3 350,2 0,0 0,0 1,1
500,1 542,1 197,1 446,1 0,0 0,0 0,0 1,1
500,2 514,3 199,1 237,2 0,0 0,0 0,0 1,1
439,1 456,1 374,1 0,0 0,0 0,0 0,0 1,1
278,1 199,1 0,0 0,0 0,0 0,0 0,0 1,1
189,1 225,1 514,1 350,1 427,1 0,0 0,0 1,1
189,1 514,1 540,1 0,0 0,0 0,0 0,0 20,26
189,1 542,1 514,1 185,1 195,1 427,1 0,0 3,4
189,1 514,1 542,1 350,1 185,1 0,0 0,0 4,7
189,1 514,1 350,1 542,1 185,1 0,0 0,0 36,65
189,1 427,1 196,1 514,1 350,1 0,0 0,0 10,19
549,1 514,1 543,1 0,0 0,0 0,0 0,0 3,6
189,1 456,1 514,1 350,1 0,0 0,0 0,0 3,7
189,1 350,1 0,0 0,0 0,0 0,0 0,0 1,3
189,1 514,1 185,1 196,1 195,1 0,0 0,0 6,22
439,2 514,3 185,1 196,1 195,1 0,0 0,0 1,4
549,1 514,1 542,1 543,1 0,0 0,0 0,0 1,4
189,1 185,1 196,1 427,1 350,1 0,0 0,0 6,33
439,2 350,2 335,2 0,0 0,0 0,0 0,0 1,9
439,2 514,2 185,1 196,1 195,1 0,0 0,0 1,9
189,1 427,1 185,1 423,1 196,1 0,0 0,0 1,10
259,1 350,1 542,1 514,1 185,1 0,0 0,0 0,1
509,1 350,2 542,1 514,1 0,0 0,0 0,0 0,1
439,2 427,1 514,1 350,2 0,0 0,0 0,0 0,1
439,1 423,1 195,1 427,1 0,0 0,0 0,0 0,11
439,1 543,1 514,1 196,1 0,0 0,0 0,0 0,1
439,2 185,1 423,3 427,2 542,2 0,0 0,0 0,1
439,1 185,1 196,1 374,1 0,0 0,0 0,0 0,4
189,1 185,1 196,1 427,1 0,0 0,0 0,0 0,2
439,2 427,1 514,1 542,1 350,2 0,0 0,0 0,2
439,1 543,1 423,1 427,1 0,0 0,0 0,0 0,2
549,1 514,1 0,0 0,0 0,0 0,0 0,0 0,1
439,1 514,1 185,1 196,1 195,1 0,0 0,0 0,4
439,1 543,1 427,1 192,1 0,0 0,0 0,0 0,2
439,1 427,1 192,1 195,1 0,0 0,0 0,0 0,2
439,2 514,1 185,1 196,1 195,1 0,0 0,0 0,1
439,1 542,1 514,1 427,1 423,1 0,0 0,0 0,1
189,1 543,1 0,0 0,0 0,0 0,0 0,0 0,1
439,1 195,1 514,1 542,1 427,1 0,0 0,0 0,2
259,2 192,1 377,2 196,1 0,0 0,0 0,0 0,1
509,1 199,1 0,0 0,0 0,0 0,0 0,0 0,1
439,1 514,1 195,1 196,1 427,1 0,0 0,0 0,3
500,2 427,3 467,3 446,1 0,0 0,0 0,0 0,1
439,2 427,1 542,1 350,2 514,3 0,0 0,0 0,1
439,2 469,1 0,0 0,0 0,0 0,0 0,0 0,2
439,1 196,1 185,1 514,1 195,1 0,0 0,0 0,2
439,1 542,1 350,1 456,1 0,0 0,0 0,0 0,1
439,2 423,3 195,1 427,1 0,0 0,0 0,0 0,3
439,1 427,1 374,1 423,1 0,0 0,0 0,0 0,3
500,2 514,2 378,2 542,2 456,2 427,2 0,0 0,1
189,1 185,1 196,1 427,1 374,1 0,0 0,0 0,2
189,1 514,1 335,1 350,1 0,0 0,0 0,0 0,2
509,1 350,1 377,1 0,0 0,0 0,0 0,0 0,1
439,1 185,1 195,1 423,1 0,0 0,0 0,0 0,4
549,1 427,1 0,0 0,0 0,0 0,0 0,0 0,4
439,1 514,1 195,1 423,1 0,0 0,0 0,0 0,2
509,1 350,2 446,1 272,3 0,0 0,0 0,0 0,1
439,2 377,1 456,2 542,1 0,0 0,0 0,0 0,1
549,1 350,1 423,1 0,0 0,0 0,0 0,0 0,1
439,1 514,1 374,1 196,1 0,0 0,0 0,0 0,1
439,1 427,1 185,1 543,1 0,0 0,0 0,0 0,1
439,1 543,1 196,1 185,1 0,0 0,0 0,0 0,1
500,1 374,1 192,1 427,1 0,0 0,0 0,0 0,1
189,1 196,1 542,1 350,1 427,1 0,0 0,0 0,1
189,1 427,1 195,1 0,0 0,0 0,0 0,0 0,2
439,1 427,1 514,1 423,1 196,1 0,0 0,0 0,1
439,2 185,1 423,2 427,1 542,1 0,0 0,0 0,1
439,1 374,1 423,1 427,1 0,0 0,0 0,0 0,1
439,1 185,1 374,1 514,1 427,1 0,0 0,0 0,1
439,1 514,1 427,1 192,1 196,1 0,0 0,0 0,1
439,2 540,1 0,0 0,0 0,0 0,0 0,0 0,1
439,1 427,1 423,1 185,1 514,1 0,0 0,0 0,1
549,2 514,2 542,1 543,3 0,0 0,0 0,0 0,1
549,1 456,1 514,1 335,1 0,0 0,0 0,0 0,1
549,1 542,1 350,1 427,1 0,0 0,0 0,0 0,1
439,2 185,1 423,3 427,1 542,1 0,0 0,0 0,1
439,2 427,1 374,2 423,3 0,0 0,0 0,0 0,2
439,2 185,1 423,1 427,1 542,2 0,0 0,0 0,1
189,2 514,2 350,2 542,1 185,1 0,0 0,0 0,1
189,1 225,1 514,1 350,1 272,1 0,0 0,0 0,1
189,2 514,3 350,2 335,2 0,0 0,0 0,0 0,1
549,1 350,1 377,1 0,0 0,0 0,0 0,0 0,1
189,1 427,1 423,1 350,1 0,0 0,0 0,0 0,1
189,1 185,1 427,1 423,1 196,1 0,0 0,0 0,2
439,2 374,2 195,1 427,1 0,0 0,0 0,0 0,1
189,1 427,1 192,1 195,1 185,1 0,0 0,0 0,1
