440,1 542,1 333,1 163,1 160,1 0,0 0,0 2,2
260,1 403,1 542,1 482,1 0,0 0,0 0,0 1,1
440,2 427,2 396,3 537,1 542,1 350,2 0,0 1,1
550,1 333,1 542,1 302,1 0,0 0,0 0,0 1,1
167,1 403,1 542,1 482,1 0,0 0,0 0,0 1,1
440,2 403,1 480,2 161,1 0,0 0,0 0,0 1,1
550,1 333,1 542,1 537,1 0,0 0,0 0,0 2,2
167,2 403,2 396,3 482,2 0,0 0,0 0,0 2,2
440,1 403,1 396,1 333,1 0,0 0,0 0,0 1,1
440,2 333,1 161,1 400,2 0,0 0,0 0,0 1,1
501,1 396,1 539,2 482,1 0,0 0,0 0,0 1,1
550,1 542,1 330,1 539,1 0,0 0,0 0,0 1,1
550,1 539,1 330,1 0,0 0,0 0,0 0,0 1,1
440,1 333,1 403,1 396,1 0,0 0,0 0,0 1,1
167,2 427,2 160,3 237,1 542,1 482,2 0,0 1,1
440,2 333,2 161,1 400,2 0,0 0,0 0,0 1,1
464,1 427,2 542,1 482,1 0,0 0,0 0,0 1,1
167,1 163,1 403,1 400,1 161,1 0,0 0,0 1,1
167,2 400,2 403,2 161,2 163,1 0,0 0,0 1,1
440,2 403,1 396,3 333,1 0,0 0,0 0,0 1,1
440,2 427,1 542,1 333,1 400,2 0,0 0,0 4,4
440,2 542,1 333,2 537,1 427,1 0,0 0,0 1,1
440,2 427,2 542,1 333,1 400,2 0,0 0,0 1,1
167,2 403,2 400,2 427,2 160,3 161,2 0,0 2,2
167,1 542,1 333,1 427,1 161,1 0,0 0,0 1,1
167,2 163,2 403,2 400,2 161,2 0,0 0,0 1,1
440,1 333,1 160,1 480,1 0,0 0,0 0,0 1,1
440,2 403,2 396,3 333,1 0,0 0,0 0,0 1,1
440,2 396,3 333,2 427,2 400,2 0,0 0,0 2,2
440,2 542,1 403,2 400,1 161,1 0,0 0,0 1,1
440,1 542,1 540,1 537,1 0,0 0,0 0,0 1,1
464,1 427,1 542,2 482,2 0,0 0,0 0,0 1,1
440,1 542,1 539,1 543,1 0,0 0,0 0,0 1,1
464,1 427,1 542,1 482,2 0,0 0,0 0,0 1,1
440,2 396,3 333,2 427,1 400,2 0,0 0,0 5,6
167,1 542,1 333,1 537,1 163,1 0,0 0,0 185,224
550,1 542,1 537,1 539,1 0,0 0,0 0,0 3,4
167,1 542,1 333,1 161,1 427,1 0,0 0,0 5,7
440,1 542,1 333,1 161,1 0,0 0,0 0,0 5,7
440,2 542,2 333,1 539,3 0,0 0,0 0,0 5,7
440,2 403,2 480,3 161,1 0,0 0,0 0,0 10,14
167,1 542,1 333,1 396,1 163,1 0,0 0,0 35,51
464,1 427,1 542,1 482,1 0,0 0,0 0,0 2,3
440,2 542,2 333,2 539,3 0,0 0,0 0,0 2,3
440,2 333,2 400,1 161,1 0,0 0,0 0,0 2,3
167,1 333,1 482,1 0,0 0,0 0,0 0,0 40,62
167,2 403,2 400,2 160,3 427,2 161,2 0,0 5,8
167,1 539,1 333,1 161,1 0,0 0,0 0,0 82,134
440,2 427,2 542,2 333,2 400,2 0,0 0,0 3,5
440,2 333,2 480,3 427,1 0,0 0,0 0,0 4,7
167,1 333,1 400,1 163,1 427,1 0,0 0,0 4,7
440,2 427,1 542,2 333,2 400,2 0,0 0,0 10,18
440,2 396,3 333,2 400,2 0,0 0,0 0,0 5,9
440,1 542,1 333,1 539,1 0,0 0,0 0,0 7,13
167,1 333,1 396,1 427,1 161,1 0,0 0,0 17,32
440,2 427,1 542,1 333,2 400,2 0,0 0,0 17,34
550,1 539,1 543,1 0,0 0,0 0,0 0,0 4,8
440,2 542,1 333,1 539,3 0,0 0,0 0,0 1,2
550,1 333,1 537,1 0,0 0,0 0,0 0,0 4,8
440,2 333,2 480,2 427,1 0,0 0,0 0,0 3,6
440,1 333,1 400,1 161,1 0,0 0,0 0,0 1,2
440,2 542,2 333,2 539,2 0,0 0,0 0,0 1,2
167,2 400,2 403,2 161,2 163,2 0,0 0,0 1,2
440,2 542,1 333,2 539,3 0,0 0,0 0,0 1,2
550,1 333,1 539,1 0,0 0,0 0,0 0,0 1,2
440,1 396,1 542,1 540,1 0,0 0,0 0,0 2,4
167,1 403,1 396,1 482,1 0,0 0,0 0,0 3,6
440,2 403,1 480,1 161,1 0,0 0,0 0,0 1,2
440,2 542,2 333,1 537,2 427,1 0,0 0,0 8,17
440,2 542,2 333,1 537,1 427,1 0,0 0,0 5,11
167,1 542,1 403,1 160,1 400,1 163,1 0,0 7,16
550,1 537,1 539,1 543,1 0,0 0,0 0,0 3,7
167,1 333,1 480,1 427,1 0,0 0,0 0,0 8,19
167,1 542,1 403,1 400,1 160,1 163,1 0,0 18,46
440,1 403,1 480,1 161,1 0,0 0,0 0,0 11,29
167,1 333,1 400,1 161,1 0,0 0,0 0,0 3,8
440,2 427,2 542,1 333,2 400,2 0,0 0,0 3,8
167,1 542,1 403,1 400,1 163,1 160,1 0,0 23,65
167,1 333,1 396,1 160,1 161,1 0,0 0,0 6,18
440,2 333,2 480,3 427,2 0,0 0,0 0,0 1,3
440,1 542,1 403,1 333,1 0,0 0,0 0,0 1,3
167,1 333,1 542,1 161,1 427,1 0,0 0,0 1,3
550,2 333,1 542,1 537,1 0,0 0,0 0,0 1,3
440,1 539,1 333,1 427,1 0,0 0,0 0,0 4,12
440,2 403,2 396,3 333,2 0,0 0,0 0,0 6,20
440,2 403,1 480,3 161,1 0,0 0,0 0,0 1,4
