500,2 514,3 542,2 446,1 378,2 237,1 469,1 1,1
439,2 543,1 427,1 514,3 350,2 423,1 0,0 1,1
500,2 542,2 199,1 514,3 237,2 186,2 0,0 1,1
189,1 192,1 542,1 350,1 514,1 196,1 195,1 1,1
500,2 542,2 469,1 514,3 335,3 185,1 0,0 1,1
189,1 427,1 514,1 350,1 423,1 195,1 335,1 1,1
189,1 185,1 192,1 374,1 423,1 0,0 0,0 1,1
500,1 514,2 374,1 456,1 335,1 543,2 0,0 1,1
439,2 374,2 423,3 196,1 185,2 427,1 195,1 1,1
189,1 542,1 350,1 514,1 185,1 374,1 195,1 18,35
549,1 514,1 543,1 0,0 0,0 0,0 0,0 1,2
189,1 514,1 540,1 427,1 195,1 423,1 0,0 1,2
439,1 196,1 374,1 543,1 185,1 427,1 0,0 1,2
189,1 456,1 514,1 350,1 335,1 185,1 195,1 10,20
439,2 374,1 423,1 196,1 185,1 427,1 195,1 1,3
439,1 543,1 542,1 0,0 0,0 0,0 0,0 1,3
189,1 514,1 350,1 185,1 195,1 374,1 427,1 8,28
189,1 514,1 350,1 192,1 431,1 335,1 378,1 6,21
189,1 514,1 185,1 196,1 423,1 374,1 195,1 6,21
189,1 514,1 374,1 196,1 185,1 423,1 195,1 4,16
439,1 374,1 456,1 335,1 350,1 0,0 0,0 1,6
439,1 374,1 427,1 423,1 543,1 514,1 0,0 0,1
189,1 350,1 0,0 0,0 0,0 0,0 0,0 0,4
439,1 543,1 195,1 423,1 514,1 542,1 185,1 0,1
439,1 195,1 196,1 542,1 514,1 543,1 427,1 0,1
439,1 427,1 185,1 195,1 192,1 423,1 196,1 0,2
189,1 514,1 543,1 185,1 195,1 374,1 427,1 0,3
439,1 196,1 0,0 0,0 0,0 0,0 0,0 0,1
278,1 378,1 423,2 377,1 542,1 350,2 0,0 0,1
439,1 185,1 427,1 423,1 192,1 514,1 195,1 0,1
439,1 423,1 543,1 374,1 427,1 185,1 0,0 0,2
439,1 543,1 514,1 542,1 0,0 0,0 0,0 0,1
500,1 514,2 469,1 542,1 377,1 427,1 0,0 0,1
549,1 543,1 423,1 542,1 350,1 427,1 0,0 0,1
439,2 543,3 427,1 542,1 350,2 423,1 0,0 0,1
439,2 374,1 456,1 335,1 350,1 0,0 0,0 0,1
439,1 427,1 196,1 423,1 374,1 543,1 0,0 0,1
439,2 374,2 335,2 350,2 456,2 0,0 0,0 0,3
189,1 427,1 196,1 185,1 374,1 192,1 195,1 0,2
439,1 374,1 185,1 514,1 195,1 427,1 542,1 0,1
500,1 514,2 199,1 197,1 374,1 0,0 0,0 0,1
439,1 374,1 335,1 456,1 0,0 0,0 0,0 0,1
189,1 427,1 192,1 196,1 195,1 185,1 374,1 0,2
439,2 374,1 423,1 185,1 427,1 0,0 0,0 0,1
439,1 374,1 423,1 196,1 185,1 427,1 195,1 0,3
439,2 377,1 456,2 542,1 514,2 186,1 237,1 0,1
439,2 374,2 423,1 196,1 185,1 427,2 195,1 0,1
189,1 192,1 542,1 196,1 185,1 374,1 195,1 0,1
439,2 374,2 423,1 196,1 185,1 427,1 195,1 0,2
189,1 427,1 350,1 0,0 0,0 0,0 0,0 0,1
439,1 350,1 195,1 374,1 192,1 427,1 0,0 0,1
439,2 543,1 374,1 423,1 427,1 0,0 0,0 0,1
439,1 196,1 185,1 195,1 427,1 423,1 192,1 0,1
189,2 374,1 185,1 335,2 195,1 350,1 0,0 0,1
439,1 427,1 192,1 195,1 514,1 374,1 196,1 0,1
439,2 196,1 185,1 195,1 427,1 423,3 192,1 0,4
189,1 185,1 192,1 374,1 427,1 195,1 196,1 0,2
189,1 514,1 350,1 542,1 374,1 335,1 185,1 0,1
439,2 374,1 456,2 335,2 350,2 0,0 0,0 0,1
439,1 427,1 423,1 185,1 514,1 374,1 196,1 0,1
259,1 350,1 377,1 423,1 431,1 446,1 0,0 0,1
439,2 378,1 195,1 514,1 456,2 185,1 467,1 0,1
439,2 350,2 431,1 335,2 456,2 514,2 427,2 0,1
439,2 374,2 423,2 196,1 185,2 427,1 195,1 0,1
439,1 427,1 0,0 0,0 0,0 0,0 0,0 0,2
549,1 514,1 542,1 423,1 335,1 185,1 195,1 0,1
189,1 196,1 427,1 195,1 192,1 185,1 374,1 0,1
439,1 185,1 196,1 427,1 192,1 423,1 195,1 0,1
439,2 374,2 423,1 196,1 185,2 427,2 195,1 0,1
189,1 514,1 185,1 196,1 192,1 423,1 195,1 0,1
439,1 185,1 196,1 423,1 374,1 427,1 195,1 0,1
439,1 514,1 0,0 0,0 0,0 0,0 0,0 0,1
549,2 514,3 543,3 0,0 0,0 0,0 0,0 0,1
439,1 374,1 335,1 350,1 456,1 0,0 0,0 0,1
439,1 196,1 374,1 195,1 185,1 192,1 427,1 0,1
