224,2 339,1 338,2 424,1 381,1 346,2 427,1 1,1
224,1 542,1 342,1 359,1 346,1 358,1 427,1 2,2
291,1 348,2 457,2 490,1 351,2 408,1 0,0 1,1
442,1 436,1 542,1 339,1 546,1 392,1 346,2 1,1
224,1 348,1 409,1 420,1 415,1 153,1 346,1 1,1
224,1 184,1 180,1 424,1 369,1 185,1 346,1 5,5
224,1 542,1 436,1 415,1 417,1 414,1 426,1 1,1
552,1 544,1 542,1 312,1 514,1 0,0 0,0 1,1
224,1 348,1 345,1 415,1 346,1 0,0 0,0 1,1
552,1 315,1 542,1 514,1 0,0 0,0 0,0 1,1
552,1 521,1 339,1 0,0 0,0 0,0 0,0 1,1
552,2 184,1 514,1 312,1 555,3 0,0 0,0 1,1
442,1 436,1 542,2 339,1 546,1 392,1 346,2 2,2
224,1 348,1 542,1 402,1 346,1 398,1 426,1 1,1
224,2 348,2 415,2 345,2 346,2 0,0 0,0 1,1
552,1 521,1 520,1 307,1 0,0 0,0 0,0 1,1
224,1 343,1 345,1 0,0 0,0 0,0 0,0 1,1
291,1 436,1 411,3 351,2 485,3 426,3 422,1 1,1
240,2 436,1 415,3 411,2 414,3 351,2 416,2 1,1
224,1 349,1 340,1 527,1 453,1 0,0 0,0 1,1
224,1 343,1 345,1 349,1 344,1 0,0 0,0 1,1
442,1 348,2 347,2 422,1 420,2 351,2 415,1 1,1
552,1 521,1 339,1 546,1 0,0 0,0 0,0 1,1
224,1 348,1 395,1 161,1 158,1 163,1 0,0 10,16
224,1 361,1 542,1 341,1 359,1 346,1 358,1 9,15
224,1 343,1 414,1 345,1 415,1 417,1 0,0 7,12
224,1 348,1 427,1 426,1 402,1 158,1 346,1 26,48
224,1 342,1 341,1 359,1 358,1 346,1 426,1 5,10
552,1 533,1 544,1 0,0 0,0 0,0 0,0 1,2
552,1 451,1 0,0 0,0 0,0 0,0 0,0 1,2
224,1 514,1 184,1 335,1 369,1 346,1 0,0 1,2
552,1 544,1 343,1 543,1 542,1 0,0 0,0 1,2
442,1 348,2 347,2 357,3 458,2 366,1 0,0 1,2
224,1 348,1 398,1 402,1 426,1 158,1 346,1 1,2
442,1 361,2 340,3 346,2 364,1 358,2 359,2 1,2
552,1 521,1 349,1 337,1 0,0 0,0 0,0 1,2
224,1 348,1 331,1 426,1 158,1 163,1 346,1 8,17
224,1 162,1 395,1 426,1 158,1 402,1 163,1 5,12
224,1 348,1 345,1 415,1 414,1 0,0 0,0 2,5
224,1 348,1 542,1 414,1 411,1 346,1 351,1 2,5
224,1 348,1 542,1 402,1 346,1 395,1 427,1 1,3
552,1 521,1 542,1 519,1 0,0 0,0 0,0 1,3
224,1 348,1 353,1 341,1 359,1 358,1 346,1 1,3
224,1 184,1 0,0 0,0 0,0 0,0 0,0 1,3
224,1 348,1 395,1 426,1 161,1 158,1 346,1 1,3
552,1 521,1 544,1 0,0 0,0 0,0 0,0 1,5
224,1 348,1 542,1 345,1 346,1 409,1 0,0 0,1
224,1 361,1 353,1 341,1 359,1 357,1 346,1 0,1
224,1 361,1 542,1 359,1 358,1 424,1 138,1 0,1
442,1 343,3 422,1 414,2 433,1 346,2 426,3 0,1
224,1 343,1 0,0 0,0 0,0 0,0 0,0 0,2
224,1 348,1 353,1 341,1 359,1 346,1 356,1 0,1
224,1 361,1 353,1 346,1 341,1 359,1 358,1 0,1
224,1 361,1 353,1 357,1 359,1 358,1 346,1 0,1
224,1 368,1 369,1 373,1 335,1 346,1 0,0 0,1
224,1 343,1 409,1 345,1 415,1 417,1 426,1 0,1
224,1 361,1 426,1 359,1 141,1 358,1 139,1 0,4
224,1 361,1 341,1 359,1 525,1 346,1 427,1 0,1
442,1 361,2 542,2 359,2 525,2 358,2 364,1 0,1
224,1 184,1 367,1 180,1 424,1 369,1 346,1 0,1
224,1 348,1 341,1 359,1 358,1 346,1 426,1 0,2
552,1 343,1 412,1 455,1 542,1 320,1 346,1 0,1
224,1 348,1 514,1 542,1 373,1 183,1 0,0 0,1
224,1 361,1 426,1 359,1 424,1 357,1 138,1 0,2
224,1 361,1 341,1 359,1 358,1 429,1 426,1 0,1
224,1 533,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 426,1 180,1 184,1 369,1 335,1 346,1 0,1
224,1 409,1 0,0 0,0 0,0 0,0 0,0 0,3
224,1 152,1 410,1 150,1 417,1 0,0 0,0 0,1
442,1 348,2 347,2 203,1 346,2 0,0 0,0 0,1
224,1 348,1 414,1 415,1 417,1 409,1 0,0 0,1
200,1 533,3 485,1 411,3 351,2 409,3 0,0 0,1
224,1 162,1 426,1 402,1 158,1 346,1 427,1 0,1
224,1 348,1 343,1 345,1 346,1 0,0 0,0 0,1
552,2 521,3 544,2 0,0 0,0 0,0 0,0 0,1
224,1 353,1 0,0 0,0 0,0 0,0 0,0 0,3
224,1 348,1 542,1 414,1 411,1 351,1 346,1 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,1
552,2 533,2 544,3 0,0 0,0 0,0 0,0 0,1
224,1 533,1 542,1 544,1 0,0 0,0 0,0 0,2
224,1 348,1 542,1 414,1 411,1 415,1 409,1 0,1
