278,1 542,1 428,2 0,0 0,0 0,0 0,0 1,1
549,1 514,1 312,1 0,0 0,0 0,0 0,0 1,1
439,2 426,3 180,1 367,3 373,2 183,1 0,0 1,1
549,1 367,1 311,1 371,1 0,0 0,0 0,0 1,1
439,2 367,3 426,3 448,1 371,3 0,0 0,0 2,2
439,2 367,3 380,1 426,3 448,1 379,1 183,1 1,1
439,2 380,1 426,3 367,3 183,2 379,1 336,1 1,1
439,2 334,3 180,3 380,1 237,1 0,0 0,0 1,1
259,1 380,1 180,1 373,1 335,1 0,0 0,0 1,1
439,2 373,2 371,3 380,1 0,0 0,0 0,0 1,1
439,2 367,3 370,2 183,1 373,1 0,0 0,0 1,1
439,2 367,3 380,1 370,3 183,2 427,2 336,1 1,1
259,2 180,3 426,3 380,1 379,1 179,3 367,3 1,1
509,1 514,1 466,3 367,3 0,0 0,0 0,0 1,1
439,2 380,1 367,3 370,3 378,2 379,1 426,3 1,1
439,2 428,2 426,3 371,3 380,1 0,0 0,0 1,1
259,2 180,3 188,1 380,1 0,0 0,0 0,0 1,1
439,2 367,3 426,3 351,2 448,1 336,1 0,0 1,1
259,1 367,1 514,1 184,1 0,0 0,0 0,0 1,1
439,2 426,1 180,1 367,1 373,1 183,1 0,0 3,3
439,1 373,1 183,1 336,1 367,1 0,0 0,0 1,1
259,1 180,1 370,1 179,1 351,1 380,1 0,0 1,1
439,2 380,1 367,3 373,2 183,2 427,2 0,0 1,1
259,1 514,1 466,1 380,1 179,1 0,0 0,0 1,1
259,2 380,1 180,3 371,3 237,2 378,2 0,0 1,1
259,2 380,1 180,3 188,1 0,0 0,0 0,0 1,1
439,2 380,1 373,2 426,3 336,1 427,2 0,0 1,1
439,1 334,1 380,1 367,1 336,1 0,0 0,0 1,1
259,2 380,1 370,3 369,3 371,3 0,0 0,0 1,1
439,2 380,1 180,1 183,1 336,1 379,1 0,0 1,1
439,2 426,3 180,1 367,3 380,1 373,2 183,1 3,3
259,2 180,3 379,1 371,3 380,1 0,0 0,0 1,1
439,2 367,3 380,1 379,1 371,3 0,0 0,0 1,1
259,1 184,1 379,1 380,1 0,0 0,0 0,0 1,1
259,1 180,1 188,1 0,0 0,0 0,0 0,0 1,1
439,2 380,1 426,3 367,1 183,1 379,1 336,1 1,1
439,2 180,3 380,1 367,3 183,1 379,1 378,2 1,1
278,1 367,3 380,1 514,3 428,2 0,0 0,0 1,1
439,2 367,3 380,1 426,1 336,1 379,1 378,1 1,1
439,2 380,1 180,1 367,3 426,2 183,1 373,1 1,1
439,2 380,1 370,3 427,2 448,1 336,1 0,0 1,1
439,2 380,1 180,1 367,3 426,3 183,1 373,2 4,4
189,1 543,1 451,1 0,0 0,0 0,0 0,0 1,1
439,2 380,1 180,1 297,1 183,1 448,1 336,1 1,1
439,2 380,1 180,3 367,3 426,2 183,1 373,2 1,1
439,2 380,1 180,2 367,3 426,1 183,1 373,2 2,2
509,1 367,3 370,3 183,1 369,3 380,1 0,0 1,1
439,2 370,3 367,3 380,1 426,3 448,1 336,1 1,1
439,2 380,1 426,3 448,1 379,1 336,1 0,0 1,1
439,2 180,1 367,3 426,3 373,2 183,1 0,0 1,1
439,2 367,3 188,1 0,0 0,0 0,0 0,0 1,1
439,2 370,3 380,1 373,2 336,1 0,0 0,0 1,1
439,2 426,1 180,1 367,1 373,2 183,1 0,0 1,1
439,2 180,3 183,2 336,1 379,1 0,0 0,0 4,5
439,2 380,1 180,1 367,3 426,1 183,1 373,2 4,5
259,1 184,1 179,1 380,1 0,0 0,0 0,0 10,13
439,2 428,2 371,3 367,3 0,0 0,0 0,0 3,4
439,2 380,1 180,1 367,3 426,2 183,1 373,2 3,4
439,2 380,1 180,1 367,3 426,3 183,1 373,1 11,15
