442,1 394,1 426,3 351,2 338,2 337,3 346,2 1,1
224,2 366,1 361,1 353,3 359,1 358,2 426,3 1,1
442,1 428,2 457,2 490,3 351,2 0,0 0,0 1,1
200,1 348,2 298,1 408,1 490,3 346,2 426,3 1,1
224,1 361,1 346,1 359,1 358,1 0,0 0,0 1,1
442,1 436,1 366,1 546,1 359,2 364,1 358,2 1,1
442,1 340,3 366,1 353,3 346,2 358,2 359,2 1,1
224,2 343,3 409,3 457,2 411,3 414,2 346,2 1,1
224,2 339,1 387,1 346,2 381,3 0,0 0,0 1,1
224,2 353,3 426,2 341,2 359,1 358,1 346,2 2,2
442,1 436,1 514,2 351,2 0,0 0,0 0,0 1,1
442,1 348,2 344,1 346,2 0,0 0,0 0,0 1,1
442,1 343,3 346,1 414,1 411,1 351,1 0,0 1,1
442,1 348,2 346,2 344,2 0,0 0,0 0,0 1,1
442,1 348,2 490,3 386,1 0,0 0,0 0,0 1,1
291,1 381,3 199,1 394,1 0,0 0,0 0,0 2,2
224,1 348,1 172,1 387,1 169,1 0,0 0,0 1,1
224,1 361,1 353,1 366,1 359,1 237,1 346,1 1,1
291,1 188,1 426,1 0,0 0,0 0,0 0,0 1,1
224,1 348,1 366,1 143,1 364,1 346,1 0,0 1,1
552,2 367,3 426,3 546,1 312,3 542,2 380,1 1,1
224,2 426,3 353,3 341,2 359,1 358,1 346,2 1,1
442,1 348,2 347,2 346,2 0,0 0,0 0,0 1,1
224,1 341,1 346,1 353,1 426,1 359,1 358,1 2,2
224,1 136,1 436,1 353,1 359,1 346,1 138,1 1,1
552,2 367,3 315,1 546,1 0,0 0,0 0,0 1,1
224,1 395,1 426,1 402,1 158,1 163,1 0,0 3,4
224,1 353,1 542,1 341,1 359,1 346,1 426,1 7,10
224,1 426,1 353,1 341,1 359,1 346,1 358,1 16,23
442,1 348,2 457,2 346,2 0,0 0,0 0,0 2,3
224,1 353,1 426,1 359,1 357,1 138,1 346,1 2,3
224,1 527,1 426,1 546,1 359,1 357,1 138,1 40,65
224,1 361,1 542,1 359,1 346,1 0,0 0,0 129,211
224,1 427,1 426,1 546,1 359,1 138,1 357,1 9,17
224,1 427,1 426,1 136,1 359,1 138,1 357,1 9,18
224,1 426,1 353,1 341,1 359,1 358,1 346,1 8,16
224,2 343,3 426,2 411,3 457,2 414,2 346,2 1,2
224,1 361,1 353,1 426,1 359,1 358,1 0,0 1,2
224,2 353,3 426,3 341,2 359,2 358,2 346,2 1,2
224,1 353,1 136,1 426,1 359,1 138,1 357,1 1,2
224,1 361,1 353,1 346,1 358,1 427,1 0,0 3,6
224,1 361,1 353,1 359,1 358,1 426,1 0,0 2,4
224,1 343,1 426,1 411,1 457,1 414,1 346,1 5,10
224,1 353,1 136,1 341,1 346,1 358,1 359,1 1,2
552,1 367,1 0,0 0,0 0,0 0,0 0,0 1,2
442,1 366,1 426,3 436,1 448,1 346,2 358,2 1,2
224,1 348,1 346,1 0,0 0,0 0,0 0,0 1,2
224,1 348,1 344,1 346,1 0,0 0,0 0,0 2,4
224,1 343,1 455,1 415,1 414,1 427,1 346,1 1,2
224,1 349,1 538,1 0,0 0,0 0,0 0,0 1,2
224,1 184,1 427,1 346,1 183,1 0,0 0,0 3,7
224,1 353,1 426,1 341,1 359,1 358,1 346,1 5,12
224,1 366,1 361,1 353,1 359,1 358,1 426,1 3,8
552,1 542,1 543,1 527,1 0,0 0,0 0,0 3,9
224,1 413,1 344,1 411,1 546,1 0,0 0,0 1,3
224,1 527,1 426,1 546,1 359,1 138,1 357,1 1,3
224,1 527,1 426,1 136,1 359,1 138,1 357,1 1,3
224,1 348,1 346,1 344,1 0,0 0,0 0,0 1,3
552,1 544,1 527,1 0,0 0,0 0,0 0,0 1,3
224,1 353,1 426,1 359,1 357,1 138,1 555,1 1,3
224,1 361,1 426,1 359,1 358,1 353,1 0,0 1,3
224,1 527,1 136,1 546,1 359,1 138,1 357,1 1,4
552,1 542,1 543,1 0,0 0,0 0,0 0,0 1,8
224,1 361,1 353,1 359,1 346,1 427,1 0,0 1,8
262,1 353,1 136,1 341,1 359,1 358,1 346,1 0,1
552,2 409,3 428,2 320,1 0,0 0,0 0,0 0,1
224,1 348,1 417,1 0,0 0,0 0,0 0,0 0,1
224,1 413,1 351,1 411,1 346,1 0,0 0,0 0,1
552,2 287,1 306,3 426,1 0,0 0,0 0,0 0,1
552,1 514,1 543,1 0,0 0,0 0,0 0,0 0,1
224,1 361,1 546,1 359,1 358,1 353,1 0,0 0,1
224,1 361,1 353,1 341,1 359,1 0,0 0,0 0,1
224,1 361,1 136,1 359,1 138,1 427,1 0,0 0,2
442,1 361,2 353,3 359,2 364,1 346,2 366,1 0,1
224,2 395,3 346,2 402,2 424,3 427,2 426,3 0,1
552,2 428,2 448,1 542,1 427,1 0,0 0,0 0,1
442,1 383,3 459,2 426,3 337,3 351,2 381,3 0,1
442,1 533,2 344,1 0,0 0,0 0,0 0,0 0,1
224,1 361,1 353,1 359,1 136,1 358,1 0,0 0,1
224,1 361,1 366,1 359,1 346,1 358,1 0,0 0,1
224,1 361,1 353,1 359,1 346,1 364,1 0,0 0,1
200,1 348,2 347,2 351,2 0,0 0,0 0,0 0,1
224,1 348,1 347,1 0,0 0,0 0,0 0,0 0,1
224,1 361,1 542,1 359,1 138,1 0,0 0,0 0,3
224,1 348,1 141,1 359,1 0,0 0,0 0,0 0,1
224,1 366,1 361,1 542,1 359,1 346,1 0,0 0,3
224,1 348,1 346,1 424,1 426,1 0,0 0,0 0,1
224,2 436,1 158,3 346,2 163,1 0,0 0,0 0,1
200,1 348,2 387,2 351,2 381,3 0,0 0,0 0,1
224,1 353,1 542,1 359,1 525,1 346,1 546,1 0,1
224,1 395,1 426,1 402,1 346,1 396,1 427,1 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,2
224,1 426,1 395,1 546,1 402,1 400,1 427,1 0,1
552,2 343,2 411,3 344,2 351,2 0,0 0,0 0,1
224,1 343,1 409,1 555,1 457,1 414,1 411,1 0,1
