440,2 331,3 398,3 426,3 427,2 396,3 402,2 1,1
464,1 426,3 398,1 427,2 400,1 402,1 0,0 1,1
464,1 426,3 398,3 427,2 400,2 402,2 0,0 1,1
464,1 542,1 482,1 0,0 0,0 0,0 0,0 1,1
440,2 331,3 426,1 396,3 402,1 429,2 0,0 1,1
440,2 426,1 403,2 402,2 400,2 0,0 0,0 1,1
440,2 398,3 426,3 427,2 402,2 163,1 160,2 1,1
464,1 542,2 482,1 0,0 0,0 0,0 0,0 1,1
440,2 429,1 194,1 402,2 396,3 0,0 0,0 1,1
440,2 331,3 426,1 396,2 402,1 429,1 0,0 2,3
440,2 398,3 333,2 402,2 0,0 0,0 0,0 2,3
440,2 426,3 331,3 402,2 406,1 0,0 0,0 6,9
440,1 426,1 403,1 402,1 400,1 0,0 0,0 1,2
440,2 398,3 333,2 161,1 0,0 0,0 0,0 6,12
440,2 398,3 333,1 161,1 0,0 0,0 0,0 1,2
440,2 398,3 426,1 427,1 402,2 163,1 160,3 1,2
440,2 403,2 396,3 427,2 161,1 0,0 0,0 2,4
440,2 396,3 333,2 400,2 0,0 0,0 0,0 1,2
167,1 333,1 537,1 161,1 0,0 0,0 0,0 2,4
440,2 398,2 333,2 161,1 0,0 0,0 0,0 6,13
167,2 398,3 333,2 161,2 0,0 0,0 0,0 5,11
440,1 398,1 333,1 161,1 0,0 0,0 0,0 4,9
440,2 403,2 396,3 427,1 161,1 0,0 0,0 9,21
440,2 426,2 331,3 402,2 406,1 0,0 0,0 2,5
167,1 333,1 396,1 161,1 0,0 0,0 0,0 4,10
167,1 426,1 403,1 400,1 160,1 163,1 0,0 6,15
167,1 426,1 536,1 396,1 160,1 161,1 0,0 11,31
440,2 426,3 403,2 400,2 163,1 0,0 0,0 1,3
440,2 403,1 396,3 427,1 161,1 0,0 0,0 1,3
440,2 426,3 331,3 402,2 406,2 0,0 0,0 1,3
440,2 398,2 333,1 161,1 0,0 0,0 0,0 1,3
440,1 403,1 396,1 160,1 161,1 0,0 0,0 7,23
550,1 543,1 539,1 0,0 0,0 0,0 0,0 2,9
440,1 542,1 333,1 163,1 0,0 0,0 0,0 3,15
167,1 426,1 398,1 333,1 161,1 0,0 0,0 1,5
167,1 426,1 403,1 402,1 161,1 0,0 0,0 3,17
167,1 398,1 333,1 161,1 0,0 0,0 0,0 5,29
440,1 429,1 402,1 543,1 0,0 0,0 0,0 1,12
440,1 426,1 402,1 160,1 543,1 0,0 0,0 0,1
440,2 398,3 333,2 402,1 0,0 0,0 0,0 0,2
440,2 398,3 426,1 427,1 402,2 163,1 160,1 0,1
440,1 426,1 402,1 163,1 192,1 0,0 0,0 0,1
440,2 426,3 331,3 402,1 406,2 0,0 0,0 0,1
440,1 426,1 398,1 429,1 163,1 161,1 0,0 0,2
167,1 403,1 161,1 163,1 160,1 0,0 0,0 0,1
440,1 426,1 402,1 194,1 160,1 396,1 0,0 0,1
440,1 429,1 194,1 402,1 396,1 0,0 0,0 0,2
167,1 403,1 396,1 163,1 400,1 0,0 0,0 0,2
440,1 429,1 543,1 195,1 0,0 0,0 0,0 0,2
440,1 426,1 194,1 396,1 543,1 0,0 0,0 0,1
167,1 403,1 333,1 427,1 0,0 0,0 0,0 0,1
167,1 333,1 161,1 542,1 0,0 0,0 0,0 0,1
440,2 333,2 402,2 427,2 0,0 0,0 0,0 0,1
167,1 429,1 350,1 0,0 0,0 0,0 0,0 0,2
440,2 426,3 398,3 396,3 402,2 161,2 0,0 0,2
440,1 429,1 195,1 396,1 196,1 0,0 0,0 0,1
167,1 426,1 398,1 424,1 160,1 396,1 427,1 0,1
440,1 426,1 402,1 429,1 192,1 0,0 0,0 0,6
440,2 331,3 424,3 406,1 427,1 0,0 0,0 0,1
440,1 398,1 163,1 427,1 0,0 0,0 0,0 0,1
440,1 429,1 402,1 196,1 542,1 0,0 0,0 0,2
440,1 426,1 429,1 543,1 163,1 0,0 0,0 0,2
167,1 426,1 163,1 429,1 398,1 0,0 0,0 0,1
440,1 398,1 542,1 402,1 427,1 537,1 426,1 0,1
167,1 426,1 331,1 333,1 400,1 0,0 0,0 0,1
167,1 163,1 0,0 0,0 0,0 0,0 0,0 0,2
440,1 331,1 402,1 400,1 396,1 0,0 0,0 0,3
167,1 403,1 400,1 163,1 396,1 0,0 0,0 0,1
440,1 426,1 194,1 402,1 161,1 0,0 0,0 0,1
440,1 426,1 194,1 427,1 161,1 196,1 0,0 0,1
440,1 426,1 194,1 429,1 427,1 396,1 160,1 0,1
440,1 398,1 429,1 423,1 427,1 160,1 0,0 0,1
440,1 398,1 426,1 194,1 396,1 423,1 0,0 0,1
440,1 333,1 161,1 398,1 0,0 0,0 0,0 0,1
440,2 403,2 396,2 160,1 161,1 0,0 0,0 0,2
440,1 331,1 402,1 396,1 400,1 0,0 0,0 0,2
440,2 403,1 396,1 160,1 161,1 0,0 0,0 0,1
