442,1 542,2 436,1 421,1 344,2 345,2 417,2 2,2
442,1 478,1 346,2 360,2 423,1 525,1 358,2 1,1
442,1 436,1 417,2 415,2 345,1 423,1 344,2 1,1
442,1 542,2 486,3 344,2 345,2 415,2 417,2 1,1
442,1 436,1 478,1 448,1 346,2 423,3 445,1 1,1
442,1 343,3 345,2 436,1 415,2 417,2 419,1 1,1
224,1 343,1 345,1 531,1 543,1 546,1 0,0 1,1
442,1 542,1 339,1 338,2 520,2 452,3 387,2 1,1
442,1 443,1 339,1 387,2 393,1 452,3 382,3 1,1
442,1 524,1 354,2 346,2 445,1 360,2 362,1 1,1
224,1 542,1 531,1 543,1 0,0 0,0 0,0 1,1
442,1 436,1 365,1 354,3 358,2 445,1 341,2 1,1
442,1 443,1 339,1 430,1 392,1 423,1 382,3 1,1
442,1 331,1 436,1 333,1 402,1 448,1 406,1 1,1
442,1 343,3 345,2 344,1 415,1 234,1 419,1 1,1
224,1 429,1 424,1 0,0 0,0 0,0 0,0 1,1
224,1 343,1 345,1 0,0 0,0 0,0 0,0 1,1
224,1 539,1 543,1 537,1 0,0 0,0 0,0 1,1
224,1 343,1 345,1 344,1 0,0 0,0 0,0 2,2
224,1 539,1 0,0 0,0 0,0 0,0 0,0 1,1
442,1 542,2 436,1 345,2 543,3 344,2 417,2 1,1
442,1 443,1 386,2 387,2 433,1 452,3 392,1 1,1
224,1 542,1 345,1 531,1 344,1 415,1 417,1 32,46
224,1 354,1 429,1 426,1 359,1 360,1 423,1 2,3
224,1 343,1 542,1 345,1 415,1 531,1 417,1 26,46
224,1 543,1 452,1 0,0 0,0 0,0 0,0 1,2
552,1 542,1 543,1 519,1 520,1 0,0 0,0 1,2
224,1 539,1 454,1 0,0 0,0 0,0 0,0 1,2
224,1 343,1 344,1 531,1 415,1 345,1 417,1 1,2
224,1 542,1 539,1 537,1 543,1 0,0 0,0 1,2
442,1 443,1 339,1 430,1 392,1 423,3 382,3 1,2
224,1 403,1 539,1 402,1 195,1 161,1 163,1 2,4
224,1 343,1 344,1 531,1 345,1 415,1 417,1 1,2
442,1 339,1 390,2 387,2 382,3 0,0 0,0 1,2
224,1 539,1 543,1 0,0 0,0 0,0 0,0 2,6
552,1 536,1 333,1 537,1 539,1 454,1 0,0 1,3
224,1 194,1 403,1 402,1 163,1 429,1 423,1 1,4
224,1 403,1 539,1 402,1 192,1 163,1 161,1 1,12
224,2 423,3 346,2 426,3 429,1 543,3 374,2 0,1
224,1 426,1 429,1 371,1 374,1 372,1 373,1 0,1
224,1 196,1 0,0 0,0 0,0 0,0 0,0 0,13
552,2 546,1 514,3 513,1 542,1 543,3 0,0 0,1
224,1 403,1 192,1 195,1 163,1 402,1 161,1 0,1
224,1 542,1 539,1 543,1 454,1 0,0 0,0 0,2
552,2 210,1 482,1 426,3 161,2 429,2 0,0 0,1
554,1 433,1 362,1 426,2 429,1 341,2 0,0 0,1
224,1 350,1 346,1 426,1 338,1 452,1 424,1 0,1
224,1 403,1 535,1 537,1 402,1 163,1 161,1 0,1
224,1 403,1 539,1 350,1 402,1 163,1 161,1 0,1
