259,2 380,1 180,3 297,1 237,1 272,3 378,2 1,1
439,2 370,3 380,1 179,3 367,3 0,0 0,0 1,1
259,2 380,1 426,3 183,1 514,1 336,1 0,0 1,1
189,1 367,1 180,1 179,1 183,1 0,0 0,0 1,1
259,2 180,3 448,1 379,1 380,1 0,0 0,0 1,1
439,2 380,1 370,1 379,1 0,0 0,0 0,0 1,1
439,2 370,3 183,1 448,1 380,1 0,0 0,0 2,2
439,2 180,3 380,1 297,1 183,1 336,1 0,0 1,1
439,2 367,3 380,1 426,3 379,1 378,1 0,0 1,1
259,1 180,1 183,1 369,1 378,1 0,0 0,0 2,2
439,2 367,3 451,3 369,3 380,1 0,0 0,0 1,1
439,2 370,3 367,3 379,1 380,1 0,0 0,0 1,1
439,2 380,1 426,3 448,1 379,1 0,0 0,0 2,2
259,2 370,2 351,2 369,3 380,1 0,0 0,0 1,1
439,2 428,1 367,3 336,1 380,1 0,0 0,0 1,1
439,2 367,3 183,1 336,1 273,1 0,0 0,0 1,1
439,2 428,2 367,3 336,1 0,0 0,0 0,0 3,3
259,2 542,1 351,2 424,3 380,1 0,0 0,0 1,1
259,1 370,1 514,1 448,1 0,0 0,0 0,0 2,2
439,2 180,1 380,1 183,1 367,1 336,1 0,0 3,3
189,1 180,1 380,1 179,1 351,1 0,0 0,0 1,1
439,2 367,3 428,2 448,1 0,0 0,0 0,0 1,1
259,1 180,1 380,1 379,1 183,1 426,1 0,0 1,1
259,1 180,1 367,1 380,1 379,1 378,1 0,0 1,1
259,1 180,1 367,1 380,1 193,1 237,1 0,0 1,1
439,2 380,1 367,3 297,1 379,1 183,1 0,0 1,1
439,1 367,1 426,1 183,1 379,1 0,0 0,0 1,1
439,2 370,3 183,1 336,1 0,0 0,0 0,0 1,1
259,1 180,1 380,1 183,1 378,1 336,1 0,0 1,1
439,1 380,1 367,1 379,1 336,1 0,0 0,0 1,1
259,2 180,3 179,3 370,3 0,0 0,0 0,0 1,1
259,1 451,1 370,1 369,1 0,0 0,0 0,0 2,2
259,2 180,3 379,1 183,2 297,1 380,1 0,0 1,1
259,1 180,1 179,1 351,1 380,1 0,0 0,0 1,1
439,2 380,1 367,3 448,1 379,1 0,0 0,0 2,2
259,2 370,3 369,2 351,2 0,0 0,0 0,0 1,1
439,2 428,2 183,1 378,1 0,0 0,0 0,0 1,1
439,2 367,3 379,1 183,1 426,1 0,0 0,0 1,1
259,1 370,1 379,1 237,1 380,1 0,0 0,0 1,1
259,1 380,1 180,1 370,1 427,1 183,1 0,0 1,1
439,2 367,3 370,3 427,2 183,1 0,0 0,0 2,2
439,2 428,2 367,3 336,1 380,1 0,0 0,0 2,2
259,1 180,1 446,1 351,1 380,1 0,0 0,0 1,1
439,2 380,1 352,1 379,1 0,0 0,0 0,0 1,1
259,2 380,1 367,3 180,3 297,1 351,2 237,2 1,1
439,2 380,1 367,3 336,1 379,1 0,0 0,0 1,1
439,2 180,2 367,3 183,1 351,2 0,0 0,0 1,1
439,2 180,3 183,2 379,1 0,0 0,0 0,0 9,10
439,2 180,1 183,1 379,1 0,0 0,0 0,0 7,8
259,1 370,1 180,1 179,1 0,0 0,0 0,0 11,13
259,1 380,1 370,1 180,1 179,1 0,0 0,0 4,5
439,2 380,1 367,3 379,1 336,1 0,0 0,0 3,4
189,1 180,1 351,1 179,1 380,1 0,0 0,0 28,42
439,2 180,1 380,1 183,1 367,3 336,1 0,0 25,40
439,2 180,3 183,1 379,1 0,0 0,0 0,0 3,5
439,1 180,1 183,1 379,1 0,0 0,0 0,0 36,62
259,1 370,1 514,1 351,1 0,0 0,0 0,0 1,2
439,2 367,3 370,3 427,1 183,1 0,0 0,0 2,4
189,1 351,1 179,1 180,1 380,1 0,0 0,0 1,2
439,2 180,3 380,1 183,1 367,3 336,1 0,0 1,2
189,1 426,1 367,1 351,1 179,1 0,0 0,0 1,2
189,1 180,1 351,1 179,1 0,0 0,0 0,0 47,109
189,1 180,1 367,1 179,1 183,1 0,0 0,0 3,7
439,1 367,1 379,1 336,1 0,0 0,0 0,0 7,17
439,2 367,3 379,1 336,1 0,0 0,0 0,0 10,25
189,1 367,1 351,1 542,1 427,1 0,0 0,0 7,18
189,1 180,1 179,1 369,1 0,0 0,0 0,0 14,37
439,2 426,2 367,3 183,1 379,1 0,0 0,0 1,3
439,1 367,1 179,1 514,1 0,0 0,0 0,0 2,11
189,1 351,1 180,1 179,1 0,0 0,0 0,0 1,9
439,2 380,1 370,3 336,1 183,1 0,0 0,0 0,1
439,1 370,1 367,1 369,1 426,1 0,0 0,0 0,2
439,1 180,1 380,1 183,1 367,1 336,1 0,0 0,3
439,1 367,1 370,1 451,1 426,1 0,0 0,0 0,1
439,1 180,1 367,1 183,1 351,1 0,0 0,0 0,2
439,1 428,1 367,1 426,1 180,1 0,0 0,0 0,1
439,1 428,1 513,1 0,0 0,0 0,0 0,0 0,1
189,1 180,1 370,1 179,1 0,0 0,0 0,0 0,1
439,1 367,1 191,1 194,1 0,0 0,0 0,0 0,3
439,1 370,1 191,1 427,1 0,0 0,0 0,0 0,1
259,1 514,1 351,1 542,1 0,0 0,0 0,0 0,1
439,1 370,1 336,1 183,1 0,0 0,0 0,0 0,3
500,2 367,3 428,2 351,2 0,0 0,0 0,0 0,1
439,1 370,1 426,1 429,1 0,0 0,0 0,0 0,1
439,1 367,1 428,1 514,1 0,0 0,0 0,0 0,1
439,2 180,3 183,2 379,1 380,1 0,0 0,0 0,1
439,1 513,1 429,1 0,0 0,0 0,0 0,0 0,1
439,1 428,1 426,1 542,1 0,0 0,0 0,0 0,3
259,2 542,1 448,1 336,1 0,0 0,0 0,0 0,1
439,2 367,1 380,1 429,2 448,1 0,0 0,0 0,1
259,1 380,1 542,1 514,1 451,1 0,0 0,0 0,1
439,2 451,3 367,3 369,3 0,0 0,0 0,0 0,1
439,2 451,3 367,3 369,3 380,1 0,0 0,0 0,1
