442,1 366,1 353,3 546,1 359,2 364,1 358,2 1,1
224,1 366,1 353,1 136,1 359,1 138,1 358,1 1,1
224,2 353,3 341,2 359,1 346,2 0,0 0,0 4,4
442,1 426,3 546,1 394,1 346,2 392,1 382,3 1,1
442,1 428,2 411,3 351,2 0,0 0,0 0,0 2,2
224,2 353,3 341,2 359,2 346,2 0,0 0,0 1,1
442,1 428,1 411,3 351,1 0,0 0,0 0,0 1,1
224,1 353,1 426,1 136,1 359,1 138,1 427,1 2,2
240,1 428,1 459,1 394,1 172,1 392,1 0,0 1,1
224,1 230,1 341,1 359,1 346,1 0,0 0,0 1,1
442,1 428,2 490,1 351,1 0,0 0,0 0,0 1,1
224,1 366,1 458,1 341,1 364,1 0,0 0,0 1,1
224,2 366,1 353,3 341,2 359,1 346,2 0,0 1,1
442,1 383,3 459,2 394,1 392,1 346,2 0,0 1,1
224,1 353,1 136,1 141,1 359,1 346,1 0,0 3,3
262,2 366,1 354,3 448,1 490,3 0,0 0,0 1,1
224,1 527,1 525,1 0,0 0,0 0,0 0,0 1,1
224,1 366,1 353,1 341,1 359,1 346,1 0,0 25,31
224,1 353,1 546,1 341,1 359,1 136,1 0,0 3,4
224,1 542,1 527,1 0,0 0,0 0,0 0,0 3,4
224,1 343,1 344,1 411,1 409,1 0,0 0,0 3,4
224,1 343,1 344,1 0,0 0,0 0,0 0,0 5,7
224,1 353,1 546,1 359,1 358,1 346,1 0,0 12,17
224,1 136,1 353,1 546,1 359,1 358,1 426,1 42,62
224,1 337,1 452,1 0,0 0,0 0,0 0,0 2,3
224,1 542,1 527,1 525,1 0,0 0,0 0,0 8,12
503,2 428,2 490,3 351,2 0,0 0,0 0,0 4,6
224,1 353,1 341,1 359,1 427,1 0,0 0,0 1,2
224,1 353,1 341,1 359,1 346,1 0,0 0,0 18,36
224,1 451,1 0,0 0,0 0,0 0,0 0,0 1,2
224,1 353,1 426,1 546,1 359,1 358,1 136,1 1,2
224,1 353,1 426,1 136,1 359,1 346,1 427,1 2,4
224,1 353,1 136,1 359,1 141,1 138,1 0,0 5,10
224,1 353,1 542,1 359,1 358,1 0,0 0,0 8,18
224,1 409,1 455,1 414,1 411,1 346,1 0,0 4,10
224,1 542,1 513,1 514,1 0,0 0,0 0,0 2,5
224,1 514,1 513,1 0,0 0,0 0,0 0,0 1,3
224,1 353,1 341,1 346,1 359,1 0,0 0,0 5,17
224,1 409,1 343,1 414,1 411,1 346,1 0,0 3,12
224,1 157,1 158,1 163,1 0,0 0,0 0,0 3,12
224,1 341,1 346,1 353,1 359,1 0,0 0,0 1,5
224,1 542,1 537,1 0,0 0,0 0,0 0,0 1,5
224,1 353,1 426,1 359,1 358,1 346,1 0,0 1,5
224,1 353,1 0,0 0,0 0,0 0,0 0,0 3,16
224,1 399,1 426,1 427,1 158,1 0,0 0,0 0,1
442,1 428,2 341,1 346,1 0,0 0,0 0,0 0,1
262,2 412,3 422,1 409,3 420,2 344,2 0,0 0,1
224,1 136,1 353,1 426,1 341,1 359,1 0,0 0,1
442,1 412,3 347,1 411,1 422,1 0,0 0,0 0,1
442,1 343,3 422,1 455,2 414,2 420,1 346,2 0,1
224,1 525,1 527,1 542,1 546,1 0,0 0,0 0,1
224,2 366,1 353,3 341,1 359,1 346,2 0,0 0,1
224,1 353,1 359,1 542,1 346,1 426,1 0,0 0,1
442,1 343,3 426,3 455,2 276,2 346,2 422,1 0,1
224,1 409,1 343,1 414,1 411,1 426,1 546,1 0,1
224,1 343,1 542,1 411,1 414,1 0,0 0,0 0,1
224,2 230,2 138,1 141,2 525,1 366,1 0,0 0,1
224,1 353,1 366,1 136,1 359,1 358,1 346,1 0,1
442,1 386,1 387,1 346,1 427,1 0,0 0,0 0,1
224,1 426,1 409,1 546,1 411,1 414,1 343,1 0,1
224,1 409,1 0,0 0,0 0,0 0,0 0,0 0,4
224,1 367,1 369,1 351,1 542,1 0,0 0,0 0,1
224,1 542,1 341,1 359,1 0,0 0,0 0,0 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,7
224,1 527,1 136,1 353,1 542,1 359,1 0,0 0,1
224,2 343,3 409,2 414,1 411,1 346,2 0,0 0,1
224,1 180,1 183,1 179,1 0,0 0,0 0,0 0,2
224,1 353,1 426,1 359,1 346,1 358,1 0,0 0,1
224,1 542,1 459,1 457,1 0,0 0,0 0,0 0,1
442,1 426,3 344,2 351,2 0,0 0,0 0,0 0,1
224,1 527,1 0,0 0,0 0,0 0,0 0,0 0,4
224,1 537,1 0,0 0,0 0,0 0,0 0,0 0,3
503,2 428,1 490,3 351,2 0,0 0,0 0,0 0,1
224,1 343,1 0,0 0,0 0,0 0,0 0,0 0,2
224,1 514,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 366,1 542,1 527,1 525,1 0,0 0,0 0,1
224,1 353,1 426,1 359,1 138,1 555,1 546,1 0,1
