240,2 343,3 426,3 415,3 351,2 414,3 0,0 1,1
442,1 348,2 546,1 346,2 0,0 0,0 0,0 1,1
224,2 348,2 158,3 0,0 0,0 0,0 0,0 1,1
224,2 348,2 409,3 420,2 0,0 0,0 0,0 1,1
240,2 348,2 344,2 0,0 0,0 0,0 0,0 1,1
291,1 353,3 361,2 546,1 0,0 0,0 0,0 1,1
262,2 348,2 490,1 0,0 0,0 0,0 0,0 1,1
224,1 353,1 546,1 341,1 359,1 346,1 0,0 3,3
224,2 348,2 387,2 0,0 0,0 0,0 0,0 1,1
291,1 348,2 0,0 0,0 0,0 0,0 0,0 2,2
291,1 248,1 289,1 0,0 0,0 0,0 0,0 1,1
552,1 514,1 312,1 0,0 0,0 0,0 0,0 1,1
503,2 348,1 490,3 0,0 0,0 0,0 0,0 1,1
200,1 348,2 420,1 346,1 0,0 0,0 0,0 1,1
552,2 544,2 537,1 0,0 0,0 0,0 0,0 1,1
240,2 348,2 344,3 0,0 0,0 0,0 0,0 3,4
442,1 361,2 359,2 346,2 0,0 0,0 0,0 2,3
503,2 348,2 490,3 0,0 0,0 0,0 0,0 7,11
224,1 353,1 542,1 359,1 346,1 427,1 0,0 12,20
224,1 348,1 169,1 172,1 0,0 0,0 0,0 2,4
224,1 353,1 426,1 546,1 359,1 358,1 138,1 8,16
442,1 348,2 426,3 346,2 0,0 0,0 0,0 1,2
224,2 361,2 359,2 346,2 0,0 0,0 0,0 1,2
224,1 348,1 542,1 0,0 0,0 0,0 0,0 6,12
224,1 348,1 158,1 0,0 0,0 0,0 0,0 2,4
224,1 353,1 136,1 341,1 359,1 138,1 0,0 2,4
224,1 361,1 359,1 346,1 0,0 0,0 0,0 205,422
224,1 348,1 381,1 172,1 0,0 0,0 0,0 9,19
224,1 136,1 426,1 353,1 359,1 138,1 141,1 12,26
224,1 361,1 359,1 138,1 0,0 0,0 0,0 8,18
240,1 348,1 344,1 0,0 0,0 0,0 0,0 8,18
224,1 348,1 409,1 346,1 0,0 0,0 0,0 7,16
224,1 353,1 542,1 341,1 359,1 0,0 0,0 3,7
224,1 353,1 136,1 426,1 359,1 141,1 138,1 3,7
224,1 514,1 373,1 542,1 0,0 0,0 0,0 4,10
224,1 353,1 426,1 136,1 359,1 138,1 141,1 5,13
224,1 184,1 346,1 546,1 0,0 0,0 0,0 2,6
552,1 514,1 544,1 0,0 0,0 0,0 0,0 1,3
224,1 426,1 353,1 341,1 359,1 346,1 0,0 10,34
442,1 348,2 351,2 0,0 0,0 0,0 0,0 2,8
552,1 542,1 519,1 0,0 0,0 0,0 0,0 1,4
224,1 361,1 341,1 353,1 0,0 0,0 0,0 1,4
224,1 348,1 387,1 0,0 0,0 0,0 0,0 3,13
552,1 542,1 544,1 0,0 0,0 0,0 0,0 3,14
224,1 426,1 353,1 136,1 359,1 358,1 427,1 0,1
224,1 361,1 353,1 359,1 426,1 0,0 0,0 0,3
224,1 348,1 514,1 0,0 0,0 0,0 0,0 0,1
224,1 353,1 426,1 341,1 359,1 346,1 0,0 0,5
224,1 361,1 546,1 359,1 426,1 0,0 0,0 0,1
224,1 348,1 424,1 0,0 0,0 0,0 0,0 0,4
552,2 428,2 351,2 427,1 0,0 0,0 0,0 0,1
224,1 346,1 361,1 359,1 0,0 0,0 0,0 0,1
224,1 348,1 409,1 414,1 0,0 0,0 0,0 0,1
224,1 348,1 395,1 346,1 0,0 0,0 0,0 0,1
224,1 353,1 426,1 359,1 141,1 346,1 136,1 0,2
224,1 348,1 359,1 0,0 0,0 0,0 0,0 0,1
224,1 341,1 346,1 426,1 353,1 359,1 0,0 0,2
224,1 353,1 546,1 341,1 359,1 427,1 0,0 0,2
442,1 348,2 426,1 346,2 0,0 0,0 0,0 0,1
224,1 542,1 341,1 359,1 353,1 0,0 0,0 0,1
442,1 386,2 392,1 346,2 382,3 0,0 0,0 0,2
224,1 353,1 136,1 341,1 359,1 346,1 0,0 0,2
552,1 542,1 312,1 0,0 0,0 0,0 0,0 0,1
442,1 348,1 426,3 346,2 0,0 0,0 0,0 0,1
224,1 361,1 359,1 427,1 0,0 0,0 0,0 0,1
552,1 544,1 537,1 0,0 0,0 0,0 0,0 0,1
224,1 361,1 357,1 0,0 0,0 0,0 0,0 0,1
224,1 542,1 348,1 0,0 0,0 0,0 0,0 0,2
224,1 353,1 136,1 341,1 359,1 427,1 0,0 0,4
224,1 361,1 358,1 427,1 0,0 0,0 0,0 0,1
552,1 367,1 312,1 183,1 0,0 0,0 0,0 0,1
552,2 318,3 344,1 0,0 0,0 0,0 0,0 0,1
224,1 542,1 413,1 346,1 0,0 0,0 0,0 0,1
442,1 348,2 378,2 367,3 0,0 0,0 0,0 0,1
552,1 533,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 398,1 395,1 158,1 402,1 0,0 0,0 0,1
240,1 348,1 424,1 353,2 0,0 0,0 0,0 0,1
224,1 136,1 353,1 341,1 359,1 346,1 0,0 0,1
224,1 348,1 426,1 346,1 0,0 0,0 0,0 0,1
552,1 532,1 0,0 0,0 0,0 0,0 0,0 0,1
