224,1 348,1 361,1 341,1 457,1 358,1 525,1 1,1
442,1 436,1 450,1 351,2 434,1 0,0 0,0 1,1
224,1 343,1 533,1 528,1 544,1 0,0 0,0 1,1
442,1 348,2 409,3 345,2 415,2 417,2 414,2 2,2
224,1 348,1 436,1 415,1 150,1 417,1 418,1 1,1
224,1 348,1 339,1 424,1 387,1 519,1 381,1 1,1
224,2 339,1 387,2 338,2 424,3 385,3 426,3 1,1
224,1 542,1 533,1 345,1 351,1 531,1 0,0 1,1
442,1 348,2 436,1 457,2 351,2 448,1 430,1 1,1
552,1 544,1 515,1 315,1 513,1 0,0 0,0 1,1
552,1 544,1 542,1 324,1 525,1 543,1 527,1 1,1
224,1 348,1 184,1 371,1 426,1 367,1 346,1 1,1
291,1 348,2 434,1 339,1 346,2 394,1 0,0 1,1
291,1 348,1 383,3 264,1 287,1 457,1 459,1 1,1
224,1 348,1 514,1 184,1 183,1 371,1 346,1 4,4
291,1 233,3 347,2 485,3 411,3 351,2 490,3 1,1
442,1 348,2 370,3 368,3 346,2 376,1 380,1 1,1
552,2 514,3 315,1 542,2 371,3 346,1 424,3 1,1
224,2 361,2 348,2 341,2 359,1 346,2 358,1 1,1
552,1 544,1 543,1 526,1 525,1 527,1 0,0 1,1
224,1 348,1 542,1 184,1 371,1 346,1 272,1 1,1
224,1 542,1 436,1 393,1 387,1 264,1 390,1 1,1
224,1 542,1 346,1 348,1 184,1 371,1 427,1 1,1
224,1 348,1 542,1 184,1 371,1 346,1 183,1 77,110
224,1 514,1 184,1 424,1 335,1 371,1 179,1 40,59
224,1 348,1 542,1 184,1 371,1 346,1 427,1 210,332
224,1 348,1 184,1 367,1 371,1 424,1 346,1 5,8
224,1 348,1 361,1 341,1 453,1 359,1 358,1 3,5
224,1 348,1 514,1 184,1 427,1 371,1 346,1 3,5
224,1 348,1 542,1 345,1 417,1 415,1 409,1 5,10
224,1 542,1 533,1 345,1 344,1 424,1 411,1 13,26
224,1 348,1 344,1 414,1 415,1 346,1 417,1 4,8
224,1 348,1 387,1 519,1 520,1 424,1 172,1 1,2
224,1 348,1 542,1 402,1 333,1 424,1 395,1 3,6
224,1 348,1 184,1 371,1 367,1 346,1 426,1 8,23
224,1 343,1 414,1 345,1 415,1 417,1 457,1 2,6
442,1 348,2 356,3 361,2 340,3 346,2 453,3 1,3
224,1 348,1 184,1 371,1 367,1 346,1 181,1 3,12
224,1 348,1 409,1 345,1 415,1 417,1 414,1 1,5
552,1 544,1 542,1 543,1 533,1 0,0 0,0 1,5
224,1 348,1 542,1 345,1 344,1 415,1 411,1 0,2
224,1 413,1 0,0 0,0 0,0 0,0 0,0 0,2
224,1 343,1 348,1 414,1 345,1 344,1 411,1 0,1
224,1 343,1 348,1 344,1 346,1 345,1 411,1 0,1
554,1 180,1 542,1 348,2 375,1 371,1 0,0 0,1
240,1 348,1 450,1 477,1 458,1 0,0 0,0 0,1
442,1 348,1 366,1 524,1 357,3 351,2 361,2 0,1
442,1 348,2 346,2 414,2 345,2 417,2 409,3 0,1
442,1 375,1 348,1 376,1 0,0 0,0 0,0 0,1
224,1 348,1 426,1 184,1 367,1 371,1 346,1 0,1
224,1 348,1 415,1 414,1 345,1 346,1 417,1 0,1
224,1 348,1 420,1 345,1 415,1 417,1 414,1 0,1
224,1 348,1 345,1 414,1 415,1 417,1 427,1 0,1
224,1 348,1 184,1 514,1 371,1 183,1 427,1 0,3
224,2 348,2 346,2 414,2 345,2 417,2 409,3 0,1
224,1 348,1 412,1 347,1 345,1 344,1 0,0 0,1
442,1 348,1 422,1 413,1 409,1 425,1 428,1 0,1
224,1 348,1 346,1 414,1 345,1 417,1 409,1 0,2
224,1 348,1 184,1 427,1 371,1 424,1 346,1 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,1
552,2 531,2 542,2 543,3 533,2 546,1 0,0 0,1
224,1 348,1 361,1 544,1 527,1 366,1 425,1 0,1
200,1 443,1 388,1 394,1 280,1 518,1 352,1 0,1
224,1 348,1 285,1 525,1 526,1 346,1 0,0 0,1
224,2 348,2 344,1 414,1 345,1 346,2 417,1 0,1
224,1 348,1 184,1 424,1 371,1 183,1 346,1 0,1
552,2 348,2 346,2 525,2 353,3 340,3 453,3 0,1
224,1 348,1 514,1 373,1 371,1 351,1 457,1 0,1
224,1 542,1 346,1 348,1 371,1 427,1 184,1 0,1
200,1 348,2 436,1 415,2 421,1 344,2 346,2 0,1
224,1 514,1 184,1 335,1 371,1 424,1 346,1 0,1
224,1 348,1 184,1 542,1 371,1 183,1 427,1 0,1
262,1 399,1 159,1 401,1 332,1 158,1 242,1 0,1
224,1 348,1 361,1 341,1 429,1 525,1 358,1 0,1
224,1 348,1 184,1 371,1 514,1 426,1 424,1 0,1
224,1 542,1 346,1 348,1 427,1 184,1 371,1 0,1
552,1 533,1 542,1 0,0 0,0 0,0 0,0 0,1
