224,2 381,3 424,3 337,3 351,2 426,3 0,0 1,1
442,1 340,3 546,1 359,2 358,2 0,0 0,0 1,1
442,1 436,1 406,1 0,0 0,0 0,0 0,0 1,1
442,1 542,1 436,1 426,1 387,2 0,0 0,0 1,1
200,1 390,1 387,1 169,1 0,0 0,0 0,0 1,1
442,1 340,3 359,2 358,2 426,3 0,0 0,0 1,1
224,1 140,1 357,1 0,0 0,0 0,0 0,0 1,1
224,2 409,1 345,2 424,1 426,1 0,0 0,0 1,1
224,1 436,1 542,1 359,1 426,1 0,0 0,0 1,1
442,1 426,1 436,1 359,2 358,2 0,0 0,0 2,2
224,1 395,1 424,1 402,1 158,1 0,0 0,0 1,1
291,1 226,1 0,0 0,0 0,0 0,0 0,0 1,1
224,1 542,1 390,1 0,0 0,0 0,0 0,0 1,1
442,1 426,1 230,1 357,3 351,2 136,1 353,3 1,1
291,1 370,3 369,3 448,1 0,0 0,0 0,0 1,1
224,1 340,1 359,1 358,1 546,1 0,0 0,0 1,1
224,1 367,1 514,1 436,1 448,1 0,0 0,0 1,1
291,1 229,2 0,0 0,0 0,0 0,0 0,0 1,1
224,1 367,1 514,1 436,1 542,1 0,0 0,0 1,1
291,1 436,1 411,3 546,1 0,0 0,0 0,0 1,1
224,1 353,1 426,1 546,1 359,1 358,1 424,1 24,28
224,1 436,1 353,1 136,1 357,1 0,0 0,0 5,6
224,1 340,1 359,1 358,1 353,1 0,0 0,0 4,5
224,1 340,1 353,1 359,1 358,1 0,0 0,0 6,8
224,1 353,1 136,1 436,1 357,1 0,0 0,0 37,50
224,1 409,1 542,1 345,1 546,1 0,0 0,0 5,7
224,1 542,1 353,1 359,1 358,1 426,1 136,1 2,3
224,1 353,1 542,1 359,1 358,1 546,1 426,1 2,3
224,1 136,1 353,1 542,1 359,1 358,1 426,1 174,278
224,1 542,1 353,1 546,1 359,1 358,1 426,1 71,124
224,1 395,1 426,1 158,1 402,1 546,1 0,0 8,14
224,1 395,1 426,1 158,1 424,1 396,1 0,0 5,9
224,1 353,1 136,1 359,1 358,1 424,1 426,1 6,11
224,1 353,1 359,1 358,1 424,1 426,1 0,0 7,13
224,1 353,1 136,1 426,1 141,1 359,1 358,1 3,6
224,1 157,1 426,1 158,1 402,1 0,0 0,0 16,32
224,1 353,1 351,1 359,1 357,1 0,0 0,0 1,2
224,1 353,1 546,1 359,1 357,1 426,1 136,1 1,2
224,1 340,1 426,1 359,1 358,1 0,0 0,0 2,4
224,1 353,1 141,1 426,1 136,1 359,1 358,1 4,8
224,1 542,1 533,1 0,0 0,0 0,0 0,0 62,133
224,1 436,1 345,1 0,0 0,0 0,0 0,0 6,13
224,1 136,1 353,1 426,1 141,1 359,1 358,1 11,25
224,1 353,1 136,1 426,1 359,1 357,1 546,1 3,7
224,1 340,1 359,1 358,1 426,1 0,0 0,0 2,5
224,1 409,1 345,1 411,1 426,1 0,0 0,0 10,26
224,1 353,1 136,1 426,1 359,1 358,1 141,1 12,34
224,1 514,1 373,1 542,1 367,1 0,0 0,0 1,3
224,1 533,1 542,1 0,0 0,0 0,0 0,0 5,15
224,1 426,1 136,1 353,1 359,1 141,1 358,1 8,25
224,1 353,1 359,1 424,1 357,1 0,0 0,0 3,10
224,1 136,1 353,1 426,1 359,1 141,1 358,1 2,7
224,1 542,1 340,1 359,1 546,1 0,0 0,0 0,1
224,1 340,1 542,1 359,1 353,1 0,0 0,0 0,2
552,1 412,1 320,1 0,0 0,0 0,0 0,0 0,1
224,1 141,1 353,1 546,1 359,1 358,1 426,1 0,1
224,1 409,1 542,1 345,1 426,1 0,0 0,0 0,2
224,1 373,1 514,1 424,1 0,0 0,0 0,0 0,1
442,1 436,1 351,2 490,3 426,3 0,0 0,0 0,1
442,1 436,1 345,2 0,0 0,0 0,0 0,0 0,2
224,1 331,1 542,1 402,1 426,1 0,0 0,0 0,1
442,1 542,1 436,1 514,3 426,3 0,0 0,0 0,1
224,1 436,1 493,1 0,0 0,0 0,0 0,0 0,1
442,1 409,3 450,1 0,0 0,0 0,0 0,0 0,1
442,1 434,1 436,1 0,0 0,0 0,0 0,0 0,1
552,2 533,3 409,1 0,0 0,0 0,0 0,0 0,1
503,2 383,3 426,3 338,3 337,3 0,0 0,0 0,1
224,1 353,1 136,1 141,1 359,1 358,1 426,1 0,1
503,1 353,1 542,1 436,1 351,1 0,0 0,0 0,1
442,1 436,1 359,1 448,1 426,1 0,0 0,0 0,1
224,1 353,1 359,1 424,1 358,1 426,1 136,1 0,1
224,1 353,1 357,1 359,1 358,1 0,0 0,0 0,4
224,1 356,1 351,1 359,1 358,1 0,0 0,0 0,1
224,1 426,1 353,1 136,1 359,1 358,1 141,1 0,2
224,1 340,1 353,1 359,1 542,1 0,0 0,0 0,1
200,1 162,2 158,3 490,3 0,0 0,0 0,0 0,1
554,1 275,1 357,3 0,0 0,0 0,0 0,0 0,1
224,2 136,2 353,3 542,2 359,1 358,1 426,3 0,1
224,1 409,1 424,1 411,1 150,1 546,1 426,1 0,1
224,1 381,1 424,1 337,1 351,1 426,1 0,0 0,1
