551,1 343,1 409,1 320,1 0,0 0,0 0,0 3,3
156,1 409,1 415,1 411,1 150,1 414,1 0,0 1,1
551,1 409,1 343,1 320,1 0,0 0,0 0,0 1,1
156,2 413,1 344,2 427,2 409,3 0,0 0,0 1,1
441,2 412,3 409,3 414,2 343,3 344,2 0,0 1,1
156,2 413,2 344,2 427,1 409,3 0,0 0,0 1,1
551,1 343,1 320,1 409,1 0,0 0,0 0,0 1,1
261,2 428,2 411,3 485,3 0,0 0,0 0,0 1,1
156,2 413,1 344,2 427,1 409,1 0,0 0,0 1,1
261,2 426,3 409,3 455,2 411,3 485,3 0,0 1,1
441,2 343,3 344,1 417,2 0,0 0,0 0,0 1,1
156,2 414,2 409,3 415,2 150,2 411,3 0,0 3,3
441,2 343,3 427,1 417,2 414,2 0,0 0,0 1,1
502,1 533,1 411,1 0,0 0,0 0,0 0,0 1,1
156,2 533,2 344,2 0,0 0,0 0,0 0,0 1,1
441,1 413,1 414,1 344,1 0,0 0,0 0,0 1,1
441,2 413,3 344,1 414,1 0,0 0,0 0,0 1,1
156,2 409,3 426,3 150,1 424,3 411,3 414,2 1,1
441,2 413,3 344,2 426,3 409,3 0,0 0,0 1,1
441,2 343,3 409,1 426,2 455,2 417,1 0,0 1,1
156,2 413,1 344,2 427,1 409,3 0,0 0,0 1,1
441,2 409,3 343,3 487,1 344,2 0,0 0,0 1,1
551,2 533,3 0,0 0,0 0,0 0,0 0,0 1,1
441,2 409,2 343,3 411,1 485,3 0,0 0,0 1,1
463,1 413,3 411,3 409,2 0,0 0,0 0,0 2,2
441,2 343,3 415,2 417,2 0,0 0,0 0,0 2,2
261,1 533,1 414,1 273,1 0,0 0,0 0,0 1,1
551,2 343,3 320,1 409,3 0,0 0,0 0,0 1,1
156,2 414,2 409,3 415,2 150,1 411,3 0,0 1,1
261,2 426,3 409,1 455,1 411,1 485,2 0,0 1,1
441,1 413,1 344,1 409,1 426,1 0,0 0,0 1,1
156,2 409,3 415,2 150,2 411,3 414,2 0,0 2,2
156,2 409,2 415,1 150,1 411,3 414,2 0,0 1,1
156,2 343,3 409,1 411,3 414,1 344,2 426,1 1,1
441,2 409,3 412,3 344,2 149,3 427,2 0,0 1,1
261,2 343,3 414,2 411,3 485,3 0,0 0,0 1,1
156,2 532,3 542,1 411,1 0,0 0,0 0,0 1,1
441,1 533,1 343,1 0,0 0,0 0,0 0,0 1,1
441,2 413,2 344,2 343,3 0,0 0,0 0,0 1,1
156,2 409,3 415,2 150,1 411,3 414,2 0,0 1,1
261,1 426,1 409,1 455,1 411,1 485,1 0,0 61,67
441,2 409,3 412,3 344,2 149,1 427,2 0,0 3,4
441,2 409,2 412,3 344,2 149,1 427,1 0,0 5,7
156,1 409,1 426,1 150,1 424,1 411,1 414,1 26,39
156,1 343,1 409,1 426,1 344,1 411,1 414,1 2,3
441,2 413,3 344,2 427,1 0,0 0,0 0,0 8,13
156,1 533,1 344,1 0,0 0,0 0,0 0,0 197,322
441,2 409,3 412,3 344,2 149,1 427,1 0,0 10,17
156,1 409,1 415,1 150,1 411,1 414,1 0,0 4,7
441,2 413,3 344,2 427,2 0,0 0,0 0,0 5,9
441,2 413,3 343,3 344,2 0,0 0,0 0,0 37,73
441,1 542,1 544,1 411,1 0,0 0,0 0,0 1,2
156,1 343,1 344,1 417,1 409,1 0,0 0,0 2,4
441,2 413,3 344,1 409,3 426,3 0,0 0,0 1,2
441,2 413,3 344,1 414,2 0,0 0,0 0,0 1,2
441,2 412,3 411,3 344,2 414,2 0,0 0,0 1,2
156,1 409,1 412,1 411,1 415,1 414,1 0,0 1,2
441,2 413,3 417,2 0,0 0,0 0,0 0,0 1,2
156,1 343,1 344,1 411,1 414,1 409,1 426,1 1,2
463,1 413,3 411,3 409,3 0,0 0,0 0,0 2,4
441,2 413,3 343,2 344,2 0,0 0,0 0,0 3,6
156,1 409,1 412,1 414,1 411,1 415,1 0,0 45,91
441,2 409,3 343,3 487,2 344,2 0,0 0,0 11,23
156,1 152,1 344,1 0,0 0,0 0,0 0,0 2,5
441,2 413,3 344,2 409,3 426,3 0,0 0,0 5,13
156,1 343,1 409,1 411,1 414,1 344,1 426,1 15,40
441,2 413,3 344,2 343,3 0,0 0,0 0,0 1,3
156,1 343,1 344,1 409,1 411,1 414,1 426,1 1,3
441,2 409,3 455,2 414,2 411,3 343,3 427,1 3,9
441,1 409,1 533,1 149,1 0,0 0,0 0,0 1,3
441,1 533,1 542,1 0,0 0,0 0,0 0,0 2,6
156,1 426,1 409,1 424,1 150,1 411,1 414,1 3,9
441,1 413,1 344,1 343,1 0,0 0,0 0,0 1,3
156,1 409,1 412,1 344,1 411,1 414,1 0,0 1,4
441,1 409,1 412,1 344,1 149,1 427,1 0,0 2,8
441,2 343,1 427,1 417,2 414,2 0,0 0,0 1,4
441,1 412,1 533,1 0,0 0,0 0,0 0,0 1,5
441,1 343,1 427,1 417,1 414,1 0,0 0,0 1,5
156,1 343,1 344,1 426,1 414,1 411,1 409,1 1,5
441,1 428,1 409,1 543,1 0,0 0,0 0,0 1,6
441,1 533,1 409,1 414,1 0,0 0,0 0,0 1,8
441,1 533,1 191,1 0,0 0,0 0,0 0,0 1,9
551,1 343,1 544,1 0,0 0,0 0,0 0,0 1,11
441,2 152,1 429,1 0,0 0,0 0,0 0,0 0,7
441,2 412,3 411,3 344,2 414,1 0,0 0,0 0,1
156,1 455,1 411,1 414,1 415,1 427,1 0,0 0,4
441,1 425,1 426,1 429,1 0,0 0,0 0,0 0,1
441,1 413,1 415,1 149,1 0,0 0,0 0,0 0,1
156,1 409,1 343,1 411,1 414,1 344,1 426,1 0,3
156,1 426,1 149,1 429,1 0,0 0,0 0,0 0,1
441,1 152,1 147,1 0,0 0,0 0,0 0,0 0,1
441,2 343,3 415,2 344,2 427,1 0,0 0,0 0,1
441,2 412,3 427,1 414,2 411,3 343,3 0,0 0,1
441,1 532,1 416,1 0,0 0,0 0,0 0,0 0,2
156,1 426,1 413,1 0,0 0,0 0,0 0,0 0,1
551,2 343,3 544,2 0,0 0,0 0,0 0,0 0,1
441,2 343,3 411,3 414,2 344,2 426,3 0,0 0,1
441,1 428,1 0,0 0,0 0,0 0,0 0,0 0,1
441,1 409,1 533,1 414,1 0,0 0,0 0,0 0,1
441,2 413,3 343,1 344,2 0,0 0,0 0,0 0,6
156,1 343,1 344,1 411,1 0,0 0,0 0,0 0,1
441,1 413,1 409,1 411,1 427,1 0,0 0,0 0,1
441,1 542,1 533,1 0,0 0,0 0,0 0,0 0,1
441,2 343,3 426,2 411,3 344,2 414,2 0,0 0,1
441,1 533,1 424,1 0,0 0,0 0,0 0,0 0,3
551,1 343,1 532,1 0,0 0,0 0,0 0,0 0,2
441,2 413,3 427,1 344,2 0,0 0,0 0,0 0,1
156,1 412,1 344,1 417,1 0,0 0,0 0,0 0,1
156,2 152,2 409,1 344,1 0,0 0,0 0,0 0,1
441,1 425,1 150,1 427,1 0,0 0,0 0,0 0,1
441,1 428,1 191,1 195,1 0,0 0,0 0,0 0,1
156,1 424,1 542,1 414,1 0,0 0,0 0,0 0,1
551,2 343,1 0,0 0,0 0,0 0,0 0,0 0,1
441,1 147,1 426,1 542,1 196,1 0,0 0,0 0,1
441,1 533,1 409,1 343,1 0,0 0,0 0,0 0,1
441,1 409,1 533,1 426,1 0,0 0,0 0,0 0,2
239,1 413,3 411,3 0,0 0,0 0,0 0,0 0,1
441,1 533,1 411,1 0,0 0,0 0,0 0,0 0,3
441,1 409,1 533,1 427,1 0,0 0,0 0,0 0,1
156,1 349,1 429,1 0,0 0,0 0,0 0,0 0,1
156,1 343,1 409,1 411,1 414,1 416,1 0,0 0,1
441,1 533,1 409,1 149,1 0,0 0,0 0,0 0,1
156,1 409,1 413,1 426,1 411,1 414,1 0,0 0,2
261,1 409,1 426,1 415,1 455,1 411,1 414,1 0,1
441,1 409,1 425,1 410,1 0,0 0,0 0,0 0,1
551,1 532,1 427,1 426,1 0,0 0,0 0,0 0,1
156,1 343,1 409,1 411,1 344,1 414,1 426,1 0,1
156,1 409,1 414,1 426,1 413,1 411,1 0,0 0,1
441,1 152,1 410,1 0,0 0,0 0,0 0,0 0,1
441,2 343,3 344,2 417,1 0,0 0,0 0,0 0,1
441,1 532,1 148,1 0,0 0,0 0,0 0,0 0,1
441,2 428,1 426,1 543,1 0,0 0,0 0,0 0,1
551,1 533,1 0,0 0,0 0,0 0,0 0,0 0,7
551,2 533,2 0,0 0,0 0,0 0,0 0,0 0,1
441,1 343,1 415,1 417,1 0,0 0,0 0,0 0,1
441,1 343,1 455,1 415,1 344,1 0,0 0,0 0,1
441,2 409,3 455,2 414,2 411,3 343,3 427,2 0,1
441,2 533,2 411,1 0,0 0,0 0,0 0,0 0,1
441,1 533,1 0,0 0,0 0,0 0,0 0,0 0,4
156,2 413,3 344,2 409,3 414,2 0,0 0,0 0,1
441,1 409,1 455,1 414,1 343,1 416,1 0,0 0,3
156,1 343,1 414,1 411,1 344,1 427,1 0,0 0,1
156,2 409,1 415,1 150,1 411,1 414,1 0,0 0,1
441,2 343,3 417,2 344,2 0,0 0,0 0,0 0,1
441,2 429,1 344,2 410,3 0,0 0,0 0,0 0,1
441,2 409,2 412,3 344,2 149,1 427,2 0,0 0,1
441,1 409,1 191,1 190,1 0,0 0,0 0,0 0,1
441,1 532,1 150,1 149,1 0,0 0,0 0,0 0,2
441,1 413,1 429,1 149,1 0,0 0,0 0,0 0,1
441,1 147,1 409,1 544,1 426,1 0,0 0,0 0,1
441,1 190,1 196,1 0,0 0,0 0,0 0,0 0,1
441,2 455,2 423,3 344,2 0,0 0,0 0,0 0,1
441,2 413,3 344,1 426,3 409,3 0,0 0,0 0,1
