259,2 367,3 380,1 180,3 297,1 276,2 378,2 1,1
439,2 380,1 367,3 448,1 379,1 0,0 0,0 2,2
439,2 514,3 373,2 0,0 0,0 0,0 0,0 6,6
439,1 180,1 336,1 183,1 367,1 380,1 0,0 1,1
259,1 180,1 367,1 380,1 379,1 183,1 0,0 1,1
189,1 368,1 369,1 0,0 0,0 0,0 0,0 1,1
439,1 180,1 371,1 0,0 0,0 0,0 0,0 1,1
439,2 380,1 373,1 336,1 0,0 0,0 0,0 5,5
439,2 380,1 180,3 379,1 183,2 0,0 0,0 1,1
278,1 367,3 380,1 428,2 0,0 0,0 0,0 1,1
259,2 370,3 371,3 0,0 0,0 0,0 0,0 2,2
439,2 514,2 373,2 0,0 0,0 0,0 0,0 3,3
439,2 514,2 373,1 0,0 0,0 0,0 0,0 1,1
439,2 367,3 426,3 371,3 0,0 0,0 0,0 3,3
259,2 370,3 371,3 380,1 0,0 0,0 0,0 1,1
259,2 226,1 0,0 0,0 0,0 0,0 0,0 1,1
439,2 180,1 429,2 183,1 0,0 0,0 0,0 1,1
278,1 380,1 367,3 428,2 0,0 0,0 0,0 1,1
439,1 380,1 367,1 379,1 336,1 0,0 0,0 2,2
189,1 184,1 0,0 0,0 0,0 0,0 0,0 1,1
189,1 367,1 375,1 380,1 0,0 0,0 0,0 1,1
189,2 368,3 380,1 370,3 0,0 0,0 0,0 1,1
439,2 380,1 514,3 373,2 0,0 0,0 0,0 1,1
439,2 367,3 380,1 448,1 379,1 0,0 0,0 1,1
439,2 367,3 380,1 429,2 336,1 0,0 0,0 1,1
439,2 380,1 367,3 379,1 336,1 0,0 0,0 2,2
259,1 184,1 426,1 380,1 0,0 0,0 0,0 2,2
439,2 380,1 426,2 183,1 373,2 0,0 0,0 1,1
259,1 367,1 514,1 373,1 0,0 0,0 0,0 1,1
189,1 375,1 367,1 0,0 0,0 0,0 0,0 1,1
189,1 426,1 184,1 0,0 0,0 0,0 0,0 1,1
439,1 380,1 514,1 373,1 0,0 0,0 0,0 1,1
439,1 373,1 380,1 336,1 0,0 0,0 0,0 1,1
259,1 370,1 371,1 380,1 0,0 0,0 0,0 1,1
439,2 373,2 183,1 367,3 0,0 0,0 0,0 1,1
439,2 380,1 367,3 373,1 183,1 0,0 0,0 1,1
259,2 375,2 367,3 0,0 0,0 0,0 0,0 1,1
259,1 426,1 180,1 335,1 367,1 0,0 0,0 1,1
259,1 380,1 184,1 367,1 0,0 0,0 0,0 17,19
439,2 367,3 380,1 373,2 378,1 0,0 0,0 7,8
259,1 184,1 426,1 0,0 0,0 0,0 0,0 13,15
439,2 380,1 373,2 336,1 0,0 0,0 0,0 6,7
259,1 184,1 380,1 367,1 0,0 0,0 0,0 4,5
259,1 184,1 367,1 0,0 0,0 0,0 0,0 7,9
439,1 373,1 183,1 367,1 0,0 0,0 0,0 3,4
259,1 380,1 184,1 426,1 0,0 0,0 0,0 6,8
439,2 367,3 183,1 373,2 0,0 0,0 0,0 5,7
189,1 184,1 367,1 380,1 0,0 0,0 0,0 25,37
439,2 426,3 367,3 380,1 371,3 0,0 0,0 2,3
439,2 367,1 373,1 183,1 0,0 0,0 0,0 2,3
439,1 367,1 373,1 183,1 0,0 0,0 0,0 34,53
439,1 367,1 379,1 336,1 0,0 0,0 0,0 12,19
189,1 367,1 184,1 0,0 0,0 0,0 0,0 5,8
439,2 380,1 367,3 426,3 371,3 0,0 0,0 3,5
439,1 373,1 336,1 0,0 0,0 0,0 0,0 6,10
439,1 373,1 367,1 183,1 0,0 0,0 0,0 3,5
549,1 542,1 514,1 0,0 0,0 0,0 0,0 3,5
439,2 367,3 379,1 336,1 0,0 0,0 0,0 17,30
439,1 180,1 429,1 183,1 0,0 0,0 0,0 5,9
189,1 184,1 367,1 0,0 0,0 0,0 0,0 113,215
439,2 373,2 448,1 0,0 0,0 0,0 0,0 1,2
259,1 184,1 367,1 380,1 0,0 0,0 0,0 1,2
439,1 367,1 380,1 373,1 183,1 0,0 0,0 3,6
439,2 367,1 371,1 0,0 0,0 0,0 0,0 1,2
439,2 373,2 336,1 0,0 0,0 0,0 0,0 7,14
189,1 368,1 426,1 183,1 0,0 0,0 0,0 1,2
439,1 380,1 373,1 351,1 0,0 0,0 0,0 1,2
439,2 370,3 367,3 369,3 380,1 0,0 0,0 1,2
189,1 184,1 426,1 0,0 0,0 0,0 0,0 1,2
439,2 380,1 426,3 183,1 373,2 0,0 0,0 2,4
439,1 380,1 367,1 373,1 183,1 0,0 0,0 3,6
439,1 373,1 448,1 0,0 0,0 0,0 0,0 11,23
189,1 367,1 375,1 0,0 0,0 0,0 0,0 8,17
439,1 514,1 373,1 0,0 0,0 0,0 0,0 352,750
439,1 184,1 0,0 0,0 0,0 0,0 0,0 5,11
189,1 380,1 184,1 367,1 0,0 0,0 0,0 24,55
439,1 367,1 426,1 183,1 379,1 0,0 0,0 3,7
549,1 515,1 0,0 0,0 0,0 0,0 0,0 3,7
439,1 375,1 0,0 0,0 0,0 0,0 0,0 5,12
439,1 542,1 373,1 0,0 0,0 0,0 0,0 21,58
439,2 373,1 448,1 0,0 0,0 0,0 0,0 2,6
439,2 380,1 373,2 183,1 367,3 0,0 0,0 1,3
259,1 367,1 375,1 0,0 0,0 0,0 0,0 1,3
