261,2 422,1 426,3 409,3 455,2 411,3 414,2 2,2
156,2 428,2 409,3 344,2 422,1 0,0 0,0 1,1
156,1 343,1 420,1 411,1 414,1 0,0 0,0 1,1
156,2 412,3 411,2 409,2 414,1 0,0 0,0 1,1
441,1 422,1 343,1 427,1 344,1 0,0 0,0 1,1
156,2 409,2 420,1 415,1 414,1 0,0 0,0 1,1
441,1 413,1 0,0 0,0 0,0 0,0 0,0 1,1
156,1 409,1 344,1 414,1 149,1 0,0 0,0 1,1
441,2 428,2 426,3 351,2 0,0 0,0 0,0 1,1
156,2 343,3 411,2 344,2 422,1 0,0 0,0 1,1
551,2 317,2 344,1 0,0 0,0 0,0 0,0 1,1
502,2 428,2 344,3 422,1 0,0 0,0 0,0 1,1
156,1 409,1 420,1 414,1 415,1 0,0 0,0 1,1
156,2 343,3 411,1 344,2 422,1 0,0 0,0 1,1
156,1 343,1 411,1 420,1 414,1 0,0 0,0 1,1
441,2 422,1 412,3 411,3 409,3 426,3 0,0 1,1
261,1 409,1 412,1 411,1 414,1 0,0 0,0 1,1
261,2 422,1 409,3 420,1 153,2 414,1 0,0 1,1
156,2 413,3 414,2 409,3 0,0 0,0 0,0 1,1
551,1 530,1 0,0 0,0 0,0 0,0 0,0 1,1
156,2 343,2 411,3 344,2 422,1 0,0 0,0 1,1
156,2 343,3 411,3 344,1 422,1 0,0 0,0 1,1
441,2 422,1 343,3 411,3 351,2 0,0 0,0 17,21
156,2 343,3 411,3 344,2 422,1 0,0 0,0 4,5
441,2 428,2 351,2 426,3 0,0 0,0 0,0 3,4
156,2 343,3 411,3 344,2 0,0 0,0 0,0 2,3
441,2 343,3 427,2 344,2 0,0 0,0 0,0 2,3
441,2 343,3 344,2 414,2 422,1 0,0 0,0 10,15
463,1 413,3 422,1 0,0 0,0 0,0 0,0 2,3
156,1 409,1 420,1 415,1 414,1 0,0 0,0 79,131
441,1 409,1 411,1 344,1 0,0 0,0 0,0 6,10
156,1 343,1 409,1 414,1 411,1 426,1 0,0 12,20
156,1 412,1 409,1 411,1 414,1 0,0 0,0 15,25
156,1 343,1 411,1 344,1 0,0 0,0 0,0 48,81
156,1 343,1 344,1 411,1 0,0 0,0 0,0 77,139
156,1 343,1 409,1 344,1 414,1 422,1 0,0 23,42
441,2 413,3 414,2 0,0 0,0 0,0 0,0 2,4
441,2 343,3 344,2 427,1 422,1 0,0 0,0 6,12
441,2 343,3 344,2 427,2 422,1 0,0 0,0 3,6
441,2 343,3 344,2 427,2 0,0 0,0 0,0 1,2
156,1 413,1 424,1 0,0 0,0 0,0 0,0 1,2
441,2 428,2 344,2 0,0 0,0 0,0 0,0 1,2
156,1 412,1 414,1 411,1 409,1 0,0 0,0 1,2
441,2 412,3 409,3 344,2 0,0 0,0 0,0 1,2
156,1 460,1 426,1 409,1 0,0 0,0 0,0 1,2
156,1 412,1 415,1 414,1 0,0 0,0 0,0 2,4
441,2 409,3 455,2 411,3 343,3 0,0 0,0 1,2
551,1 544,1 0,0 0,0 0,0 0,0 0,0 2,4
156,1 409,1 343,1 344,1 414,1 0,0 0,0 15,31
156,1 533,1 0,0 0,0 0,0 0,0 0,0 93,195
156,1 412,1 411,1 409,1 414,1 0,0 0,0 26,55
156,1 409,1 343,1 411,1 414,1 426,1 0,0 4,9
156,1 542,1 413,1 0,0 0,0 0,0 0,0 3,7
441,2 343,3 344,2 414,2 0,0 0,0 0,0 10,24
156,1 422,1 409,1 412,1 411,1 414,1 0,0 2,5
156,1 343,1 426,1 409,1 411,1 414,1 0,0 2,5
441,1 343,1 344,1 414,1 0,0 0,0 0,0 4,10
156,1 409,1 343,1 414,1 344,1 0,0 0,0 9,23
441,1 343,1 344,1 0,0 0,0 0,0 0,0 1,3
441,2 343,3 344,2 427,1 0,0 0,0 0,0 2,6
156,1 343,1 409,1 455,1 414,1 427,1 0,0 1,3
441,1 544,1 149,1 0,0 0,0 0,0 0,0 1,3
156,1 413,1 411,1 0,0 0,0 0,0 0,0 2,7
156,1 409,1 426,1 414,1 411,1 149,1 0,0 3,11
441,1 343,1 427,1 344,1 0,0 0,0 0,0 1,4
551,1 542,1 0,0 0,0 0,0 0,0 0,0 1,6
156,1 409,1 455,1 414,1 415,1 0,0 0,0 1,7
441,1 409,1 532,1 0,0 0,0 0,0 0,0 0,1
156,1 409,1 412,1 411,1 414,1 0,0 0,0 0,2
441,1 544,1 409,1 0,0 0,0 0,0 0,0 0,2
441,2 428,1 412,3 426,1 0,0 0,0 0,0 0,2
441,1 152,1 0,0 0,0 0,0 0,0 0,0 0,6
551,1 542,1 343,1 0,0 0,0 0,0 0,0 0,1
156,1 343,1 409,1 414,1 344,1 0,0 0,0 0,2
441,1 532,1 426,1 0,0 0,0 0,0 0,0 0,1
441,1 409,1 425,1 0,0 0,0 0,0 0,0 0,1
156,1 343,1 411,1 426,1 414,1 409,1 0,0 0,2
441,2 409,3 412,3 414,2 343,1 0,0 0,0 0,4
441,1 409,1 412,1 414,1 343,1 0,0 0,0 0,1
441,1 409,1 411,1 414,1 343,1 0,0 0,0 0,1
441,2 530,1 462,1 0,0 0,0 0,0 0,0 0,1
156,1 413,1 149,1 409,1 0,0 0,0 0,0 0,1
441,1 409,1 412,1 410,1 0,0 0,0 0,0 0,1
441,1 412,1 409,1 411,1 426,1 0,0 0,0 0,1
441,1 428,1 412,1 426,1 0,0 0,0 0,0 0,2
441,1 544,1 427,1 0,0 0,0 0,0 0,0 0,1
441,1 544,1 343,1 0,0 0,0 0,0 0,0 0,1
441,1 425,1 409,1 0,0 0,0 0,0 0,0 0,1
441,1 409,1 344,1 411,1 0,0 0,0 0,0 0,1
156,1 413,1 351,1 0,0 0,0 0,0 0,0 0,1
441,1 190,1 0,0 0,0 0,0 0,0 0,0 0,4
156,1 409,1 414,1 411,1 150,1 0,0 0,0 0,1
441,2 343,1 344,1 414,1 422,1 0,0 0,0 0,1
156,1 412,1 417,1 0,0 0,0 0,0 0,0 0,1
156,1 413,1 542,1 0,0 0,0 0,0 0,0 0,1
441,2 343,3 344,1 414,2 0,0 0,0 0,0 0,1
156,1 409,1 150,1 426,1 0,0 0,0 0,0 0,1
156,2 343,3 351,2 344,2 0,0 0,0 0,0 0,1
156,1 409,1 414,1 426,1 427,1 0,0 0,0 0,1
261,1 422,1 409,1 343,1 420,1 153,1 0,0 0,1
551,1 422,1 322,1 411,1 0,0 0,0 0,0 0,1
156,2 343,3 351,2 344,1 0,0 0,0 0,0 0,1
156,1 409,1 411,1 344,1 426,1 0,0 0,0 0,1
441,2 412,1 409,2 344,2 0,0 0,0 0,0 0,1
156,1 422,1 460,1 414,1 0,0 0,0 0,0 0,1
441,1 455,1 422,1 411,1 414,1 426,1 0,0 0,2
441,2 422,1 343,3 427,2 344,2 0,0 0,0 0,1
156,1 343,1 411,1 344,1 422,1 0,0 0,0 0,1
156,2 344,2 409,3 414,2 149,3 0,0 0,0 0,2
441,2 422,1 343,3 427,1 344,2 0,0 0,0 0,1
551,2 409,1 0,0 0,0 0,0 0,0 0,0 0,1
156,1 412,1 344,1 414,1 0,0 0,0 0,0 0,1
441,2 422,1 343,3 344,2 420,1 0,0 0,0 0,1
156,1 344,1 409,1 414,1 149,1 0,0 0,0 0,4
441,1 413,1 427,1 0,0 0,0 0,0 0,0 0,1
502,2 343,3 414,2 420,2 427,2 422,1 0,0 0,1
441,2 409,3 412,2 414,2 343,3 0,0 0,0 0,1
502,1 343,2 414,1 420,1 427,1 422,1 0,0 0,1
441,2 343,2 344,2 414,2 0,0 0,0 0,0 0,1
441,1 409,1 428,1 412,1 0,0 0,0 0,0 0,1
156,2 412,3 351,2 414,1 409,3 0,0 0,0 0,1
156,1 413,1 414,1 409,1 0,0 0,0 0,0 0,1
