224,2 348,2 344,2 414,1 346,2 409,3 0,0 1,1
442,1 348,1 344,1 346,2 351,2 0,0 0,0 1,1
291,1 348,2 347,2 394,1 392,2 0,0 0,0 1,1
240,2 343,3 415,3 351,2 411,2 457,3 414,3 1,1
224,1 342,1 542,1 359,1 358,1 0,0 0,0 1,1
224,1 361,1 357,1 138,1 139,1 0,0 0,0 1,1
552,2 348,1 354,1 346,1 426,1 0,0 0,0 1,1
224,1 184,1 426,1 371,1 346,1 0,0 0,0 1,1
224,1 426,1 162,1 402,1 158,1 395,1 0,0 1,1
224,2 339,1 387,1 424,3 351,2 0,0 0,0 1,1
224,1 348,1 138,1 346,1 357,1 0,0 0,0 1,1
291,1 436,1 411,3 351,2 555,1 546,1 422,1 1,1
442,1 436,1 462,1 457,2 351,2 346,2 426,3 1,1
224,2 542,1 436,1 414,1 421,1 422,1 0,0 1,1
552,1 542,1 514,1 312,1 0,0 0,0 0,0 1,1
442,1 348,2 341,2 346,2 359,2 0,0 0,0 1,1
552,2 383,1 518,1 306,3 346,2 394,1 0,0 1,1
552,1 370,1 542,1 312,1 367,1 180,1 0,0 1,1
224,1 361,1 341,1 359,1 346,1 0,0 0,0 2,2
442,1 348,2 359,2 341,2 346,2 0,0 0,0 1,1
442,1 348,2 344,2 346,2 351,2 0,0 0,0 1,1
291,1 348,2 337,3 351,2 0,0 0,0 0,0 1,1
224,1 339,1 351,1 387,1 424,1 0,0 0,0 1,1
552,1 533,1 546,1 542,1 0,0 0,0 0,0 1,1
291,1 188,1 0,0 0,0 0,0 0,0 0,0 1,1
442,1 348,2 344,1 346,2 351,1 0,0 0,0 1,1
224,2 361,2 353,3 341,2 359,2 346,2 426,3 1,1
224,1 348,1 371,1 424,1 0,0 0,0 0,0 1,1
552,1 514,1 315,1 0,0 0,0 0,0 0,0 1,1
552,1 542,1 514,1 543,1 0,0 0,0 0,0 1,1
442,1 348,2 341,2 346,1 359,1 0,0 0,0 1,1
442,1 348,2 420,1 424,3 344,2 422,1 0,0 1,1
224,1 361,1 427,1 546,1 359,1 358,1 346,1 19,22
224,1 361,1 542,1 359,1 358,1 353,1 426,1 3,4
