291,1 542,2 474,1 394,1 237,2 275,2 169,3 1,1
224,1 426,1 370,1 184,1 367,1 179,1 368,1 1,1
554,1 408,1 399,3 428,2 395,3 332,2 348,2 1,1
503,2 361,1 357,3 346,3 348,2 0,0 0,0 1,1
224,1 383,1 542,1 519,1 387,1 348,1 0,0 1,1
552,2 370,1 448,1 315,1 514,3 462,1 0,0 1,1
224,2 343,3 409,3 460,1 420,2 348,2 424,3 1,1
442,1 383,3 339,1 459,2 348,2 0,0 0,0 1,1
224,1 184,1 371,1 424,1 185,1 346,1 426,1 1,1
442,1 348,2 425,3 353,3 361,2 0,0 0,0 1,1
442,1 348,2 347,2 457,2 490,3 346,2 427,1 1,1
552,2 544,2 514,2 543,2 513,1 0,0 0,0 1,1
442,1 343,3 422,1 460,1 413,3 348,2 0,0 2,2
442,1 348,2 364,1 526,3 366,1 361,2 0,0 1,1
442,1 436,1 411,1 450,1 414,1 409,1 426,1 1,1
224,1 348,1 371,1 346,1 373,1 367,1 546,1 1,1
224,1 339,1 424,1 381,1 387,1 348,1 0,0 3,4
224,1 348,1 138,1 136,1 366,1 361,1 362,1 5,7
224,1 348,1 344,1 415,1 417,1 409,1 0,0 5,7
224,1 348,1 402,1 161,1 346,1 395,1 398,1 7,10
224,1 361,1 136,1 427,1 359,1 358,1 348,1 2,3
224,1 348,1 402,1 537,1 539,1 395,1 426,1 9,14
224,1 348,1 353,1 341,1 359,1 136,1 361,1 30,49
224,1 348,1 160,1 402,1 161,1 346,1 395,1 3,5
224,1 180,1 182,1 184,1 367,1 368,1 426,1 9,16
224,1 348,1 542,1 519,1 387,1 346,1 381,1 38,76
552,1 532,1 544,1 543,1 0,0 0,0 0,0 1,2
224,1 348,1 382,1 338,1 172,1 387,1 169,1 1,2
224,1 348,1 542,1 519,1 346,1 387,1 381,1 1,2
224,1 339,1 381,1 387,1 424,1 348,1 0,0 16,32
442,1 348,2 344,2 417,2 351,2 343,3 0,0 1,2
224,1 342,1 366,1 141,1 362,1 361,1 0,0 2,4
240,1 152,1 413,1 428,1 412,1 409,1 455,1 1,2
224,1 348,1 359,1 141,1 364,1 136,1 361,1 1,2
224,1 361,1 141,1 359,1 346,1 348,1 0,0 3,6
224,1 348,1 136,1 357,1 353,1 138,1 361,1 2,4
224,1 409,1 348,1 345,1 346,1 344,1 0,0 2,4
224,1 348,1 409,1 414,1 415,1 417,1 346,1 3,7
224,1 348,1 402,1 163,1 400,1 346,1 0,0 3,8
224,1 533,1 344,1 415,1 346,1 343,1 427,1 3,8
224,1 348,1 514,1 373,1 542,1 183,1 346,1 2,6
224,1 339,1 381,1 424,1 387,1 348,1 0,0 7,23
224,1 348,1 353,1 359,1 358,1 346,1 361,1 7,23
224,1 348,1 359,1 358,1 346,1 353,1 361,1 2,8
552,1 544,1 514,1 543,1 513,1 0,0 0,0 1,4
224,1 348,1 402,1 161,1 346,1 395,1 0,0 2,9
224,1 348,1 359,1 141,1 358,1 361,1 0,0 1,5
224,1 370,1 426,1 181,1 184,1 367,1 368,1 0,2
552,1 399,1 402,1 346,1 348,1 395,1 426,1 0,1
224,1 180,1 370,1 184,1 451,1 368,1 426,1 0,2
552,2 331,2 542,2 329,1 538,2 0,0 0,0 0,1
442,1 542,1 436,1 373,2 514,3 336,1 369,3 0,1
224,2 348,2 402,2 161,1 346,2 395,3 0,0 0,1
224,1 361,1 341,1 359,1 525,1 354,1 346,1 0,4
224,1 367,1 180,1 184,1 348,1 185,1 426,1 0,1
224,1 341,1 348,1 353,1 359,1 136,1 361,1 0,1
224,1 343,1 455,1 344,1 415,1 351,1 348,1 0,1
224,1 348,1 371,1 346,1 373,1 367,1 426,1 0,1
262,2 348,2 422,1 420,2 345,2 344,2 346,2 0,1
554,1 348,2 459,1 387,2 520,2 394,1 0,0 0,1
554,1 385,3 519,1 347,1 457,1 381,3 0,0 0,1
442,1 348,1 0,0 0,0 0,0 0,0 0,0 0,1
224,2 348,2 359,2 427,2 138,3 346,2 361,1 0,1
224,1 348,1 366,1 341,1 357,1 361,1 0,0 0,1
224,2 348,1 402,2 161,1 346,2 395,3 0,0 0,1
224,1 348,1 359,1 136,1 341,1 353,1 361,1 0,1
442,1 348,1 436,1 351,1 448,1 346,1 427,1 0,1
552,1 544,1 539,1 543,1 0,0 0,0 0,0 0,4
552,2 544,1 539,2 543,1 0,0 0,0 0,0 0,1
552,2 544,3 539,3 543,2 0,0 0,0 0,0 0,1
224,1 339,1 387,1 381,1 424,1 385,1 346,1 0,1
503,1 492,1 504,1 366,1 0,0 0,0 0,0 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,4
552,1 544,1 542,1 514,1 543,1 0,0 0,0 0,3
552,2 532,2 544,1 543,1 0,0 0,0 0,0 0,1
552,2 532,3 544,3 543,3 0,0 0,0 0,0 0,1
