261,2 343,3 422,1 149,3 414,2 411,3 485,3 1,1
551,2 533,2 343,1 0,0 0,0 0,0 0,0 1,1
156,1 409,1 413,1 411,1 414,1 150,1 0,0 1,1
551,2 343,3 320,1 411,1 0,0 0,0 0,0 1,1
551,2 343,3 414,1 320,2 0,0 0,0 0,0 1,1
441,2 152,1 344,2 414,1 0,0 0,0 0,0 1,1
551,1 422,1 343,1 409,1 420,1 320,1 0,0 1,1
551,2 409,3 343,3 414,2 320,1 0,0 0,0 1,1
441,2 412,1 409,3 344,2 417,1 0,0 0,0 2,2
441,2 412,1 409,1 344,1 417,2 0,0 0,0 1,1
463,1 422,1 409,3 343,3 485,3 411,3 0,0 1,1
156,1 533,1 422,1 344,1 414,1 0,0 0,0 2,2
441,2 412,3 409,2 344,1 417,1 0,0 0,0 1,1
156,2 343,3 409,3 411,3 345,2 414,1 0,0 1,1
441,2 413,1 344,2 415,2 422,1 0,0 0,0 1,1
441,2 533,1 344,2 409,1 0,0 0,0 0,0 1,1
156,2 533,2 344,2 409,3 0,0 0,0 0,0 1,1
441,2 412,1 409,3 344,1 417,2 0,0 0,0 2,2
441,2 412,3 409,2 344,1 417,2 0,0 0,0 1,1
441,2 412,1 409,2 344,1 417,2 0,0 0,0 1,1
261,2 409,3 343,3 414,2 415,2 417,2 422,1 1,1
156,1 409,1 411,1 150,1 417,1 414,1 0,0 1,1
156,1 529,1 344,1 422,1 0,0 0,0 0,0 5,5
463,1 422,1 409,3 343,3 485,1 411,3 0,0 1,1
551,1 343,1 409,1 320,1 414,1 0,0 0,0 1,1
261,2 343,3 455,2 485,3 411,3 414,2 422,1 1,1
156,1 529,1 344,1 0,0 0,0 0,0 0,0 3,3
441,2 152,1 417,2 0,0 0,0 0,0 0,0 1,1
261,2 343,3 455,1 414,1 411,3 485,3 0,0 1,1
156,2 343,3 409,3 344,2 411,2 150,1 414,2 1,1
441,2 412,3 409,3 344,1 417,2 0,0 0,0 11,13
441,2 412,2 409,3 344,2 417,1 0,0 0,0 11,14
156,1 412,1 150,1 411,1 344,1 414,1 0,0 3,4
463,1 413,3 409,3 422,1 411,3 414,2 0,0 3,4
441,2 412,2 409,1 344,2 417,2 0,0 0,0 3,4
441,2 412,3 409,3 344,2 417,2 0,0 0,0 45,66
441,2 412,2 409,3 344,2 417,2 0,0 0,0 19,28
156,2 343,3 409,3 344,2 411,3 150,1 414,2 2,3
441,2 412,3 409,1 344,2 417,2 0,0 0,0 2,3
156,1 343,1 409,1 150,1 344,1 411,1 414,1 2,3
441,2 412,1 409,3 344,2 417,2 0,0 0,0 2,3
441,2 413,3 344,2 415,2 422,1 0,0 0,0 4,6
261,2 343,3 455,2 422,1 485,3 411,3 414,2 2,3
441,2 343,3 420,1 344,2 417,2 0,0 0,0 2,3
441,2 412,3 409,3 344,2 417,1 0,0 0,0 13,20
441,2 412,2 409,3 344,1 417,2 0,0 0,0 6,10
441,2 412,2 409,2 344,2 417,2 0,0 0,0 3,5
156,1 409,1 343,1 150,1 411,1 414,1 415,1 8,14
156,1 343,1 344,1 409,1 411,1 150,1 414,1 78,141
261,1 409,1 412,1 411,1 420,1 415,1 414,1 6,11
