437,1 174,1 381,1 385,1 0,0 0,0 0,0 2,2
437,1 172,1 392,1 542,1 519,1 169,1 0,0 1,1
437,1 381,1 339,1 389,1 169,1 0,0 0,0 3,3
437,1 427,1 381,1 542,1 519,1 172,1 0,0 1,1
437,1 394,1 339,1 387,1 392,1 381,1 0,0 1,1
437,2 394,1 339,1 519,1 0,0 0,0 0,0 1,1
437,2 388,2 459,2 394,1 392,2 296,1 0,0 1,1
437,2 339,1 385,3 394,1 0,0 0,0 0,0 1,1
437,2 339,1 459,2 387,1 0,0 0,0 0,0 1,1
437,2 428,2 459,2 394,1 385,3 381,3 0,0 3,3
437,2 339,1 337,3 387,1 0,0 0,0 0,0 1,1
178,1 339,1 542,1 387,1 394,1 381,1 0,0 1,1
437,2 339,1 459,2 394,1 392,2 169,3 0,0 1,1
437,2 394,1 339,1 337,2 542,2 0,0 0,0 1,1
437,1 426,1 339,1 542,1 392,1 0,0 0,0 1,1
437,2 428,2 459,2 542,1 352,1 0,0 0,0 1,1
437,1 339,1 542,1 386,1 0,0 0,0 0,0 1,1
437,1 339,1 386,1 172,1 169,1 0,0 0,0 1,1
437,2 383,3 459,1 394,1 337,3 351,2 392,1 2,2
437,2 339,1 337,3 542,1 0,0 0,0 0,0 1,1
437,2 339,1 542,1 387,1 394,1 0,0 0,0 1,1
437,1 517,1 542,1 519,1 172,1 0,0 0,0 1,1
178,1 339,1 542,1 337,1 426,1 0,0 0,0 1,1
437,1 391,1 387,1 337,1 0,0 0,0 0,0 1,1
437,2 426,1 381,1 542,1 519,1 386,2 0,0 1,1
437,2 383,3 459,2 337,3 351,2 392,1 394,1 2,2
437,2 337,3 459,1 387,2 386,2 392,1 394,1 1,1
437,2 339,1 337,1 351,2 0,0 0,0 0,0 1,1
178,1 339,1 542,1 337,1 381,1 394,1 0,0 1,1
437,2 339,1 386,2 172,1 169,3 0,0 0,0 1,1
437,2 383,3 337,3 394,1 351,2 392,2 386,2 1,1
437,2 383,3 459,2 351,1 337,3 381,3 426,2 1,1
437,1 381,1 339,1 172,1 337,1 0,0 0,0 1,1
178,2 383,1 542,2 519,1 172,1 381,1 0,0 1,1
437,2 381,3 339,1 387,2 392,2 394,1 0,0 1,1
437,2 517,1 542,2 519,2 426,3 381,3 0,0 1,1
437,2 339,1 351,2 337,3 394,1 0,0 0,0 2,2
437,2 381,3 426,2 169,1 389,2 338,2 172,1 1,1
178,1 394,1 339,1 542,1 382,1 0,0 0,0 1,1
547,1 339,1 448,1 426,1 0,0 0,0 0,0 1,1
437,2 172,1 381,3 542,2 519,1 426,2 169,1 1,1
437,2 394,1 381,3 339,1 542,2 392,2 0,0 1,1
437,2 172,1 381,3 542,2 519,1 426,1 169,1 1,1
437,2 383,3 394,1 386,2 392,1 382,3 427,2 1,1
437,2 381,3 459,2 387,2 389,2 386,2 0,0 1,1
437,2 394,1 339,1 542,2 386,2 0,0 0,0 1,1
