291,1 348,2 542,1 411,3 351,2 422,1 0,0 1,1
552,1 370,1 514,1 315,1 346,1 0,0 0,0 1,1
224,2 348,2 542,1 339,1 426,2 0,0 0,0 1,1
552,1 436,1 422,1 542,1 320,1 411,1 0,0 1,1
442,1 348,2 347,2 457,2 351,1 426,2 0,0 3,3
552,2 514,3 315,1 542,1 272,3 0,0 0,0 1,1
224,1 348,1 542,1 414,1 411,1 343,1 149,1 1,1
200,1 361,2 366,1 357,3 458,2 351,2 359,2 1,1
291,1 436,1 542,2 493,1 237,2 0,0 0,0 1,1
552,2 533,1 544,2 542,1 0,0 0,0 0,0 1,1
224,1 348,1 542,1 519,1 346,1 381,1 0,0 1,1
554,1 394,1 443,1 387,2 490,3 385,3 0,0 1,1
552,1 174,1 381,1 337,1 306,1 172,1 0,0 1,1
442,1 348,2 347,2 339,1 0,0 0,0 0,0 1,1
442,1 348,2 436,1 420,1 411,3 414,2 422,1 1,1
442,1 471,3 459,2 394,1 518,1 457,2 426,3 1,1
442,1 348,2 347,2 457,2 351,2 426,1 0,0 2,2
442,1 343,3 455,2 411,3 414,1 351,2 348,2 1,1
291,1 533,3 542,2 414,2 343,3 426,3 422,1 1,1
224,1 343,1 542,1 345,1 415,1 411,1 546,1 2,2
552,1 426,1 367,1 514,1 315,1 542,1 0,0 1,1
552,2 426,3 275,2 310,1 448,1 338,2 0,0 1,1
442,1 348,2 347,2 457,2 351,2 426,3 0,0 2,2
224,1 532,1 531,1 544,1 0,0 0,0 0,0 1,1
224,1 348,1 514,1 373,1 183,1 367,1 426,1 2,2
554,1 348,2 351,2 387,2 424,3 394,1 169,1 1,1
224,1 348,1 514,1 373,1 183,1 180,1 0,0 1,1
224,1 533,1 542,1 344,1 414,1 343,1 0,0 1,1
224,1 348,1 337,1 346,1 351,1 457,1 0,0 1,1
224,1 348,1 542,1 436,1 546,1 414,1 409,1 1,1
224,1 361,1 542,1 359,1 424,1 141,1 138,1 10,13
224,1 348,1 426,1 402,1 158,1 346,1 395,1 2,3
224,1 533,1 542,1 414,1 411,1 343,1 426,1 59,93
224,1 533,1 542,1 414,1 411,1 343,1 409,1 44,73
224,1 348,1 542,1 351,1 411,1 343,1 426,1 15,25
224,1 412,1 343,1 420,1 345,1 415,1 346,1 4,7
224,1 348,1 151,1 542,1 414,1 546,1 0,0 1,2
224,1 348,1 542,1 339,1 426,1 0,0 0,0 1,2
224,1 533,1 343,1 345,1 0,0 0,0 0,0 1,2
224,1 381,1 339,1 338,1 424,1 346,1 426,1 1,2
552,1 343,1 544,1 542,1 344,1 0,0 0,0 1,2
442,1 346,2 542,2 452,3 386,2 382,3 392,1 1,2
224,1 409,1 343,1 344,1 345,1 415,1 346,1 1,2
224,1 361,1 542,1 357,1 354,1 346,1 0,0 2,5
552,1 533,1 543,1 0,0 0,0 0,0 0,0 1,3
224,1 361,1 436,1 358,1 357,1 366,1 353,1 1,3
224,1 426,1 398,1 402,1 161,1 158,1 163,1 5,16
224,1 426,1 398,1 402,1 158,1 161,1 163,1 2,7
224,1 348,1 426,1 158,1 161,1 346,1 395,1 3,14
224,1 361,1 436,1 358,1 357,1 353,1 0,0 1,6
442,1 434,1 542,1 426,1 448,1 436,1 0,0 0,1
552,2 546,1 430,1 448,1 351,2 542,1 427,1 0,1
552,1 533,1 544,1 343,1 0,0 0,0 0,0 0,3
224,1 361,1 346,1 426,1 341,1 359,1 358,1 0,1
552,1 544,1 514,1 543,1 0,0 0,0 0,0 0,1
552,1 542,1 320,1 343,1 411,1 351,1 0,0 0,1
224,1 348,1 136,1 138,1 351,1 357,1 426,1 0,4
224,1 361,1 351,1 542,1 138,1 357,1 546,1 0,1
442,1 348,2 347,2 457,1 351,2 426,2 0,0 0,1
224,1 533,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 361,1 341,1 359,1 358,1 346,1 353,1 0,1
224,1 348,1 426,1 359,1 358,1 346,1 353,1 0,1
442,1 348,2 347,1 457,2 351,1 426,3 0,0 0,1
442,1 348,2 351,2 357,3 346,1 555,1 366,1 0,1
224,1 533,1 542,1 414,1 344,1 346,1 0,0 0,1
552,1 333,1 543,1 0,0 0,0 0,0 0,0 0,3
224,1 533,1 542,1 414,1 343,1 411,1 546,1 0,1
442,1 408,1 398,3 430,1 402,2 406,1 0,0 0,1
224,1 426,1 346,1 158,1 402,1 161,1 163,1 0,1
224,1 533,1 542,1 414,1 411,1 149,1 409,1 0,1
224,1 348,1 542,1 539,1 424,1 426,1 0,0 0,1
224,1 533,1 542,1 414,1 343,1 424,1 546,1 0,1
224,1 361,1 341,1 346,1 359,1 141,1 138,1 0,2
552,2 533,2 543,1 0,0 0,0 0,0 0,0 0,1
442,1 353,1 348,1 351,1 357,1 359,1 0,0 0,1
442,1 348,2 347,2 414,2 343,3 149,1 346,2 0,1
442,1 348,2 542,1 457,2 351,2 546,1 426,3 0,1
442,1 348,2 347,1 457,2 351,2 426,3 0,0 0,1
291,1 226,3 371,1 272,1 0,0 0,0 0,0 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 348,1 542,1 402,1 346,1 395,1 426,1 0,1
442,1 353,3 348,2 351,2 357,3 359,2 0,0 0,1
224,1 348,1 542,1 402,1 346,1 395,1 546,1 0,1
224,1 348,1 542,1 402,1 537,1 395,1 0,0 0,1
