156,2 533,2 542,1 344,2 150,2 417,2 415,2 2,2
502,2 269,1 542,1 343,3 411,3 351,2 146,3 1,1
551,1 533,1 531,1 542,1 320,1 0,0 0,0 1,1
551,2 532,1 318,1 543,1 343,1 0,0 0,0 1,1
551,1 533,1 542,1 344,1 419,1 427,1 0,0 1,1
551,1 533,1 531,1 345,1 343,1 0,0 0,0 1,1
156,2 533,3 542,1 344,1 150,1 417,2 415,1 1,1
156,2 533,3 542,1 344,2 150,2 417,2 415,2 1,1
463,1 455,2 343,3 345,2 421,1 352,1 415,2 1,1
441,2 152,1 409,3 345,1 415,2 417,2 422,1 1,1
441,2 152,1 424,3 415,2 411,3 344,2 417,2 1,1
551,1 533,1 542,1 543,1 343,1 541,1 0,0 1,1
441,2 152,1 409,3 345,2 344,2 417,1 149,2 1,1
441,2 152,1 409,2 345,1 344,1 417,2 149,1 1,1
441,2 152,1 409,2 345,1 344,1 417,1 149,1 1,1
441,1 152,1 415,1 150,1 344,1 154,1 417,1 1,1
441,2 152,1 409,3 344,1 150,1 417,2 415,1 1,1
551,2 533,3 531,1 542,2 543,2 0,0 0,0 1,1
463,1 422,1 420,1 421,1 415,1 417,1 345,2 1,1
441,2 152,1 415,1 542,1 429,1 150,1 417,2 1,1
441,2 412,3 343,3 345,2 415,2 417,2 423,3 1,1
502,2 533,1 485,3 417,3 344,3 424,1 0,0 1,1
441,1 409,1 343,1 410,1 345,1 411,1 344,1 1,1
551,1 533,1 318,1 543,1 0,0 0,0 0,0 1,1
441,1 152,1 414,1 424,1 150,1 344,1 417,1 1,1
441,2 152,1 415,2 344,1 427,2 417,2 196,1 1,1
441,2 152,1 415,2 149,1 427,1 423,3 417,2 5,6
441,2 152,1 415,2 344,2 429,2 417,2 427,1 3,4
441,2 152,1 415,2 344,2 427,2 417,2 196,1 7,10
441,2 152,1 415,1 149,1 427,1 423,1 417,2 2,3
441,2 460,1 343,3 420,1 421,1 417,1 344,2 2,3
441,2 152,1 415,2 344,2 427,2 417,1 196,1 3,5
441,2 152,1 415,1 344,2 427,1 417,2 196,1 24,42
551,1 533,1 531,1 542,1 543,1 0,0 0,0 9,16
441,2 152,1 415,1 344,2 427,2 417,2 196,1 10,18
441,2 152,1 415,2 344,2 427,1 417,2 196,1 6,11
156,1 533,1 542,1 344,1 150,1 417,1 415,1 46,87
156,1 533,1 542,1 151,1 541,1 150,1 411,1 15,29
551,1 533,1 0,0 0,0 0,0 0,0 0,0 1,2
441,2 152,1 415,1 344,1 427,2 417,2 196,1 1,2
551,1 409,1 343,1 345,1 344,1 415,1 419,1 1,2
551,1 533,1 530,1 543,1 0,0 0,0 0,0 1,2
441,2 152,1 415,1 344,2 427,2 417,1 196,1 4,8
551,1 533,1 531,1 542,1 409,1 344,1 343,1 1,2
551,1 532,1 542,1 544,1 0,0 0,0 0,0 1,2
551,1 533,1 531,1 542,1 345,1 0,0 0,0 2,4
441,1 152,1 149,1 427,1 423,1 417,1 344,1 1,2
441,2 150,1 343,3 344,2 345,2 415,2 417,2 1,2
551,1 533,1 345,1 344,1 409,1 343,1 0,0 1,2
551,1 533,1 542,1 543,1 532,1 0,0 0,0 2,4
551,1 533,1 542,1 543,1 544,1 0,0 0,0 1,2
441,2 152,1 415,2 344,1 427,1 417,2 196,1 1,2
441,1 413,1 531,1 415,1 150,1 417,1 427,1 3,6
441,2 150,1 343,3 344,2 345,2 415,1 417,2 5,11
441,1 152,1 415,1 542,1 196,1 150,1 417,1 5,11
441,2 152,1 415,2 344,2 427,1 417,1 196,1 3,7
441,2 152,1 415,1 344,1 427,1 417,2 196,1 4,10
441,2 152,1 409,3 345,2 344,2 417,2 149,1 4,10
441,2 152,1 409,3 345,2 344,2 417,1 149,1 4,10
441,2 152,1 415,1 149,1 427,1 423,3 417,2 2,5
441,1 150,1 343,1 344,1 345,1 415,1 417,1 8,21
441,1 152,1 415,1 344,1 427,1 417,1 196,1 18,50
441,1 412,1 343,1 345,1 415,1 417,1 344,1 1,3
551,1 533,1 531,1 543,1 0,0 0,0 0,0 1,3
441,2 152,1 415,1 542,1 429,1 150,1 417,1 1,3
441,2 152,1 415,1 149,1 427,1 423,1 417,1 1,3
441,1 152,1 415,1 542,1 429,1 150,1 417,1 4,13
441,1 152,1 409,1 345,1 344,1 417,1 149,1 11,36
551,1 533,1 531,1 542,1 532,1 0,0 0,0 3,10
441,2 152,1 415,1 344,1 427,1 417,1 196,1 2,7
441,2 152,1 415,1 344,2 427,1 417,1 196,1 6,24
441,1 152,1 415,1 344,1 150,1 424,1 417,1 1,4
441,2 412,3 343,3 345,2 415,2 417,2 344,2 1,4
441,1 152,1 415,1 344,1 150,1 427,1 417,1 1,4
441,2 412,3 343,3 420,1 415,2 417,2 419,1 1,4
441,1 152,1 415,1 195,1 150,1 149,1 417,1 1,5
441,2 460,1 343,3 420,1 421,1 417,2 344,2 1,5
441,1 531,1 414,1 409,1 544,1 543,1 344,1 1,6
441,1 152,1 415,1 149,1 427,1 423,1 417,1 1,9
441,1 152,1 409,1 345,1 415,1 417,1 422,1 0,1
441,1 533,1 532,1 413,1 426,1 195,1 0,0 0,1
441,1 532,1 409,1 410,1 424,1 429,1 417,1 0,1
156,1 424,1 414,1 425,1 415,1 426,1 0,0 0,1
441,2 413,3 152,1 351,2 542,1 419,1 0,0 0,1
441,1 428,1 426,1 415,1 423,1 417,1 427,1 0,2
441,1 190,1 544,1 533,1 195,1 0,0 0,0 0,1
441,1 152,1 415,1 148,1 150,1 417,1 149,1 0,4
441,1 413,1 343,1 420,1 415,1 417,1 419,1 0,2
551,1 533,1 343,1 426,1 345,1 320,1 0,0 0,1
441,2 413,3 351,2 343,3 344,2 419,1 416,2 0,1
551,2 532,3 533,3 543,3 542,1 0,0 0,0 0,1
441,2 413,3 343,1 344,2 415,1 419,1 427,1 0,1
441,2 413,3 343,3 344,2 415,2 419,2 427,2 0,1
441,2 152,1 415,2 344,1 427,1 417,1 196,1 0,1
441,1 412,1 428,1 409,1 532,1 151,1 424,1 0,1
441,2 152,1 415,1 424,1 150,1 344,2 417,2 0,1
441,1 425,1 409,1 149,1 192,1 427,1 195,1 0,1
441,1 413,1 532,1 146,1 426,1 424,1 148,1 0,1
441,1 152,1 426,1 344,1 195,1 415,1 417,1 0,1
441,2 152,1 343,3 427,1 423,1 344,2 417,1 0,1
156,1 349,1 428,1 351,1 424,1 423,1 350,1 0,1
441,2 412,3 428,1 345,2 415,2 344,2 417,2 0,2
441,2 413,3 343,2 344,1 415,1 419,1 427,1 0,1
441,1 152,1 344,1 417,1 148,1 149,1 427,1 0,1
441,2 412,3 343,3 345,2 415,1 417,2 344,2 0,4
441,1 533,1 412,1 147,1 192,1 423,1 0,0 0,1
441,2 412,3 343,3 415,2 448,1 417,2 345,1 0,1
441,2 152,1 409,3 344,2 427,1 417,2 531,2 0,1
441,2 152,1 409,3 345,2 344,1 417,1 149,1 0,1
502,1 533,1 415,1 414,1 420,1 344,1 345,1 0,1
441,1 413,1 345,1 344,1 415,1 351,1 411,1 0,2
441,2 152,1 409,2 345,2 344,2 417,1 149,1 0,2
441,2 345,1 343,3 351,2 416,2 419,1 542,1 0,1
441,2 152,1 409,3 345,2 344,1 417,2 149,1 0,1
551,1 412,1 0,0 0,0 0,0 0,0 0,0 0,3
441,2 413,3 351,2 415,1 542,1 419,1 344,2 0,1
441,1 413,1 343,1 415,1 150,1 531,1 417,1 0,2
441,2 152,1 415,2 344,2 427,1 417,2 149,1 0,2
441,2 529,1 448,1 344,2 417,2 542,1 409,3 0,1
441,2 152,1 427,2 448,1 417,1 344,2 416,1 0,1
441,1 152,1 411,1 415,1 195,1 427,1 417,1 0,5
156,1 413,1 542,1 345,1 415,1 417,1 414,1 0,1
441,1 152,1 409,1 344,1 150,1 417,1 415,1 0,4
441,2 533,1 351,2 343,3 415,1 419,1 427,1 0,1
441,2 152,1 344,1 424,1 417,2 416,1 0,0 0,1
441,2 152,1 409,2 344,1 150,1 417,2 415,1 0,1
441,2 152,1 415,2 344,1 427,1 417,2 149,1 0,2
441,2 152,1 415,1 149,1 427,1 423,2 417,1 0,2
441,2 412,3 343,3 420,1 415,1 417,2 419,1 0,2
551,1 532,1 543,1 544,1 0,0 0,0 0,0 0,2
441,2 152,1 415,2 344,2 150,1 424,1 417,2 0,1
551,2 532,3 543,2 544,3 0,0 0,0 0,0 0,1
441,1 425,1 410,1 193,1 194,1 149,1 423,1 0,1
441,1 428,1 344,1 194,1 416,1 195,1 417,1 0,1
441,2 152,1 411,3 415,2 195,1 427,1 417,2 0,1
551,1 426,1 0,0 0,0 0,0 0,0 0,0 0,3
441,1 412,1 343,1 420,1 415,1 417,1 419,1 0,1
551,2 533,2 531,1 543,2 0,0 0,0 0,0 0,1
441,2 152,1 415,1 149,1 427,1 423,3 417,1 0,1
441,2 412,3 343,3 415,2 448,1 417,2 345,2 0,1
441,1 532,1 409,1 344,1 487,1 417,1 148,1 0,1
441,2 413,3 343,3 455,2 344,2 417,2 419,1 0,1
441,2 413,3 343,3 420,1 415,2 417,1 419,1 0,1
441,2 150,2 343,3 344,2 345,2 415,2 417,1 0,1
