240,2 426,3 414,3 411,2 351,2 0,0 0,0 1,1
262,1 184,1 380,1 0,0 0,0 0,0 0,0 1,1
442,1 426,1 353,3 366,1 546,1 346,2 358,2 1,1
224,1 395,1 424,1 346,1 427,1 0,0 0,0 1,1
442,1 428,2 457,2 366,1 0,0 0,0 0,0 1,1
442,1 348,2 0,0 0,0 0,0 0,0 0,0 2,2
224,2 348,2 380,1 0,0 0,0 0,0 0,0 1,1
224,2 366,1 353,3 426,3 136,1 359,1 138,1 2,2
262,2 426,3 395,1 289,2 0,0 0,0 0,0 1,1
262,2 361,2 346,2 0,0 0,0 0,0 0,0 1,1
224,2 361,2 346,2 0,0 0,0 0,0 0,0 1,1
224,2 361,1 138,1 0,0 0,0 0,0 0,0 1,1
224,1 353,1 366,1 546,1 136,1 359,1 346,1 2,2
442,1 343,3 555,3 414,2 346,2 0,0 0,0 1,1
224,2 366,1 353,3 136,1 426,3 359,1 346,2 1,1
224,1 366,1 353,1 136,1 426,1 359,1 346,1 3,3
552,2 542,1 301,1 426,3 0,0 0,0 0,0 1,1
224,2 366,1 353,3 136,1 426,3 359,1 346,1 1,1
224,2 348,1 0,0 0,0 0,0 0,0 0,0 1,1
224,2 436,1 351,2 0,0 0,0 0,0 0,0 1,1
224,1 426,1 136,1 353,1 359,1 138,1 0,0 1,1
224,1 136,1 426,1 353,1 359,1 138,1 0,0 1,1
240,1 361,1 359,1 0,0 0,0 0,0 0,0 5,6
224,1 353,1 136,1 546,1 359,1 346,1 0,0 6,8
224,1 366,1 353,1 426,1 136,1 359,1 138,1 13,18
224,1 230,1 353,1 426,1 359,1 346,1 0,0 37,52
224,1 353,1 366,1 136,1 426,1 359,1 346,1 6,9
224,1 353,1 136,1 426,1 359,1 346,1 0,0 30,47
262,1 348,1 0,0 0,0 0,0 0,0 0,0 3,5
224,1 361,1 138,1 0,0 0,0 0,0 0,0 13,23
224,1 353,1 426,1 136,1 359,1 138,1 0,0 78,139
224,1 361,1 346,1 0,0 0,0 0,0 0,0 14,28
224,2 348,2 0,0 0,0 0,0 0,0 0,0 1,2
442,1 180,1 380,1 183,1 378,1 346,2 0,0 1,2
224,1 426,1 353,1 136,1 138,1 359,1 0,0 4,9
224,1 353,1 426,1 136,1 359,1 346,1 0,0 10,25
552,1 544,1 0,0 0,0 0,0 0,0 0,0 2,5
224,1 353,1 136,1 426,1 138,1 359,1 0,0 6,15
224,1 361,1 353,1 426,1 0,0 0,0 0,0 6,16
224,1 348,1 0,0 0,0 0,0 0,0 0,0 13,35
224,1 136,1 353,1 426,1 359,1 138,1 0,0 1,3
224,1 353,1 424,1 359,1 426,1 0,0 0,0 0,2
240,2 348,2 409,1 0,0 0,0 0,0 0,0 0,1
224,1 353,1 341,1 359,1 0,0 0,0 0,0 0,2
224,2 409,3 343,3 411,3 422,1 414,1 0,0 0,1
442,1 392,1 346,2 382,3 0,0 0,0 0,0 0,1
442,1 366,1 342,1 0,0 0,0 0,0 0,0 0,1
224,1 346,1 353,1 136,1 426,1 359,1 0,0 0,2
224,1 395,1 402,1 346,1 0,0 0,0 0,0 0,1
224,1 346,1 395,1 402,1 0,0 0,0 0,0 0,1
552,1 428,1 427,1 0,0 0,0 0,0 0,0 0,1
291,1 394,1 436,1 0,0 0,0 0,0 0,0 0,1
442,1 409,3 422,1 436,1 420,2 0,0 0,0 0,1
442,1 361,2 366,1 346,2 0,0 0,0 0,0 0,1
224,1 353,1 426,1 359,1 346,1 546,1 0,0 0,1
224,1 409,1 414,1 415,1 426,1 0,0 0,0 0,1
442,1 348,1 0,0 0,0 0,0 0,0 0,0 0,1
224,2 353,2 426,2 136,1 359,1 346,2 0,0 0,1
442,1 426,1 381,3 394,1 346,2 427,1 392,1 0,1
552,2 318,2 546,1 0,0 0,0 0,0 0,0 0,1
552,2 426,3 306,2 0,0 0,0 0,0 0,0 0,1
224,1 353,1 542,1 359,1 426,1 0,0 0,0 0,1
552,2 544,2 0,0 0,0 0,0 0,0 0,0 0,1
224,1 343,1 409,1 411,1 346,1 0,0 0,0 0,1
552,1 514,1 451,1 0,0 0,0 0,0 0,0 0,1
552,2 343,1 542,1 409,1 0,0 0,0 0,0 0,1
224,1 353,1 359,1 346,1 427,1 0,0 0,0 0,2
