259,2 380,1 180,3 371,3 237,2 378,2 0,0 1,1
439,2 370,3 373,1 336,1 0,0 0,0 0,0 2,2
439,2 370,3 373,1 336,1 380,1 0,0 0,0 2,2
439,2 370,2 373,2 336,1 380,1 0,0 0,0 1,1
439,2 380,1 373,2 379,1 183,2 0,0 0,0 1,1
439,2 180,3 426,3 380,1 336,1 379,1 367,3 1,1
259,1 380,1 184,1 179,1 0,0 0,0 0,0 1,1
439,2 380,1 426,3 448,1 379,1 336,1 0,0 1,1
439,2 370,3 179,3 379,1 380,1 0,0 0,0 1,1
439,1 367,1 514,1 373,1 183,1 0,0 0,0 1,1
439,2 367,3 380,1 373,2 183,2 336,1 0,0 1,1
259,1 184,1 542,1 367,1 0,0 0,0 0,0 1,1
549,1 544,1 313,1 0,0 0,0 0,0 0,0 1,1
439,2 426,1 380,1 370,3 373,2 183,1 0,0 1,1
549,1 514,1 542,1 311,1 0,0 0,0 0,0 2,2
439,1 367,1 184,1 183,1 0,0 0,0 0,0 2,2
259,1 184,1 379,1 0,0 0,0 0,0 0,0 3,3
259,2 180,3 380,1 297,1 185,2 446,1 378,2 1,1
259,2 184,2 237,2 297,1 426,3 380,1 0,0 1,1
439,1 367,1 370,1 451,1 369,1 0,0 0,0 1,1
259,1 514,1 184,1 367,1 0,0 0,0 0,0 1,1
259,2 188,1 237,2 0,0 0,0 0,0 0,0 1,1
259,2 180,1 380,1 379,1 448,1 183,1 297,1 1,1
439,2 426,3 180,1 367,3 373,2 183,1 380,1 1,1
439,2 367,3 426,1 372,2 0,0 0,0 0,0 1,1
549,1 514,1 542,1 0,0 0,0 0,0 0,0 1,1
439,2 380,1 426,2 180,2 367,3 373,2 183,1 1,1
259,2 370,3 514,3 371,3 0,0 0,0 0,0 1,1
439,2 370,3 380,1 379,1 367,3 336,1 0,0 1,1
189,1 184,1 367,1 369,1 0,0 0,0 0,0 1,1
439,1 370,1 426,1 183,1 373,1 0,0 0,0 1,1
259,1 184,1 180,1 183,1 0,0 0,0 0,0 1,1
439,2 370,3 367,3 380,1 373,2 183,1 0,0 1,1
549,1 514,1 312,1 0,0 0,0 0,0 0,0 6,7
439,2 426,3 180,1 367,3 373,2 183,1 0,0 4,5
439,1 367,1 380,1 370,1 373,1 183,1 0,0 26,34
439,2 370,3 367,3 183,1 373,1 0,0 0,0 9,12
439,2 370,1 373,1 336,1 0,0 0,0 0,0 2,3
439,1 426,1 367,1 180,1 183,1 373,1 0,0 4,6
439,1 367,1 373,1 379,1 426,1 0,0 0,0 2,3
439,1 370,1 426,1 373,1 183,1 0,0 0,0 2,3
189,1 184,1 427,1 183,1 0,0 0,0 0,0 118,206
259,1 184,1 179,1 0,0 0,0 0,0 0,0 4,7
439,1 370,1 367,1 373,1 183,1 0,0 0,0 52,91
439,1 184,1 426,1 183,1 0,0 0,0 0,0 5,9
439,2 370,3 379,1 336,1 367,3 0,0 0,0 26,47
189,1 376,1 378,1 0,0 0,0 0,0 0,0 24,44
439,1 426,1 180,1 367,1 373,1 183,1 0,0 8,15
189,1 380,1 184,1 427,1 183,1 0,0 0,0 20,39
439,2 367,3 380,1 370,1 373,1 183,1 0,0 1,2
189,1 184,1 183,1 427,1 0,0 0,0 0,0 1,2
439,1 373,1 371,1 0,0 0,0 0,0 0,0 1,2
439,2 370,2 367,3 183,1 373,2 0,0 0,0 1,2
439,2 380,1 426,3 180,1 367,3 373,1 183,1 1,2
439,2 373,2 514,3 336,1 0,0 0,0 0,0 1,2
439,1 367,1 373,1 426,1 180,1 183,1 0,0 1,2
439,1 180,1 367,1 373,1 426,1 183,1 0,0 3,6
259,1 370,1 351,1 428,1 378,1 0,0 0,0 2,4
189,1 514,1 184,1 367,1 0,0 0,0 0,0 6,12
439,2 370,3 373,2 336,1 380,1 0,0 0,0 2,4
439,2 370,3 373,2 336,1 0,0 0,0 0,0 18,39
439,2 370,3 367,3 183,1 373,2 0,0 0,0 5,11
189,1 184,1 513,1 0,0 0,0 0,0 0,0 4,10
439,2 367,3 380,1 370,3 373,1 183,1 0,0 2,5
439,2 373,2 379,1 183,1 0,0 0,0 0,0 10,25
439,1 426,1 367,1 379,1 373,1 0,0 0,0 18,48
439,2 373,2 379,1 183,2 0,0 0,0 0,0 1,3
439,1 180,1 367,1 183,1 426,1 373,1 0,0 2,6
439,1 367,1 370,1 373,1 183,1 0,0 0,0 1,3
439,1 180,1 367,1 426,1 183,1 373,1 0,0 1,3
439,1 426,1 180,1 373,1 336,1 0,0 0,0 1,3
439,1 370,1 373,1 542,1 0,0 0,0 0,0 1,3
439,2 368,3 373,2 0,0 0,0 0,0 0,0 1,3
439,1 370,1 367,1 183,1 373,1 0,0 0,0 4,13
189,1 184,1 514,1 367,1 0,0 0,0 0,0 2,7
439,1 373,1 379,1 183,1 0,0 0,0 0,0 5,18
439,1 184,1 542,1 0,0 0,0 0,0 0,0 2,9
549,1 514,1 544,1 0,0 0,0 0,0 0,0 3,15
439,1 368,1 373,1 0,0 0,0 0,0 0,0 1,6
549,1 544,1 542,1 0,0 0,0 0,0 0,0 1,6
549,1 514,1 542,1 451,1 0,0 0,0 0,0 2,12
439,1 370,1 373,1 336,1 0,0 0,0 0,0 1,6
439,1 370,1 379,1 336,1 367,1 0,0 0,0 2,18
439,1 367,1 373,1 183,1 351,1 0,0 0,0 0,3
439,1 375,1 542,1 0,0 0,0 0,0 0,0 0,4
439,1 190,1 514,1 0,0 0,0 0,0 0,0 0,2
439,2 428,1 427,1 183,1 378,1 367,3 0,0 0,1
439,2 370,3 373,2 542,1 0,0 0,0 0,0 0,1
439,1 375,1 514,1 0,0 0,0 0,0 0,0 0,2
439,1 180,1 373,1 427,1 183,1 0,0 0,0 0,1
439,1 181,1 543,1 0,0 0,0 0,0 0,0 0,1
439,1 370,1 373,1 183,1 367,1 0,0 0,0 0,1
549,2 514,2 542,1 451,1 0,0 0,0 0,0 0,1
439,1 184,1 514,1 0,0 0,0 0,0 0,0 0,2
439,2 375,2 542,1 0,0 0,0 0,0 0,0 0,1
439,1 426,1 180,1 367,1 183,1 373,1 0,0 0,1
439,2 367,3 370,3 451,3 369,2 0,0 0,0 0,1
549,1 368,1 367,1 427,1 0,0 0,0 0,0 0,1
439,2 380,1 180,1 448,1 371,3 0,0 0,0 0,1
189,1 367,1 375,1 514,1 0,0 0,0 0,0 0,1
439,2 367,2 370,3 451,3 369,3 380,1 0,0 0,1
439,2 367,3 451,3 370,3 369,2 0,0 0,0 0,1
439,1 367,1 426,1 513,1 427,1 514,1 0,0 0,1
189,2 184,2 427,2 183,2 0,0 0,0 0,0 0,1
439,2 180,1 426,3 380,1 336,1 379,1 367,3 0,2
439,2 368,3 373,1 0,0 0,0 0,0 0,0 0,2
259,1 184,1 446,1 0,0 0,0 0,0 0,0 0,1
549,1 514,1 0,0 0,0 0,0 0,0 0,0 0,1
549,2 544,3 542,1 0,0 0,0 0,0 0,0 0,1
549,2 544,2 542,1 0,0 0,0 0,0 0,0 0,1
549,2 544,1 542,1 0,0 0,0 0,0 0,0 0,2
189,1 192,1 0,0 0,0 0,0 0,0 0,0 0,1
189,1 184,1 179,1 0,0 0,0 0,0 0,0 0,1
439,2 370,3 513,1 428,2 0,0 0,0 0,0 0,1
439,1 180,1 367,1 426,1 373,1 183,1 0,0 0,1
439,2 367,3 370,3 451,3 369,3 0,0 0,0 0,1
439,2 373,2 514,1 336,1 0,0 0,0 0,0 0,1
439,1 373,1 371,1 380,1 0,0 0,0 0,0 0,1
509,1 180,1 380,1 368,3 367,3 0,0 0,0 0,1
549,1 425,1 0,0 0,0 0,0 0,0 0,0 0,1
259,1 184,1 514,1 367,1 0,0 0,0 0,0 0,1
439,1 370,1 542,1 373,1 0,0 0,0 0,0 0,2
439,1 184,1 183,1 367,1 0,0 0,0 0,0 0,1
439,2 370,3 380,1 379,1 336,1 367,3 0,0 0,1
439,1 184,1 367,1 183,1 0,0 0,0 0,0 0,1
439,2 451,1 367,3 370,3 369,3 380,1 0,0 0,1
439,1 367,1 544,1 193,1 0,0 0,0 0,0 0,1
439,1 426,1 188,1 0,0 0,0 0,0 0,0 0,1
439,1 466,1 371,1 0,0 0,0 0,0 0,0 0,1
439,2 367,3 373,1 378,2 336,1 380,1 0,0 0,1
439,1 370,1 451,1 367,1 369,1 0,0 0,0 0,1
439,2 180,3 183,1 380,1 379,1 336,1 0,0 0,1
549,2 514,3 544,2 0,0 0,0 0,0 0,0 0,1
439,1 367,1 370,1 183,1 373,1 0,0 0,0 0,1
439,2 370,3 380,1 378,2 379,1 183,1 0,0 0,1
439,2 380,1 426,1 448,1 379,1 336,1 0,0 0,1
439,2 367,1 380,1 370,1 373,1 183,1 0,0 0,1
439,2 367,3 370,3 451,3 369,3 380,1 0,0 0,1
549,1 370,1 312,1 0,0 0,0 0,0 0,0 0,1
439,2 370,1 373,2 336,1 0,0 0,0 0,0 0,1
549,1 515,1 185,1 0,0 0,0 0,0 0,0 0,1
439,1 426,1 380,1 370,1 373,1 183,1 0,0 0,1
439,1 376,1 367,1 0,0 0,0 0,0 0,0 0,1
189,1 376,1 380,1 378,1 0,0 0,0 0,0 0,1
439,2 426,3 380,1 367,3 448,1 379,1 183,1 0,1
439,1 426,1 380,1 180,1 367,1 373,1 183,1 0,1
439,1 370,1 367,1 451,1 369,1 0,0 0,0 0,1
439,2 380,1 370,3 448,1 183,1 336,1 0,0 0,1
439,1 544,1 367,1 426,1 185,1 0,0 0,0 0,1
189,1 426,1 0,0 0,0 0,0 0,0 0,0 0,2
439,2 426,3 380,1 370,3 373,2 183,1 0,0 0,1
439,2 380,1 426,1 367,1 379,1 373,1 0,0 0,1
439,1 370,1 514,1 373,1 0,0 0,0 0,0 0,1
549,1 367,1 0,0 0,0 0,0 0,0 0,0 0,1
189,1 349,1 451,1 0,0 0,0 0,0 0,0 0,1
439,2 370,1 380,1 379,1 367,3 336,1 0,0 0,1
259,1 542,1 372,1 0,0 0,0 0,0 0,0 0,1
