554,1 361,2 366,1 524,1 477,2 341,2 357,3 1,1
552,1 444,1 448,1 426,1 429,1 430,1 542,1 1,1
291,1 443,1 516,1 385,3 490,3 237,1 169,1 1,1
442,1 391,1 443,1 385,3 387,2 337,3 457,2 2,2
442,1 521,3 385,3 287,1 457,2 351,2 546,2 1,1
224,1 542,1 533,1 344,1 345,1 417,1 409,1 1,1
262,2 542,2 533,3 345,2 415,2 344,2 411,3 1,1
552,1 348,1 493,1 358,1 359,1 457,1 542,1 1,1
442,1 428,1 436,1 457,2 387,1 385,2 382,2 1,1
552,1 515,1 514,1 542,1 543,1 311,1 544,1 1,1
552,2 515,3 428,1 457,1 351,2 312,1 512,1 1,1
224,1 542,1 344,1 345,1 409,1 411,1 349,1 1,1
554,1 542,2 436,1 393,1 387,2 385,3 175,2 1,1
552,1 533,1 436,1 345,1 320,1 422,1 0,0 1,1
552,2 339,1 546,1 287,1 385,3 306,1 346,2 1,1
224,1 343,1 345,1 544,1 0,0 0,0 0,0 1,2
552,1 343,1 345,1 344,1 349,1 0,0 0,0 1,2
552,1 533,1 0,0 0,0 0,0 0,0 0,0 1,2
224,1 542,1 533,1 345,1 344,1 417,1 409,1 2,4
224,1 542,1 533,1 345,1 344,1 415,1 411,1 3,9
224,1 542,1 533,1 345,1 344,1 417,1 546,1 1,5
262,2 436,1 450,1 351,2 429,1 280,1 394,1 0,1
224,1 348,1 346,1 426,1 350,1 338,1 452,1 0,9
262,2 436,1 243,1 351,2 429,2 242,3 422,1 0,1
262,2 188,1 377,1 351,2 429,2 276,1 457,2 0,1
224,1 533,1 542,1 344,1 345,1 417,1 409,1 0,1
224,1 348,1 346,1 426,1 350,1 543,1 338,1 0,2
503,1 348,1 366,1 555,1 360,1 445,1 361,1 0,1
552,1 332,1 346,1 351,1 350,1 461,1 457,1 0,1
552,2 436,1 346,2 351,1 429,1 406,1 457,2 0,1
442,1 348,2 339,1 385,1 387,1 351,2 346,2 0,1
442,1 339,1 459,2 385,3 390,2 382,3 394,1 0,1
224,1 348,1 346,1 426,1 350,1 543,1 344,1 0,2
552,2 436,1 462,1 351,2 429,1 280,1 457,2 0,1
224,2 348,2 346,2 351,2 429,1 242,1 457,2 0,1
224,1 533,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 348,1 346,1 426,1 350,1 533,1 424,1 0,1
262,2 255,1 346,2 351,2 429,2 242,3 426,3 0,1
442,1 348,1 450,1 359,2 350,1 426,3 366,1 0,1
552,2 541,1 513,2 514,3 543,3 542,1 544,3 0,1
224,1 348,1 346,1 426,1 350,1 519,1 338,1 0,1
552,2 348,2 362,1 359,2 429,2 273,1 457,2 0,1
224,1 348,1 357,1 458,1 525,1 358,1 361,1 0,1
442,1 339,1 387,1 385,1 242,1 517,1 0,0 0,1
262,1 348,1 339,1 390,1 0,0 0,0 0,0 0,1
262,1 348,1 345,1 485,1 415,1 344,1 409,1 0,1
554,1 542,2 436,1 339,1 387,2 393,1 555,3 0,1
442,1 542,2 533,3 344,2 457,2 417,1 415,1 0,1
442,1 348,2 450,1 514,3 457,2 542,2 426,1 0,1
291,1 361,1 347,2 458,2 202,1 366,1 348,2 0,1
552,1 533,1 347,1 411,1 345,1 351,1 346,1 0,1
503,1 492,1 366,1 458,1 504,1 424,2 0,0 0,1
442,1 413,1 409,3 489,1 344,2 411,3 351,2 0,1
442,1 361,1 436,1 360,1 359,1 358,1 192,1 0,1
442,1 388,1 339,1 385,3 387,2 0,0 0,0 0,1
224,1 367,1 0,0 0,0 0,0 0,0 0,0 0,3
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,2
291,1 542,1 436,1 158,3 490,3 203,1 423,1 0,1
552,1 515,1 514,1 542,1 543,1 0,0 0,0 0,2
224,1 533,1 543,1 532,1 531,1 0,0 0,0 0,1
