239,1 413,3 425,3 428,2 455,2 0,0 0,0 1,1
156,2 413,3 409,2 351,1 414,2 411,3 425,2 1,1
551,1 533,1 321,1 409,1 0,0 0,0 0,0 5,5
441,2 428,2 488,2 414,2 485,3 0,0 0,0 1,1
156,2 413,1 414,1 425,1 411,2 146,1 0,0 1,1
156,2 533,3 409,3 411,3 414,2 425,3 0,0 1,1
441,1 533,1 409,1 351,1 544,1 0,0 0,0 1,1
156,2 413,3 409,3 351,1 414,1 411,3 425,3 2,2
463,1 444,1 409,3 411,3 414,2 351,2 422,1 3,3
441,2 422,1 413,3 351,2 411,2 414,2 425,3 1,1
156,2 413,3 425,2 351,2 414,2 411,3 409,3 1,1
156,2 413,3 425,2 409,3 351,2 411,3 414,2 1,1
441,2 444,1 455,2 411,3 414,2 351,2 409,3 1,1
463,1 444,1 411,3 413,3 0,0 0,0 0,0 1,1
156,2 413,3 409,1 351,1 414,1 411,2 425,3 1,1
156,2 413,3 414,1 425,1 411,1 146,1 0,0 1,1
441,2 413,3 410,3 412,3 455,2 351,1 411,3 1,1
551,2 533,2 544,2 318,1 0,0 0,0 0,0 1,1
156,1 413,1 411,1 191,1 414,1 425,1 409,1 1,2
441,2 413,3 425,3 351,1 414,2 411,3 409,3 3,6
463,1 413,3 411,3 485,1 351,2 422,1 414,2 1,2
156,2 413,2 409,3 351,1 414,2 411,3 425,2 1,2
156,1 533,1 425,1 411,1 409,1 351,1 0,0 37,77
156,1 533,1 409,1 425,1 414,1 411,1 0,0 26,55
156,1 533,1 425,1 411,1 409,1 414,1 0,0 57,128
156,1 533,1 151,1 425,1 409,1 0,0 0,0 2,5
156,1 533,1 409,1 411,1 414,1 425,1 0,0 34,85
156,1 533,1 425,1 411,1 414,1 409,1 0,0 19,51
156,1 413,1 151,1 146,1 411,1 414,1 409,1 1,3
441,2 413,3 425,3 351,2 414,2 411,3 409,3 1,3
156,1 533,1 455,1 411,1 414,1 425,1 0,0 6,18
551,1 533,1 425,1 414,1 409,1 0,0 0,0 4,12
551,2 533,2 544,1 409,1 414,1 0,0 0,0 1,3
441,1 533,1 409,1 414,1 410,1 544,1 0,0 2,7
156,1 533,1 411,1 414,1 425,1 409,1 0,0 1,5
441,1 409,1 544,1 411,1 455,1 349,1 0,0 1,6
156,1 413,1 411,1 351,1 414,1 425,1 409,1 1,6
551,1 533,1 544,1 409,1 0,0 0,0 0,0 1,7
156,1 413,1 425,1 351,1 414,1 411,1 409,1 1,10
156,1 413,1 409,1 351,1 414,1 411,1 425,1 2,23
551,1 533,1 544,1 409,1 414,1 0,0 0,0 1,16
156,1 533,1 152,1 414,1 411,1 0,0 0,0 0,1
441,1 413,1 425,1 0,0 0,0 0,0 0,0 0,1
441,2 413,3 351,2 411,3 414,2 425,2 422,1 0,2
551,2 533,3 425,1 414,1 409,1 0,0 0,0 0,1
156,2 413,3 409,3 351,2 414,1 411,3 425,3 0,1
156,1 544,1 425,1 410,1 0,0 0,0 0,0 0,1
441,1 409,1 412,1 533,1 147,1 146,1 0,0 0,2
441,1 152,1 147,1 409,1 533,1 0,0 0,0 0,1
441,2 413,3 414,2 425,1 411,3 351,2 409,3 0,1
441,2 413,3 425,3 409,3 351,2 411,3 414,2 0,2
156,1 422,1 413,1 411,1 414,1 425,1 146,1 0,1
441,2 413,3 351,2 411,3 414,2 425,1 422,1 0,1
441,1 532,1 190,1 410,1 411,1 0,0 0,0 0,1
441,1 455,1 410,1 413,1 412,1 414,1 411,1 0,1
441,1 533,1 425,1 191,1 411,1 0,0 0,0 0,1
441,1 152,1 425,1 409,1 151,1 0,0 0,0 0,1
156,1 410,1 544,1 425,1 0,0 0,0 0,0 0,1
441,2 533,1 425,3 413,3 0,0 0,0 0,0 0,1
156,1 532,1 414,1 193,1 191,1 409,1 0,0 0,1
441,2 409,3 413,3 425,3 411,3 351,2 414,2 0,1
441,2 413,3 351,2 411,3 414,2 425,3 422,1 0,3
261,2 413,3 147,3 414,1 146,3 351,1 411,3 0,1
463,1 413,3 411,3 485,3 351,2 422,1 414,2 0,1
156,2 413,3 414,2 425,2 411,3 146,2 0,0 0,1
441,1 533,1 147,1 409,1 412,1 146,1 0,0 0,1
441,2 413,3 242,1 351,2 428,2 0,0 0,0 0,1
441,1 413,1 462,1 414,1 411,1 351,1 544,1 0,1
156,1 191,1 413,1 544,1 414,1 0,0 0,0 0,1
441,1 409,1 413,1 412,1 190,1 414,1 0,0 0,1
441,1 533,1 409,1 147,1 191,1 193,1 0,0 0,1
441,1 413,1 409,1 414,1 351,1 425,1 411,1 0,4
156,1 413,1 414,1 425,1 411,1 146,1 0,0 0,4
441,2 413,3 412,3 242,1 409,3 411,3 0,0 0,1
156,1 425,1 152,1 411,1 414,1 351,1 0,0 0,2
441,1 413,1 425,1 351,1 414,1 411,1 409,1 0,1
441,2 413,3 410,3 412,3 455,2 411,3 414,2 0,1
156,1 413,1 414,1 411,1 351,1 455,1 0,0 0,1
441,1 413,1 414,1 425,1 411,1 351,1 409,1 0,1
441,2 413,3 410,3 412,3 455,2 414,2 411,3 0,1
551,1 533,1 544,1 0,0 0,0 0,0 0,0 0,1
156,2 413,2 414,2 425,3 411,3 146,1 0,0 0,1
156,1 455,1 410,1 412,1 414,1 351,1 411,1 0,1
156,1 508,1 151,1 414,1 411,1 0,0 0,0 0,1
441,2 422,1 409,3 444,1 413,3 0,0 0,0 0,1
551,2 533,2 544,2 409,1 414,1 0,0 0,0 0,1
441,2 413,3 414,2 425,2 411,3 351,2 409,3 0,1
441,2 413,3 409,3 414,2 351,1 425,3 411,3 0,2
156,2 413,3 414,1 425,2 411,3 146,2 0,0 0,1
441,2 413,3 410,3 455,2 412,3 414,2 411,3 0,1
441,2 533,2 151,1 411,3 428,2 422,1 0,0 0,1
156,2 413,3 409,1 351,2 414,1 411,3 425,3 0,1
441,2 413,3 351,2 411,3 414,2 425,3 0,0 0,1
441,2 444,1 409,3 411,3 351,2 428,2 422,1 0,1
441,1 409,1 0,0 0,0 0,0 0,0 0,0 0,2
156,1 413,1 151,1 414,1 409,1 146,1 411,1 0,2
441,1 412,1 428,1 425,1 191,1 414,1 411,1 0,2
441,1 152,1 409,1 147,1 410,1 146,1 0,0 0,1
551,1 533,1 409,1 425,1 414,1 0,0 0,0 0,1
551,1 533,1 318,1 411,1 351,1 0,0 0,0 0,1
156,1 533,1 411,1 425,1 351,1 409,1 0,0 0,1
