261,2 409,3 422,1 455,2 277,1 276,2 414,2 1,1
261,2 343,3 422,1 153,2 420,1 277,1 0,0 1,1
156,2 343,3 411,3 344,1 422,1 0,0 0,0 1,1
156,1 343,1 448,1 344,1 0,0 0,0 0,0 1,1
156,2 343,1 411,2 344,1 422,1 0,0 0,0 1,1
156,1 343,1 422,1 414,1 411,1 420,1 0,0 1,1
261,2 409,3 343,3 411,3 277,1 414,2 422,1 1,1
156,2 343,3 411,1 344,2 422,1 0,0 0,0 1,1
156,2 343,3 411,3 344,2 422,1 0,0 0,0 1,1
261,2 412,1 411,3 351,2 0,0 0,0 0,0 1,1
441,2 413,3 427,2 422,1 0,0 0,0 0,0 1,1
261,1 343,1 411,1 344,1 0,0 0,0 0,0 1,1
441,2 343,3 417,2 422,1 0,0 0,0 0,0 1,1
441,2 409,3 455,2 411,3 414,2 422,1 0,0 1,1
441,2 343,3 427,1 344,2 422,1 0,0 0,0 1,1
261,2 422,1 455,2 411,3 351,2 277,1 0,0 1,1
261,1 412,1 409,1 414,1 411,1 0,0 0,0 1,1
156,2 343,1 411,3 344,2 422,1 0,0 0,0 1,1
261,1 409,1 426,1 420,1 411,1 414,1 0,0 71,78
441,2 343,3 427,2 344,2 422,1 0,0 0,0 4,5
156,1 409,1 343,1 344,1 414,1 0,0 0,0 18,25
441,1 455,1 343,1 344,1 0,0 0,0 0,0 5,7
156,2 343,3 411,3 344,2 0,0 0,0 0,0 2,3
441,2 422,1 343,3 427,2 344,2 0,0 0,0 2,3
156,1 343,1 411,1 344,1 422,1 0,0 0,0 41,66
156,1 413,1 411,1 0,0 0,0 0,0 0,0 7,12
156,1 409,1 420,1 415,1 414,1 0,0 0,0 22,38
441,2 409,3 455,2 411,3 414,2 0,0 0,0 8,14
156,1 409,1 414,1 415,1 420,1 0,0 0,0 29,51
156,1 343,1 426,1 409,1 411,1 414,1 0,0 5,9
156,1 343,1 411,1 426,1 414,1 409,1 0,0 16,29
156,1 343,1 409,1 411,1 351,1 0,0 0,0 9,17
441,2 343,3 414,2 344,2 0,0 0,0 0,0 22,43
156,1 409,1 150,1 411,1 414,1 0,0 0,0 23,46
156,1 409,1 414,1 411,1 351,1 0,0 0,0 1,2
441,2 343,2 414,2 344,2 0,0 0,0 0,0 1,2
441,1 412,1 344,1 409,1 0,0 0,0 0,0 5,10
441,2 343,3 414,1 344,2 0,0 0,0 0,0 22,44
156,2 343,3 411,3 344,1 0,0 0,0 0,0 1,2
441,2 343,3 414,2 344,1 0,0 0,0 0,0 2,4
441,2 413,3 427,1 0,0 0,0 0,0 0,0 4,8
441,1 409,1 413,1 426,1 0,0 0,0 0,0 1,2
156,1 409,1 426,1 414,1 411,1 149,1 0,0 2,4
156,1 409,1 412,1 414,1 411,1 0,0 0,0 1,2
156,1 409,1 411,1 344,1 426,1 0,0 0,0 34,71
156,1 409,1 426,1 420,1 414,1 411,1 0,0 19,40
156,1 343,1 344,1 411,1 0,0 0,0 0,0 33,72
156,1 409,1 343,1 411,1 351,1 0,0 0,0 5,11
156,1 412,1 409,1 411,1 414,1 0,0 0,0 15,33
156,1 343,1 409,1 414,1 411,1 426,1 0,0 9,20
156,1 533,1 0,0 0,0 0,0 0,0 0,0 4,9
156,1 343,1 411,1 344,1 0,0 0,0 0,0 19,43
156,1 343,1 409,1 344,1 414,1 0,0 0,0 3,7
156,1 409,1 412,1 411,1 414,1 0,0 0,0 5,12
156,1 344,1 411,1 343,1 0,0 0,0 0,0 10,26
156,1 343,1 409,1 414,1 344,1 0,0 0,0 1,3
156,1 412,1 414,1 411,1 409,1 0,0 0,0 5,15
156,1 542,1 413,1 0,0 0,0 0,0 0,0 1,3
441,1 413,1 343,1 0,0 0,0 0,0 0,0 1,3
156,1 409,1 426,1 411,1 414,1 427,1 0,0 1,3
441,2 428,2 344,2 0,0 0,0 0,0 0,0 3,9
156,1 409,1 412,1 411,1 414,1 422,1 0,0 1,3
441,2 412,3 411,3 409,3 426,3 0,0 0,0 1,3
156,1 343,1 422,1 411,1 420,1 414,1 0,0 1,3
441,1 428,1 344,1 0,0 0,0 0,0 0,0 3,16
441,1 532,1 409,1 0,0 0,0 0,0 0,0 1,7
156,1 412,1 411,1 409,1 414,1 0,0 0,0 0,1
441,1 409,1 544,1 426,1 0,0 0,0 0,0 0,1
156,1 343,1 409,1 411,1 426,1 414,1 0,0 0,1
441,1 532,1 426,1 0,0 0,0 0,0 0,0 0,3
