259,2 380,1 180,3 297,1 272,3 276,2 378,2 1,1
439,2 367,3 380,1 373,1 336,1 0,0 0,0 1,1
439,2 370,3 430,1 0,0 0,0 0,0 0,0 1,1
439,2 370,3 426,1 373,2 0,0 0,0 0,0 1,1
439,2 180,1 380,1 183,1 373,1 0,0 0,0 1,1
439,2 367,3 451,3 373,2 0,0 0,0 0,0 1,1
259,2 188,1 380,1 0,0 0,0 0,0 0,0 2,2
259,1 180,1 184,1 380,1 0,0 0,0 0,0 3,3
439,1 380,1 180,1 183,1 373,1 0,0 0,0 1,1
439,1 380,1 373,1 379,1 0,0 0,0 0,0 1,1
439,2 367,3 380,1 379,1 448,1 426,3 0,0 1,1
439,1 183,1 379,1 336,1 0,0 0,0 0,0 1,1
439,2 380,1 367,3 426,3 448,1 379,1 0,0 2,2
259,1 184,1 237,1 0,0 0,0 0,0 0,0 1,1
439,2 370,3 426,3 373,2 0,0 0,0 0,0 1,1
439,1 368,1 514,1 0,0 0,0 0,0 0,0 1,1
259,2 380,1 180,3 297,1 378,2 276,2 237,2 2,2
259,1 180,1 426,1 183,1 427,1 185,1 0,0 1,1
439,2 180,1 380,1 426,3 367,3 183,1 448,1 1,1
439,2 426,1 180,1 379,1 183,1 0,0 0,0 1,1
259,1 370,1 426,1 371,1 0,0 0,0 0,0 1,1
439,2 380,1 180,1 183,2 373,2 0,0 0,0 1,1
439,2 426,2 367,3 183,1 373,1 0,0 0,0 1,1
439,2 180,3 367,3 183,1 379,1 0,0 0,0 4,4
439,2 180,3 367,3 183,2 379,1 0,0 0,0 9,9
439,2 370,3 367,3 183,1 380,1 336,1 0,0 1,1
259,1 188,1 0,0 0,0 0,0 0,0 0,0 1,1
509,1 370,3 380,1 379,1 0,0 0,0 0,0 1,1
259,2 180,3 371,3 237,2 380,1 0,0 0,0 1,1
439,1 544,1 426,1 180,1 0,0 0,0 0,0 1,1
549,1 514,1 542,1 313,1 0,0 0,0 0,0 1,1
259,1 180,1 184,1 0,0 0,0 0,0 0,0 1,1
259,2 380,1 199,1 0,0 0,0 0,0 0,0 1,1
439,2 370,3 367,3 373,2 0,0 0,0 0,0 1,1
189,2 376,1 0,0 0,0 0,0 0,0 0,0 1,1
259,1 334,1 351,1 380,1 0,0 0,0 0,0 1,1
259,2 376,1 0,0 0,0 0,0 0,0 0,0 1,1
259,2 380,1 367,3 180,3 272,1 276,1 237,1 1,1
439,2 180,3 373,2 183,1 0,0 0,0 0,0 1,1
259,1 184,1 180,1 0,0 0,0 0,0 0,0 13,14
439,2 370,3 371,3 380,1 0,0 0,0 0,0 5,6
439,2 370,3 380,1 448,1 336,1 0,0 0,0 7,9
439,1 180,1 183,1 373,1 0,0 0,0 0,0 3,4
439,2 426,1 180,3 379,1 183,1 0,0 0,0 3,4
439,2 426,1 180,3 379,1 183,2 0,0 0,0 3,4
439,2 180,1 367,3 371,3 0,0 0,0 0,0 5,7
259,1 380,1 184,1 180,1 0,0 0,0 0,0 15,21
439,1 380,1 180,1 373,1 183,1 0,0 0,0 22,32
439,2 380,1 367,3 373,2 448,1 0,0 0,0 2,3
439,1 180,1 380,1 373,1 183,1 0,0 0,0 12,18
189,1 184,1 180,1 0,0 0,0 0,0 0,0 15,24
439,2 180,1 373,1 183,1 0,0 0,0 0,0 5,8
189,1 184,1 378,1 0,0 0,0 0,0 0,0 47,77
439,1 180,1 380,1 183,1 373,1 0,0 0,0 6,10
439,1 181,1 373,1 0,0 0,0 0,0 0,0 3,5
439,2 370,3 371,3 0,0 0,0 0,0 0,0 3,5
439,2 367,3 373,2 336,1 0,0 0,0 0,0 10,17
439,2 180,1 373,2 183,1 0,0 0,0 0,0 7,12
189,1 184,1 427,1 0,0 0,0 0,0 0,0 118,205
189,1 376,1 0,0 0,0 0,0 0,0 0,0 8,14
439,1 180,1 373,1 183,1 0,0 0,0 0,0 8,16
189,1 349,1 451,1 0,0 0,0 0,0 0,0 1,2
439,1 451,1 367,1 373,1 0,0 0,0 0,0 1,2
439,2 180,1 380,1 183,1 373,2 0,0 0,0 1,2
439,2 380,1 180,3 336,1 379,1 0,0 0,0 1,2
189,1 368,1 180,1 427,1 0,0 0,0 0,0 1,2
439,1 370,1 514,1 336,1 0,0 0,0 0,0 1,2
439,2 370,3 514,3 336,1 0,0 0,0 0,0 1,2
439,2 367,3 373,1 336,1 0,0 0,0 0,0 1,2
189,1 184,1 183,1 0,0 0,0 0,0 0,0 7,14
439,2 380,1 180,1 373,1 183,1 0,0 0,0 4,9
439,1 367,1 180,1 371,1 0,0 0,0 0,0 7,16
439,1 426,1 180,1 379,1 183,1 0,0 0,0 15,39
439,1 375,1 367,1 0,0 0,0 0,0 0,0 3,8
439,1 367,1 184,1 0,0 0,0 0,0 0,0 1,3
439,1 184,1 426,1 0,0 0,0 0,0 0,0 1,3
439,2 180,1 379,1 336,1 0,0 0,0 0,0 8,24
439,1 367,1 514,1 373,1 0,0 0,0 0,0 3,9
439,1 426,1 367,1 183,1 373,1 0,0 0,0 1,3
439,2 367,3 380,1 379,1 448,1 426,1 0,0 1,3
439,1 426,1 370,1 373,1 0,0 0,0 0,0 3,10
439,1 180,1 379,1 336,1 0,0 0,0 0,0 6,21
439,1 370,1 426,1 373,1 0,0 0,0 0,0 3,11
439,2 380,1 180,1 373,2 183,1 0,0 0,0 1,4
439,1 426,1 373,1 183,1 367,1 0,0 0,0 1,4
439,1 367,1 180,1 426,1 373,1 0,0 0,0 1,5
439,1 370,1 367,1 373,1 0,0 0,0 0,0 1,5
439,1 514,1 371,1 0,0 0,0 0,0 0,0 2,13
439,1 367,1 373,1 336,1 0,0 0,0 0,0 1,7
439,1 426,1 367,1 373,1 183,1 0,0 0,0 0,1
439,1 368,1 180,1 426,1 0,0 0,0 0,0 0,2
439,1 181,1 195,1 0,0 0,0 0,0 0,0 0,2
439,1 370,1 371,1 0,0 0,0 0,0 0,0 0,2
439,1 367,1 369,1 335,1 0,0 0,0 0,0 0,1
439,1 368,1 426,1 427,1 0,0 0,0 0,0 0,2
439,1 515,1 191,1 0,0 0,0 0,0 0,0 0,3
549,2 541,1 514,3 0,0 0,0 0,0 0,0 0,1
439,1 367,1 370,1 373,1 0,0 0,0 0,0 0,1
278,1 367,3 428,2 0,0 0,0 0,0 0,0 0,1
439,2 380,1 373,2 379,1 0,0 0,0 0,0 0,1
439,1 180,1 426,1 371,1 0,0 0,0 0,0 0,1
189,1 349,1 424,1 0,0 0,0 0,0 0,0 0,1
439,1 368,1 542,1 0,0 0,0 0,0 0,0 0,3
549,1 367,1 312,1 0,0 0,0 0,0 0,0 0,1
439,1 368,1 426,1 183,1 0,0 0,0 0,0 0,1
439,2 370,3 367,3 183,2 380,1 336,1 0,0 0,2
439,1 367,1 190,1 0,0 0,0 0,0 0,0 0,2
439,2 367,3 370,3 373,2 0,0 0,0 0,0 0,2
439,2 180,1 373,2 427,2 0,0 0,0 0,0 0,1
189,1 184,1 367,1 426,1 0,0 0,0 0,0 0,1
439,1 367,1 369,1 373,1 0,0 0,0 0,0 0,3
439,1 180,1 367,1 371,1 0,0 0,0 0,0 0,1
439,2 183,1 379,1 336,1 0,0 0,0 0,0 0,2
189,1 368,1 179,1 0,0 0,0 0,0 0,0 0,1
439,2 367,3 370,3 456,1 380,1 0,0 0,0 0,1
439,1 367,1 373,1 183,1 0,0 0,0 0,0 0,1
439,2 380,1 448,1 371,3 0,0 0,0 0,0 0,1
439,1 515,1 424,1 0,0 0,0 0,0 0,0 0,1
439,2 367,3 336,1 335,1 0,0 0,0 0,0 0,1
439,1 181,1 180,1 514,1 0,0 0,0 0,0 0,2
439,2 367,3 373,2 448,1 0,0 0,0 0,0 0,1
439,2 380,1 426,3 367,3 379,1 336,1 0,0 0,1
439,2 370,1 514,1 336,1 0,0 0,0 0,0 0,1
439,2 367,3 369,3 373,2 0,0 0,0 0,0 0,1
439,1 367,1 179,1 426,1 424,1 0,0 0,0 0,1
439,2 367,3 448,1 373,2 0,0 0,0 0,0 0,1
439,1 514,1 373,1 367,1 0,0 0,0 0,0 0,1
189,1 349,1 351,1 380,1 0,0 0,0 0,0 0,1
439,2 451,3 367,3 373,1 380,1 0,0 0,0 0,1
259,2 367,3 180,1 426,3 183,1 272,1 427,2 0,1
439,1 375,1 426,1 0,0 0,0 0,0 0,0 0,2
439,2 367,3 380,1 180,1 183,1 379,1 0,0 0,1
439,1 190,1 426,1 0,0 0,0 0,0 0,0 0,3
439,2 371,3 514,1 0,0 0,0 0,0 0,0 0,1
439,2 373,2 513,2 0,0 0,0 0,0 0,0 0,1
439,1 380,1 379,1 373,1 0,0 0,0 0,0 0,1
439,1 367,1 375,1 0,0 0,0 0,0 0,0 0,1
439,1 184,1 367,1 0,0 0,0 0,0 0,0 0,1
439,2 451,3 367,3 373,2 380,1 0,0 0,0 0,1
439,2 349,3 380,1 351,2 0,0 0,0 0,0 0,1
439,2 184,1 367,3 380,1 0,0 0,0 0,0 0,1
439,2 428,1 373,2 0,0 0,0 0,0 0,0 0,1
439,1 370,1 380,1 183,1 379,1 0,0 0,0 0,1
439,1 367,1 183,1 373,1 426,1 0,0 0,0 0,2
439,1 515,1 426,1 183,1 0,0 0,0 0,0 0,1
189,1 426,1 0,0 0,0 0,0 0,0 0,0 0,2
189,1 515,1 451,1 0,0 0,0 0,0 0,0 0,2
439,1 544,1 180,1 426,1 0,0 0,0 0,0 0,1
439,2 370,3 426,1 373,2 380,1 0,0 0,0 0,1
259,1 184,1 183,1 0,0 0,0 0,0 0,0 0,1
549,2 515,3 0,0 0,0 0,0 0,0 0,0 0,1
549,1 515,1 0,0 0,0 0,0 0,0 0,0 0,2
189,1 427,1 184,1 0,0 0,0 0,0 0,0 0,1
439,1 180,1 367,1 336,1 183,1 0,0 0,0 0,1
439,2 380,1 183,1 371,3 0,0 0,0 0,0 0,1
