291,1 436,1 493,1 345,2 418,1 153,1 0,0 1,1
442,1 339,1 390,1 519,2 429,2 0,0 0,0 1,1
291,1 436,1 341,2 359,2 448,1 352,1 256,1 1,1
552,1 194,1 486,1 415,1 448,1 429,1 0,0 1,1
552,2 429,1 436,1 194,1 430,1 0,0 0,0 1,1
291,1 492,1 448,1 429,2 292,2 0,0 0,0 1,1
503,1 483,1 496,1 402,1 429,1 0,0 0,0 1,1
442,1 345,2 430,1 429,1 448,1 415,1 352,1 1,1
442,1 339,1 250,1 519,1 338,2 0,0 0,0 1,1
291,1 339,1 430,1 519,1 175,1 0,0 0,0 1,1
552,1 339,1 0,0 0,0 0,0 0,0 0,0 1,1
442,1 436,1 483,1 430,1 406,1 402,2 0,0 1,1
224,1 339,1 0,0 0,0 0,0 0,0 0,0 1,1
442,1 436,1 371,3 433,1 379,1 0,0 0,0 1,1
442,1 436,1 371,3 433,1 336,1 0,0 0,0 1,1
552,1 529,1 415,1 0,0 0,0 0,0 0,0 5,9
224,1 429,1 433,1 194,1 0,0 0,0 0,0 20,38
224,1 519,1 0,0 0,0 0,0 0,0 0,0 3,6
224,1 429,1 194,1 415,1 0,0 0,0 0,0 5,12
224,1 141,1 0,0 0,0 0,0 0,0 0,0 4,14
224,1 429,1 194,1 402,1 0,0 0,0 0,0 2,7
552,2 529,1 415,1 0,0 0,0 0,0 0,0 1,4
224,1 429,1 194,1 389,1 172,1 0,0 0,0 1,4
224,1 345,1 0,0 0,0 0,0 0,0 0,0 2,11
291,1 436,1 371,3 513,2 429,2 379,1 448,1 0,1
224,1 373,1 513,1 372,1 371,1 0,0 0,0 0,2
552,1 415,1 345,1 194,1 429,1 0,0 0,0 0,1
224,1 429,1 0,0 0,0 0,0 0,0 0,0 0,4
552,1 345,1 415,1 194,1 429,1 0,0 0,0 0,1
442,1 492,1 493,1 362,2 0,0 0,0 0,0 0,1
552,2 339,1 430,1 519,1 329,1 0,0 0,0 0,1
552,1 433,1 345,1 415,1 0,0 0,0 0,0 0,1
442,1 492,1 436,1 373,1 379,1 0,0 0,0 0,1
224,1 373,1 513,1 372,1 371,1 183,1 0,0 0,1
552,1 535,1 0,0 0,0 0,0 0,0 0,0 0,1
291,1 492,1 436,1 289,2 0,0 0,0 0,0 0,1
442,1 372,1 371,1 373,1 429,1 0,0 0,0 0,1
442,1 436,1 430,2 429,1 433,1 0,0 0,0 0,1
224,1 513,1 0,0 0,0 0,0 0,0 0,0 0,4
224,1 429,1 194,1 141,1 359,1 0,0 0,0 0,1
