441,2 345,1 415,1 448,1 529,1 430,1 0,0 1,1
261,2 345,2 420,1 415,2 429,2 430,1 496,1 1,1
441,2 430,1 448,1 429,1 345,1 415,1 0,0 1,1
441,2 430,1 448,1 429,1 415,1 345,1 0,0 1,1
463,1 489,1 420,2 345,2 415,2 421,1 0,0 1,1
441,2 430,1 448,1 429,1 345,1 415,2 0,0 1,1
463,1 421,1 529,1 345,1 448,1 0,0 0,0 2,2
441,1 529,1 420,1 415,1 429,1 430,1 0,0 1,1
463,1 418,1 429,1 420,1 421,1 415,2 345,2 1,1
551,2 486,1 415,2 345,2 448,1 320,2 0,0 1,1
551,2 345,2 448,1 415,2 429,2 430,2 496,2 1,1
441,2 430,1 415,2 345,1 429,1 0,0 0,0 1,1
551,1 430,1 345,1 448,1 415,1 429,1 0,0 1,1
441,2 345,2 415,1 194,2 429,1 0,0 0,0 1,1
156,2 429,1 194,1 415,2 345,1 0,0 0,0 1,1
441,2 345,2 420,2 415,2 352,1 430,1 418,1 1,1
463,1 420,1 486,1 345,2 415,2 421,1 0,0 1,1
551,1 448,1 320,1 528,1 0,0 0,0 0,0 1,1
463,1 486,1 345,2 415,2 448,1 421,1 0,0 1,1
239,1 489,1 420,1 418,1 448,1 529,1 0,0 1,1
551,1 496,1 486,1 415,1 153,1 418,1 420,1 1,1
441,2 529,1 345,1 430,1 528,1 0,0 0,0 1,1
441,1 420,1 415,1 496,1 448,1 418,1 486,1 1,1
551,2 529,1 345,1 415,1 429,1 0,0 0,0 3,4
156,1 429,1 194,1 415,1 418,1 529,1 0,0 7,10
156,1 415,1 345,1 418,1 529,1 429,1 0,0 4,6
551,2 345,2 429,1 415,1 194,1 0,0 0,0 1,2
551,2 345,2 429,1 194,1 415,1 0,0 0,0 1,2
441,2 345,1 415,1 194,1 429,2 0,0 0,0 1,2
551,2 345,2 270,2 288,2 429,1 415,1 0,0 3,6
551,2 430,1 448,1 429,1 345,2 415,1 0,0 1,2
441,2 345,1 429,2 415,2 194,1 0,0 0,0 1,2
441,1 345,1 429,1 415,1 194,1 0,0 0,0 6,12
551,1 430,1 448,1 429,1 345,1 415,1 0,0 4,9
551,2 529,1 345,2 415,1 429,1 0,0 0,0 3,7
441,2 415,2 345,2 0,0 0,0 0,0 0,0 2,5
551,1 345,1 270,1 288,1 429,1 415,1 0,0 9,24
156,1 345,1 429,1 194,1 415,1 0,0 0,0 31,83
156,1 194,1 429,1 415,1 529,1 0,0 0,0 5,14
156,1 194,1 429,1 415,1 0,0 0,0 0,0 2,6
156,1 415,1 194,1 429,1 345,1 0,0 0,0 1,3
551,2 345,2 270,2 288,2 429,2 415,1 0,0 1,3
551,2 345,2 270,1 288,2 429,1 415,1 0,0 2,6
551,2 345,1 270,1 288,2 429,1 415,1 0,0 1,3
551,1 415,1 194,1 345,1 429,1 0,0 0,0 1,3
551,2 345,2 429,2 194,1 415,2 0,0 0,0 1,3
441,1 345,1 415,1 429,1 194,1 0,0 0,0 6,20
551,1 529,1 345,1 415,1 429,1 0,0 0,0 9,32
551,1 345,1 0,0 0,0 0,0 0,0 0,0 1,4
156,1 345,1 415,1 194,1 429,1 0,0 0,0 1,4
441,2 345,2 429,2 415,1 194,1 0,0 0,0 1,4
156,1 194,1 415,1 429,1 0,0 0,0 0,0 1,5
156,1 415,1 429,1 194,1 529,1 0,0 0,0 1,5
156,1 345,1 415,1 429,1 194,1 0,0 0,0 3,15
441,1 345,1 0,0 0,0 0,0 0,0 0,0 1,5
441,2 345,2 415,1 194,1 429,2 0,0 0,0 2,11
441,2 345,1 415,1 194,1 429,1 0,0 0,0 1,6
441,2 345,2 429,2 415,2 194,1 0,0 0,0 1,7
441,2 345,2 420,1 415,2 352,1 430,1 418,2 1,7
