439,2 367,3 380,1 183,1 379,1 373,2 0,0 1,1
439,1 180,1 370,1 373,1 183,1 0,0 0,0 1,1
189,1 184,1 179,1 367,1 380,1 0,0 0,0 1,1
259,2 428,2 514,1 371,3 0,0 0,0 0,0 2,2
439,2 380,1 180,1 367,3 426,3 183,1 371,3 1,1
189,2 180,3 426,3 297,1 379,1 378,2 276,2 2,2
439,1 380,1 367,1 373,1 379,1 183,1 0,0 1,1
259,2 180,3 380,1 379,1 424,3 378,2 237,2 1,1
439,2 367,3 373,2 371,3 0,0 0,0 0,0 1,1
259,2 184,2 426,3 379,1 0,0 0,0 0,0 1,1
549,1 367,1 370,1 312,1 0,0 0,0 0,0 1,1
189,1 542,1 188,1 0,0 0,0 0,0 0,0 1,1
439,2 370,3 448,1 371,3 0,0 0,0 0,0 1,1
509,1 180,1 371,3 378,2 380,1 0,0 0,0 1,1
439,2 426,3 380,1 367,3 379,1 371,3 0,0 1,1
259,1 188,1 351,1 0,0 0,0 0,0 0,0 1,1
439,2 367,3 373,2 379,1 427,1 380,1 0,0 1,1
439,2 380,1 367,3 373,2 379,1 427,2 0,0 2,2
439,2 367,3 180,1 380,1 448,1 183,1 379,1 1,1
259,1 514,1 188,1 0,0 0,0 0,0 0,0 1,1
259,1 380,1 184,1 369,1 183,1 0,0 0,0 1,1
259,1 375,1 424,1 378,1 0,0 0,0 0,0 2,2
259,1 380,1 375,1 424,1 367,1 426,1 0,0 3,3
189,1 375,1 183,1 336,1 0,0 0,0 0,0 1,1
439,2 380,1 370,3 183,1 379,1 336,1 0,0 1,1
439,2 370,3 371,3 448,1 0,0 0,0 0,0 2,2
549,2 380,1 315,1 0,0 0,0 0,0 0,0 1,1
439,2 367,3 373,2 514,1 336,1 0,0 0,0 1,1
439,2 426,3 373,2 542,1 336,1 0,0 0,0 1,1
549,2 315,1 380,1 0,0 0,0 0,0 0,0 3,3
439,2 367,3 373,2 514,3 336,1 0,0 0,0 1,1
439,2 380,1 180,1 373,2 183,1 336,1 0,0 1,1
549,2 515,2 542,1 0,0 0,0 0,0 0,0 1,1
439,2 367,3 180,1 379,1 183,1 336,1 0,0 2,2
259,2 370,3 180,1 371,3 183,1 0,0 0,0 1,1
