291,1 348,2 401,2 539,3 408,1 333,2 542,1 1,1
224,1 348,1 346,1 426,1 350,1 519,1 338,1 2,2
552,1 542,1 514,1 543,1 312,1 544,1 0,0 1,1
240,2 444,1 419,1 351,2 429,1 430,1 346,3 1,1
442,1 348,2 436,1 344,2 448,1 417,2 421,1 1,1
552,1 542,1 519,1 543,1 337,1 520,1 0,0 1,1
442,1 436,1 450,1 351,1 429,1 242,1 426,1 1,1
442,1 348,2 443,1 385,3 382,3 346,2 423,1 1,1
552,1 533,1 541,1 543,1 544,1 0,0 0,0 1,1
552,1 315,1 514,1 372,1 371,1 346,1 426,1 1,1
224,1 348,1 344,1 345,1 415,1 457,1 417,1 1,1
552,1 299,1 543,1 539,1 537,1 544,1 0,0 1,1
552,1 512,1 544,1 543,1 312,1 514,1 546,1 1,1
552,2 542,1 515,1 543,2 514,1 544,1 0,0 1,1
552,1 542,1 544,1 543,1 537,1 539,1 300,1 1,1
552,1 542,1 544,1 543,1 531,1 319,1 0,0 1,1
442,1 348,2 450,1 424,1 351,2 436,1 346,2 1,1
552,1 542,1 544,1 543,1 514,1 513,1 515,1 1,1
224,1 348,1 536,1 402,1 539,1 161,1 163,1 1,1
224,1 375,1 428,1 194,1 373,1 371,1 367,1 1,1
552,1 542,1 515,1 543,1 312,1 514,1 544,1 1,1
224,1 349,1 337,1 452,1 0,0 0,0 0,0 1,1
224,1 533,1 543,1 0,0 0,0 0,0 0,0 1,1
552,1 545,1 544,1 542,1 312,1 514,1 0,0 1,1
552,1 542,1 514,1 543,1 312,1 513,1 544,1 1,1
552,1 184,1 514,1 315,1 371,1 457,1 0,0 1,1
224,1 339,1 519,1 0,0 0,0 0,0 0,0 1,1
291,1 348,2 448,1 379,1 371,3 542,2 202,1 1,1
224,1 542,1 348,1 531,1 415,1 417,1 195,1 1,1
224,1 428,1 348,1 531,1 415,1 417,1 457,1 1,1
224,1 515,1 184,1 457,1 371,1 179,1 512,1 1,1
224,1 348,1 333,1 402,1 163,1 161,1 346,1 1,1
224,1 348,1 538,1 402,1 161,1 163,1 158,1 1,1
224,1 348,1 395,1 402,1 161,1 163,1 158,1 2,3
224,1 453,1 0,0 0,0 0,0 0,0 0,0 2,3
224,1 542,1 533,1 345,1 344,1 415,1 417,1 98,147
224,1 542,1 348,1 531,1 344,1 415,1 417,1 28,49
442,1 348,2 450,1 421,1 420,1 414,2 346,2 1,2
552,1 542,1 543,1 525,1 544,1 527,1 0,0 1,2
552,1 533,1 544,1 543,1 531,1 0,0 0,0 1,2
224,1 348,1 544,1 341,1 360,1 525,1 458,1 7,14
552,1 542,1 546,1 543,1 525,1 526,1 544,1 1,2
552,1 542,1 515,1 543,1 514,1 513,1 544,1 1,2
224,1 162,1 541,1 195,1 402,1 161,1 163,1 1,2
224,1 542,1 348,1 531,1 345,1 415,1 344,1 1,2
224,1 453,1 527,1 543,1 0,0 0,0 0,0 1,2
224,1 542,1 533,1 344,1 345,1 415,1 417,1 2,5
224,1 348,1 395,1 402,1 161,1 163,1 346,1 1,3
224,1 348,1 346,1 426,1 350,1 543,1 338,1 1,3
224,1 348,1 344,1 415,1 414,1 417,1 346,1 2,10
552,1 542,1 515,1 543,1 514,1 544,1 0,0 1,5
224,1 348,1 346,1 402,1 161,1 163,1 427,1 2,11
224,1 348,1 346,1 426,1 350,1 338,1 452,1 2,12
552,1 381,1 0,0 0,0 0,0 0,0 0,0 0,3
224,1 147,1 533,1 531,1 415,1 417,1 424,1 0,1
224,1 348,1 346,1 426,1 350,1 454,1 539,1 0,1
224,1 348,1 346,1 426,1 350,1 425,1 532,1 0,1
224,1 348,1 346,1 426,1 350,1 425,1 531,1 0,2
224,1 348,1 450,1 379,1 424,1 371,1 367,1 0,1
552,2 436,1 419,1 351,2 429,2 242,1 346,2 0,1
552,2 436,1 450,1 359,2 429,2 430,1 346,2 0,1
442,1 436,1 333,2 406,1 396,3 448,1 402,2 0,1
552,2 381,3 347,1 426,1 452,2 543,2 383,3 0,1
224,1 348,1 537,1 402,1 161,1 158,1 333,1 0,1
552,1 348,1 346,1 426,1 350,1 525,1 425,1 0,1
442,1 348,2 350,1 371,3 192,1 368,3 0,0 0,1
552,2 436,1 448,1 351,2 429,2 242,1 457,2 0,1
224,1 348,1 346,1 426,1 350,1 543,1 425,1 0,1
552,2 348,1 450,1 359,2 429,1 457,1 426,3 0,1
552,1 348,1 346,1 426,1 350,1 543,1 338,1 0,1
552,2 348,2 385,3 306,2 338,2 427,2 518,1 0,1
442,1 348,2 450,1 457,2 351,2 423,1 0,0 0,1
554,1 443,1 450,1 351,1 350,1 457,1 0,0 0,1
224,1 348,1 408,1 457,1 555,1 433,1 539,1 0,1
552,1 409,1 0,0 0,0 0,0 0,0 0,0 0,5
552,2 542,1 546,1 543,3 525,1 526,3 544,1 0,1
224,1 375,1 0,0 0,0 0,0 0,0 0,0 0,1
552,1 395,1 0,0 0,0 0,0 0,0 0,0 0,1
224,1 426,1 0,0 0,0 0,0 0,0 0,0 0,9
552,1 426,1 538,1 425,1 401,1 427,1 402,1 0,1
552,1 315,1 373,1 430,1 371,1 513,1 0,0 0,1
442,1 348,2 385,3 338,2 424,3 351,2 381,3 0,1
224,1 348,1 344,1 424,1 415,1 417,1 152,1 0,1
224,1 531,1 542,1 344,1 348,1 415,1 417,1 0,1
224,1 348,1 346,1 426,1 350,1 543,1 513,1 0,1
442,1 348,2 347,2 411,3 345,2 344,2 0,0 0,1
291,1 348,2 514,3 379,1 542,2 371,3 373,2 0,1
224,1 348,1 538,1 158,1 401,1 457,1 351,1 0,1
552,2 533,3 544,2 543,2 531,1 0,0 0,0 0,1
552,2 533,2 544,3 543,3 531,1 0,0 0,0 0,1
552,1 353,1 0,0 0,0 0,0 0,0 0,0 0,1
552,1 542,1 544,1 539,1 537,1 543,1 0,0 0,1
224,1 530,1 348,1 531,1 415,1 417,1 411,1 0,1
552,2 348,2 512,1 379,1 457,2 312,3 179,3 0,1
