261,2 422,1 409,3 455,2 351,2 411,3 485,1 2,2
156,2 413,2 344,1 411,3 409,3 426,1 0,0 1,1
441,2 409,3 343,3 448,1 426,3 344,2 154,1 1,1
441,2 343,3 411,3 351,2 414,1 344,2 422,1 1,1
261,2 343,3 485,3 411,3 351,2 277,1 422,1 1,1
156,2 413,3 344,1 411,2 409,3 426,1 0,0 1,1
156,2 413,2 344,2 411,2 409,3 426,3 0,0 1,1
551,2 409,3 343,3 320,1 414,1 0,0 0,0 1,1
156,2 413,3 344,2 411,3 409,3 426,2 0,0 1,1
156,2 413,3 344,1 411,3 409,3 426,1 0,0 1,1
551,2 412,3 343,3 320,2 0,0 0,0 0,0 1,1
551,1 542,1 320,1 0,0 0,0 0,0 0,0 1,1
551,1 532,1 318,1 0,0 0,0 0,0 0,0 2,2
156,1 409,1 343,1 150,1 411,1 415,1 414,1 1,1
441,2 413,1 414,1 417,2 0,0 0,0 0,0 1,1
441,2 413,3 344,2 420,1 427,1 0,0 0,0 1,1
551,2 343,3 414,1 320,1 409,1 0,0 0,0 1,1
156,2 343,3 344,2 411,1 542,1 351,2 0,0 1,1
441,2 343,2 344,2 427,1 417,2 422,1 0,0 1,1
261,1 343,1 542,1 411,1 351,1 420,1 414,1 1,1
551,1 532,1 319,1 0,0 0,0 0,0 0,0 1,1
156,2 413,2 344,1 411,3 409,3 426,3 0,0 1,1
441,2 413,3 344,2 427,1 343,2 0,0 0,0 1,1
551,1 343,1 409,1 320,1 414,1 0,0 0,0 1,1
441,2 343,3 344,2 427,1 417,1 422,1 0,0 2,3
551,1 532,1 0,0 0,0 0,0 0,0 0,0 2,3
156,1 152,1 424,1 344,1 0,0 0,0 0,0 4,6
156,1 422,1 152,1 344,1 424,1 0,0 0,0 23,38
441,2 413,3 414,2 417,2 0,0 0,0 0,0 3,5
156,1 152,1 344,1 424,1 0,0 0,0 0,0 192,330
156,1 343,1 409,1 150,1 411,1 415,1 414,1 6,11
156,1 412,1 409,1 420,1 415,1 414,1 411,1 39,76
441,2 413,2 414,2 417,2 0,0 0,0 0,0 1,2
441,2 343,3 344,2 427,1 417,2 422,1 0,0 2,4
441,1 409,1 412,1 151,1 411,1 426,1 0,0 1,2
551,2 542,1 533,2 0,0 0,0 0,0 0,0 1,2
441,2 413,3 344,2 149,1 409,3 426,1 0,0 1,2
441,2 413,3 415,2 344,2 0,0 0,0 0,0 1,2
156,1 152,1 344,1 424,1 422,1 0,0 0,0 5,10
441,2 422,1 412,3 409,3 344,2 417,2 0,0 7,14
441,2 413,2 414,1 417,2 0,0 0,0 0,0 1,2
551,1 542,1 533,1 0,0 0,0 0,0 0,0 8,19
156,1 413,1 424,1 417,1 0,0 0,0 0,0 10,28
156,1 412,1 151,1 542,1 414,1 409,1 0,0 1,3
156,1 413,1 344,1 414,1 411,1 422,1 0,0 1,3
156,1 343,1 409,1 344,1 414,1 411,1 351,1 1,3
551,1 343,1 533,1 0,0 0,0 0,0 0,0 1,3
441,1 533,1 409,1 344,1 0,0 0,0 0,0 8,28
156,1 409,1 343,1 415,1 411,1 150,1 414,1 2,8
156,1 344,1 409,1 413,1 411,1 426,1 0,0 1,4
441,1 532,1 409,1 413,1 0,0 0,0 0,0 1,4
441,1 413,1 344,1 411,1 0,0 0,0 0,0 4,16
156,1 413,1 426,1 424,1 414,1 411,1 0,0 1,7
156,1 413,1 344,1 411,1 409,1 426,1 0,0 1,7
551,1 343,1 533,1 409,1 0,0 0,0 0,0 2,17
261,1 412,1 415,1 351,1 411,1 414,1 0,0 0,1
441,1 190,1 428,1 149,1 0,0 0,0 0,0 0,1
551,1 532,1 428,1 426,1 0,0 0,0 0,0 0,1
441,1 190,1 426,1 416,1 0,0 0,0 0,0 0,1
156,2 413,2 344,2 411,2 409,2 426,1 0,0 0,1
239,1 422,1 428,2 150,1 414,1 237,1 0,0 0,1
261,2 412,3 422,1 414,2 411,3 415,2 351,2 0,1
156,1 413,1 411,1 344,1 414,1 0,0 0,0 0,2
441,1 533,1 416,1 0,0 0,0 0,0 0,0 0,2
551,1 409,1 343,1 414,1 320,1 0,0 0,0 0,2
441,2 343,3 413,3 417,1 0,0 0,0 0,0 0,1
261,1 422,1 343,1 448,1 153,1 237,1 344,1 0,1
261,2 343,3 485,3 411,3 414,2 420,2 422,1 0,1
441,2 533,1 426,3 344,2 0,0 0,0 0,0 0,1
441,1 533,1 148,1 0,0 0,0 0,0 0,0 0,1
156,1 426,1 533,1 0,0 0,0 0,0 0,0 0,1
156,2 152,1 344,1 424,2 0,0 0,0 0,0 0,1
156,1 343,1 409,1 344,1 150,1 411,1 414,1 0,1
441,2 409,3 343,3 344,2 417,2 422,1 0,0 0,4
441,2 413,3 426,3 344,2 542,1 0,0 0,0 0,1
502,2 533,3 422,1 344,3 426,3 0,0 0,0 0,1
441,2 412,3 415,2 429,2 418,2 422,1 0,0 0,1
441,2 413,3 417,2 427,2 0,0 0,0 0,0 0,2
441,2 413,3 344,2 427,2 343,3 0,0 0,0 0,1
441,1 533,1 195,1 0,0 0,0 0,0 0,0 0,1
441,1 409,1 147,1 533,1 0,0 0,0 0,0 0,1
